Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 10:52:26,1694595146,0.0,80.7969
2023-09-13 10:52:27,1694595147,0.0,80.75
2023-09-13 10:52:28,1694595148,0.0,80.75
2023-09-13 10:52:29,1694595149,0.0,80.75
2023-09-13 10:52:30,1694595150,19.0,93.0938
2023-09-13 10:52:31,1694595151,8.3,93.7812
2023-09-13 10:52:32,1694595152,13.7,94.8125
2023-09-13 10:52:34,1694595154,5.2,95.2656
2023-09-13 10:52:35,1694595155,7.1,99.125
2023-09-13 10:52:36,1694595156,1.9,99.875
2023-09-13 10:52:37,1694595157,7.4,100.219
2023-09-13 10:52:38,1694595158,7.0,100.797
2023-09-13 10:52:39,1694595159,7.4,104.188
2023-09-13 10:52:40,1694595160,5.4,106.234
2023-09-13 10:52:41,1694595161,2.8,107.031
2023-09-13 10:52:42,1694595162,3.2,107.734
2023-09-13 10:52:43,1694595163,7.3,109.062
2023-09-13 10:52:44,1694595164,5.6,113.094
2023-09-13 10:52:46,1694595166,24.2,116.844
2023-09-13 10:52:47,1694595167,3.9,118.5
2023-09-13 10:52:48,1694595168,5.0,120.422
2023-09-13 10:52:49,1694595169,4.9,123.047
2023-09-13 10:52:50,1694595170,3.0,124.844
2023-09-13 10:52:51,1694595171,8.9,126.766
2023-09-13 10:52:52,1694595172,7.9,128.406
2023-09-13 10:52:53,1694595173,3.7,132.828
2023-09-13 10:52:54,1694595174,5.2,134.641
2023-09-13 10:52:55,1694595175,1.5,138.516
2023-09-13 10:52:56,1694595176,3.2,140.266
2023-09-13 10:52:58,1694595178,2.9,142.219
2023-09-13 10:52:59,1694595179,16.1,144.781
2023-09-13 10:53:00,1694595180,3.7,146.641
2023-09-13 10:53:01,1694595181,1.0,148.5
2023-09-13 10:53:02,1694595182,1.6,151.203
2023-09-13 10:53:03,1694595183,14.2,157.938
2023-09-13 10:53:04,1694595184,2.1,160.094
2023-09-13 10:53:05,1694595185,3.4,161.984
2023-09-13 10:53:06,1694595186,7.0,163.922
2023-09-13 10:53:07,1694595187,1.3,165.812
2023-09-13 10:53:09,1694595189,2.6,168.344
2023-09-13 10:53:10,1694595190,12.6,170.703
2023-09-13 10:53:11,1694595191,13.2,173.188
2023-09-13 10:53:12,1694595192,3.9,175.172
2023-09-13 10:53:13,1694595193,4.0,177.266
2023-09-13 10:53:14,1694595194,1.5,179.281
2023-09-13 10:53:15,1694595195,1.7,182.375
