Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 05:35:44,1694576144,0.0,80.5156
2023-09-13 05:35:45,1694576145,0.1,80.5312
2023-09-13 05:35:46,1694576146,0.0,80.5312
2023-09-13 05:35:47,1694576147,0.0,80.5469
2023-09-13 05:35:48,1694576148,0.0,80.5469
2023-09-13 05:35:49,1694576149,14.2,92.5312
2023-09-13 05:35:50,1694576150,1.5,92.7188
2023-09-13 05:35:51,1694576151,1.4,93.5938
2023-09-13 05:35:52,1694576152,0.3,93.7656
2023-09-13 05:35:53,1694576153,0.2,93.9688
2023-09-13 05:35:54,1694576154,0.1,94.3594
2023-09-13 05:35:56,1694576156,7.1,94.6094
2023-09-13 05:35:57,1694576157,5.5,94.7656
2023-09-13 05:35:58,1694576158,9.0,97.6719
2023-09-13 05:35:59,1694576159,6.5,97.875
2023-09-13 05:36:00,1694576160,5.4,98.6406
2023-09-13 05:36:01,1694576161,1.6,99.0625
2023-09-13 05:36:02,1694576162,1.9,99.2031
2023-09-13 05:36:03,1694576163,0.7,99.3594
2023-09-13 05:36:04,1694576164,0.1,99.5
2023-09-13 05:36:05,1694576165,0.1,99.9531
2023-09-13 05:36:06,1694576166,0.3,102.719
2023-09-13 05:36:08,1694576168,0.1,103.516
2023-09-13 05:36:09,1694576169,7.7,103.844
2023-09-13 05:36:10,1694576170,3.5,104.453
2023-09-13 05:36:11,1694576171,6.0,104.766
2023-09-13 05:36:12,1694576172,5.4,105.047
2023-09-13 05:36:13,1694576173,5.7,107.547
2023-09-13 05:36:14,1694576174,1.2,107.953
2023-09-13 05:36:15,1694576175,2.6,108.656
2023-09-13 05:36:16,1694576176,1.1,109.469
2023-09-13 05:36:17,1694576177,1.8,110.406
2023-09-13 05:36:18,1694576178,1.0,111.234
2023-09-13 05:36:19,1694576179,0.8,112.094
2023-09-13 05:36:20,1694576180,1.1,115.422
2023-09-13 05:36:22,1694576182,0.3,116.266
2023-09-13 05:36:23,1694576183,4.4,117.656
2023-09-13 05:36:24,1694576184,8.9,121.156
2023-09-13 05:36:25,1694576185,6.0,122
2023-09-13 05:36:26,1694576186,3.8,122.859
2023-09-13 05:36:27,1694576187,4.2,123.734
2023-09-13 05:36:28,1694576188,3.9,124.984
2023-09-13 05:36:29,1694576189,1.5,125.844
2023-09-13 05:36:30,1694576190,2.1,126.781
2023-09-13 05:36:31,1694576191,1.9,127.641
2023-09-13 05:36:32,1694576192,1.0,128.5
2023-09-13 05:36:33,1694576193,0.2,129.312
2023-09-13 05:36:34,1694576194,0.4,130.234
2023-09-13 05:36:36,1694576196,0.6,131.766
2023-09-13 05:36:37,1694576197,2.7,133.656
2023-09-13 05:36:38,1694576198,2.1,134.531
2023-09-13 05:36:39,1694576199,19.7,135.734
2023-09-13 05:36:40,1694576200,5.3,136.672
2023-09-13 05:36:41,1694576201,3.6,137.609
2023-09-13 05:36:42,1694576202,1.8,138.5
2023-09-13 05:36:43,1694576203,1.5,139.891
2023-09-13 05:36:44,1694576204,0.7,140.766
2023-09-13 05:36:45,1694576205,1.0,141.656
2023-09-13 05:36:46,1694576206,0.3,142.562
2023-09-13 05:36:47,1694576207,2.2,145.688
2023-09-13 05:36:48,1694576209,0.6,146.609
2023-09-13 05:36:50,1694576210,0.3,147.547
2023-09-13 05:36:51,1694576211,0.4,148.859
2023-09-13 05:36:52,1694576212,1.3,150.328
2023-09-13 05:36:53,1694576213,17.6,151.641
2023-09-13 05:36:54,1694576214,5.4,152.547
2023-09-13 05:36:55,1694576215,12.8,153.656
2023-09-13 05:36:56,1694576216,2.0,154.609
2023-09-13 05:36:57,1694576217,0.4,155.578
2023-09-13 05:36:58,1694576218,0.8,156.516
2023-09-13 05:36:59,1694576219,1.2,157.453
2023-09-13 05:37:00,1694576220,1.2,158.641
2023-09-13 05:37:01,1694576221,0.5,159.609
2023-09-13 05:37:03,1694576223,0.3,160.562
2023-09-13 05:37:04,1694576224,1.4,166.219
2023-09-13 05:37:05,1694576225,0.7,167.188
2023-09-13 05:37:06,1694576226,0.4,168.828
2023-09-13 05:37:07,1694576227,5.9,170.156
2023-09-13 05:37:08,1694576228,5.9,171.219
2023-09-13 05:37:09,1694576229,16.2,172.766
2023-09-13 05:37:10,1694576230,4.0,173.812
2023-09-13 05:37:11,1694576231,2.9,174.812
2023-09-13 05:37:12,1694576232,1.1,175.844
2023-09-13 05:37:13,1694576233,2.0,177.203
2023-09-13 05:37:14,1694576234,0.8,178.328
2023-09-13 05:37:16,1694576236,0.4,179.391
2023-09-13 05:37:17,1694576237,0.5,180.406
2023-09-13 05:37:18,1694576238,0.6,181.469
2023-09-13 05:37:19,1694576239,0.5,182.516
2023-09-13 05:37:20,1694576240,0.5,184.141
2023-09-13 05:37:21,1694576241,2.6,185.203
2023-09-13 05:37:22,1694576242,6.3,186.375
2023-09-13 05:37:23,1694576243,4.9,187.531
2023-09-13 05:37:24,1694576244,7.0,188.688
2023-09-13 05:37:25,1694576245,9.1,199.109
2023-09-13 05:37:26,1694576246,9.9,200.078
2023-09-13 05:37:27,1694576247,0.7,200.312
2023-09-13 05:37:29,1694576249,1.7,200.406
2023-09-13 05:37:30,1694576250,0.4,200.516
2023-09-13 05:37:31,1694576251,5.2,201.906
2023-09-13 05:37:32,1694576252,0.3,202.062
2023-09-13 05:37:33,1694576253,0.4,202.156
2023-09-13 05:37:34,1694576254,2.1,217.203
2023-09-13 05:37:35,1694576255,3.9,217.828
2023-09-13 05:37:36,1694576256,3.9,218.531
2023-09-13 05:37:37,1694576257,7.4,218.922
2023-09-13 05:37:38,1694576258,2.0,219.109
2023-09-13 05:37:39,1694576259,1.5,219.484
2023-09-13 05:37:40,1694576260,0.7,219.859
2023-09-13 05:37:41,1694576261,0.5,220.375
2023-09-13 05:37:43,1694576263,0.6,220.688
2023-09-13 05:37:44,1694576264,0.5,221.188
2023-09-13 05:37:45,1694576265,0.4,221.516
2023-09-13 05:37:46,1694576266,0.6,221.828
2023-09-13 05:37:47,1694576267,0.6,222.156
2023-09-13 05:37:48,1694576268,0.5,222.766
2023-09-13 05:37:49,1694576269,4.3,223.078
2023-09-13 05:37:50,1694576270,3.3,223.359
2023-09-13 05:37:51,1694576271,3.0,223.594
2023-09-13 05:37:52,1694576272,2.0,223.828
2023-09-13 05:37:53,1694576273,5.1,224.094
2023-09-13 05:37:54,1694576274,1.8,224.391
2023-09-13 05:37:56,1694576276,2.6,225.25
2023-09-13 05:37:57,1694576277,1.0,225.531
2023-09-13 05:37:58,1694576278,3.3,225.688
2023-09-13 05:37:59,1694576279,1.7,225.938
2023-09-13 05:38:00,1694576280,1.6,226.375
2023-09-13 05:38:01,1694576281,1.2,227.172
2023-09-13 05:38:02,1694576282,0.5,227.688
2023-09-13 05:38:03,1694576283,4.3,228.156
