Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 11:01:41,1694595701,0.0,80.0312
2023-09-13 11:01:42,1694595702,0.0,80.0312
2023-09-13 11:01:43,1694595703,0.0,80.0312
2023-09-13 11:01:44,1694595704,11.1,91.9375
2023-09-13 11:01:45,1694595705,9.7,92.8438
2023-09-13 11:01:46,1694595706,6.7,93.1719
2023-09-13 11:01:48,1694595708,1.0,93.4844
2023-09-13 11:01:49,1694595709,3.4,97.2344
2023-09-13 11:01:50,1694595710,3.8,97.8438
2023-09-13 11:01:51,1694595711,0.9,98.25
2023-09-13 11:01:52,1694595712,0.9,98.8438
2023-09-13 11:01:53,1694595713,11.0,100.812
2023-09-13 11:01:54,1694595714,3.9,101.672
2023-09-13 11:01:55,1694595715,2.7,102.094
2023-09-13 11:01:56,1694595716,1.8,102.688
2023-09-13 11:01:57,1694595717,0.7,103.281
2023-09-13 11:01:58,1694595718,7.4,104.453
2023-09-13 11:02:00,1694595720,4.9,109.594
2023-09-13 11:02:01,1694595721,1.6,110.781
2023-09-13 11:02:02,1694595722,0.9,112.062
2023-09-13 11:02:03,1694595723,0.6,113.406
2023-09-13 11:02:04,1694595724,14.2,115.875
2023-09-13 11:02:05,1694595725,10.7,117.188
2023-09-13 11:02:06,1694595726,2.2,118.484
2023-09-13 11:02:07,1694595727,4.1,119.812
2023-09-13 11:02:08,1694595728,14.8,122.953
2023-09-13 11:02:09,1694595729,1.3,124.328
2023-09-13 11:02:10,1694595730,0.2,126.156
2023-09-13 11:02:12,1694595732,2.3,127.375
2023-09-13 11:02:13,1694595733,9.0,129.812
2023-09-13 11:02:14,1694595734,5.2,131.203
2023-09-13 11:02:15,1694595735,3.2,132.594
2023-09-13 11:02:16,1694595736,1.2,134.016
2023-09-13 11:02:17,1694595737,2.4,141.562
2023-09-13 11:02:18,1694595738,4.1,142.781
2023-09-13 11:02:19,1694595739,5.2,144.062
2023-09-13 11:02:20,1694595740,2.2,145.25
2023-09-13 11:02:21,1694595741,0.8,146.531
2023-09-13 11:02:23,1694595743,0.5,148.406
2023-09-13 11:02:24,1694595744,15.4,152.016
2023-09-13 11:02:25,1694595745,4.8,154.641
2023-09-13 11:02:26,1694595746,7.3,156.047
2023-09-13 11:02:27,1694595747,0.8,157.344
2023-09-13 11:02:28,1694595748,0.3,158.516
2023-09-13 11:02:29,1694595749,0.7,159.734
2023-09-13 11:02:30,1694595750,0.3,161.484
2023-09-13 11:02:31,1694595751,12.8,162.875
2023-09-13 11:02:32,1694595752,5.5,163.938
2023-09-13 11:02:33,1694595753,1.8,165.094
2023-09-13 11:02:35,1694595755,0.8,166.328
2023-09-13 11:02:36,1694595756,0.3,167.531
2023-09-13 11:02:37,1694595757,3.1,169.359
2023-09-13 11:02:38,1694595758,2.5,170.562
2023-09-13 11:02:39,1694595759,1.9,171.781
2023-09-13 11:02:40,1694595760,0.9,172.984
2023-09-13 11:02:41,1694595761,0.3,174.141
2023-09-13 11:02:42,1694595762,1.9,175.922
2023-09-13 11:02:43,1694595763,6.6,177.156
2023-09-13 11:02:44,1694595764,1.7,178.359
2023-09-13 11:02:46,1694595766,1.0,179.516
2023-09-13 11:02:47,1694595767,5.0,180.812
2023-09-13 11:02:48,1694595768,3.5,182.359
2023-09-13 11:02:49,1694595769,1.2,184.234
2023-09-13 11:02:50,1694595770,2.3,185.391
2023-09-13 11:02:51,1694595771,4.1,197.641
2023-09-13 11:02:52,1694595772,0.9,197.844
2023-09-13 11:02:53,1694595773,1.6,198.031
2023-09-13 11:02:54,1694595774,0.4,198.219
2023-09-13 11:02:55,1694595775,0.3,198.766
2023-09-13 11:02:56,1694595776,2.1,199.016
2023-09-13 11:02:58,1694595778,7.6,199.484
2023-09-13 11:02:59,1694595779,2.5,199.922
2023-09-13 11:03:00,1694595780,2.9,200.688
2023-09-13 11:03:01,1694595781,0.9,201.109
2023-09-13 11:03:02,1694595782,1.5,201.641
2023-09-13 11:03:03,1694595783,1.4,201.984
2023-09-13 11:03:04,1694595784,2.7,202.531
2023-09-13 11:03:05,1694595785,8.4,203.125
2023-09-13 11:03:06,1694595786,5.9,203.984
2023-09-13 11:03:07,1694595787,3.3,204.562
2023-09-13 11:03:09,1694595789,0.3,204.828
2023-09-13 11:03:10,1694595790,2.2,205.25
2023-09-13 11:03:11,1694595791,1.2,205.797
2023-09-13 11:03:12,1694595792,2.4,206.344
2023-09-13 11:03:13,1694595793,0.7,206.734
2023-09-13 11:03:14,1694595794,0.5,207.406
2023-09-13 11:03:15,1694595795,1.8,207.766
2023-09-13 11:03:16,1694595796,0.8,208.391
2023-09-13 11:03:17,1694595797,0.4,208.672
2023-09-13 11:03:18,1694595798,0.4,209.312
2023-09-13 11:03:20,1694595800,3.3,209.797
2023-09-13 11:03:21,1694595801,2.2,210.375
2023-09-13 11:03:22,1694595802,2.5,210.922
2023-09-13 11:03:23,1694595803,1.3,211.469
2023-09-13 11:03:24,1694595804,0.5,211.984
2023-09-13 11:03:25,1694595805,0.8,212.562
2023-09-13 11:03:26,1694595806,0.6,213.25
2023-09-13 11:03:27,1694595807,1.7,213.719
2023-09-13 11:03:28,1694595808,1.6,214.109
2023-09-13 11:03:29,1694595809,1.1,214.625
2023-09-13 11:03:30,1694595810,1.1,215.062
2023-09-13 11:03:32,1694595812,0.4,215.703
2023-09-13 11:03:33,1694595813,0.6,216.219
2023-09-13 11:03:34,1694595814,0.5,216.734
2023-09-13 11:03:35,1694595815,2.8,217.156
2023-09-13 11:03:36,1694595816,2.3,217.562
2023-09-13 11:03:37,1694595817,1.9,218.188
2023-09-13 11:03:38,1694595818,0.4,218.625
2023-09-13 11:03:39,1694595819,0.3,219.25
2023-09-13 11:03:40,1694595820,2.0,219.859
2023-09-13 11:03:41,1694595821,2.4,220.25
2023-09-13 11:03:43,1694595823,2.3,220.859
2023-09-13 11:03:44,1694595824,1.4,221.25
2023-09-13 11:03:45,1694595825,0.5,221.641
2023-09-13 11:03:46,1694595826,0.6,222.484
2023-09-13 11:03:47,1694595827,3.6,223.047
2023-09-13 11:03:48,1694595828,1.4,223.672
2023-09-13 11:03:49,1694595829,1.9,223.953
2023-09-13 11:03:50,1694595830,1.3,224.594
2023-09-13 11:03:51,1694595831,2.1,225.344
2023-09-13 11:03:52,1694595832,4.3,226.391
2023-09-13 11:03:53,1694595833,2.1,226.859
2023-09-13 11:03:55,1694595835,1.1,227.453
2023-09-13 11:03:56,1694595836,0.6,227.672
2023-09-13 11:03:57,1694595837,0.7,228.047
2023-09-13 11:03:58,1694595838,0.4,228.609
2023-09-13 11:03:59,1694595839,3.4,229.203
2023-09-13 11:04:00,1694595840,2.0,229.609
2023-09-13 11:04:01,1694595841,1.0,229.953
2023-09-13 11:04:02,1694595842,1.4,230.672
2023-09-13 11:04:03,1694595843,0.5,230.938
2023-09-13 11:04:04,1694595844,0.5,231.953
2023-09-13 11:04:06,1694595846,2.6,232.297
2023-09-13 11:04:07,1694595847,7.5,233.219
2023-09-13 11:04:08,1694595848,1.3,234.344
2023-09-13 11:04:09,1694595849,2.8,235.469
2023-09-13 11:04:10,1694595850,0.6,236.625
2023-09-13 11:04:11,1694595851,0.5,238.391
2023-09-13 11:04:12,1694595852,9.1,239.609
2023-09-13 11:04:13,1694595853,0.5,240.812
2023-09-13 11:04:14,1694595854,1.5,242.016
2023-09-13 11:04:15,1694595855,2.2,243.234
2023-09-13 11:04:16,1694595856,2.3,244.406
2023-09-13 11:04:18,1694595858,1.3,246.25
2023-09-13 11:04:19,1694595859,3.6,248.312
2023-09-13 11:04:20,1694595860,1.9,249.531
2023-09-13 11:04:21,1694595861,1.1,250.75
2023-09-13 11:04:22,1694595862,1.0,251.906
2023-09-13 11:04:23,1694595863,0.3,253.062
2023-09-13 11:04:24,1694595864,0.6,254.984
2023-09-13 11:04:25,1694595865,5.2,257.234
2023-09-13 11:04:26,1694595866,0.9,258.406
2023-09-13 11:04:27,1694595867,10.4,282.391
2023-09-13 11:04:29,1694595869,0.5,282.609
2023-09-13 11:04:30,1694595870,2.0,282.891
2023-09-13 11:04:31,1694595871,1.6,283.094
2023-09-13 11:04:32,1694595872,1.1,283.281
2023-09-13 11:04:33,1694595873,3.0,285.688
2023-09-13 11:04:34,1694595874,1.6,285.969
2023-09-13 11:04:35,1694595875,1.0,286.312
2023-09-13 11:04:36,1694595876,7.1,286.984
2023-09-13 11:04:37,1694595877,0.8,287.203
2023-09-13 11:04:38,1694595878,2.1,287.391
2023-09-13 11:04:39,1694595879,1.3,287.609
2023-09-13 11:04:41,1694595881,2.0,287.938
2023-09-13 11:04:42,1694595882,0.8,288.219
2023-09-13 11:04:43,1694595883,0.4,288.547
2023-09-13 11:04:44,1694595884,13.5,288.828
2023-09-13 11:04:45,1694595885,2.8,289.094
2023-09-13 11:04:46,1694595886,1.0,289.281
2023-09-13 11:04:47,1694595887,1.0,289.469
2023-09-13 11:04:48,1694595888,0.5,289.656
2023-09-13 11:04:49,1694595889,0.9,289.984
2023-09-13 11:04:50,1694595890,5.3,290.328
2023-09-13 11:04:52,1694595892,1.2,290.578
2023-09-13 11:04:53,1694595893,12.9,290.828
2023-09-13 11:04:54,1694595894,0.9,291.016
2023-09-13 11:04:55,1694595895,0.5,291.203
2023-09-13 11:04:56,1694595896,4.1,291.594
2023-09-13 11:04:57,1694595897,4.0,291.938
2023-09-13 11:04:58,1694595898,2.9,292.125
2023-09-13 11:04:59,1694595899,1.4,292.562
2023-09-13 11:05:00,1694595900,0.4,292.75
2023-09-13 11:05:01,1694595901,0.9,292.938
2023-09-13 11:05:03,1694595903,0.2,293.234
2023-09-13 11:05:04,1694595904,5.3,293.453
2023-09-13 11:05:05,1694595905,1.0,293.766
2023-09-13 11:05:06,1694595906,3.4,293.969
2023-09-13 11:05:07,1694595907,0.9,294.156
2023-09-13 11:05:08,1694595908,0.3,294.438
2023-09-13 11:05:09,1694595909,2.0,294.641
2023-09-13 11:05:10,1694595910,2.6,294.844
2023-09-13 11:05:11,1694595911,1.1,295.031
2023-09-13 11:05:12,1694595912,1.9,295.781
2023-09-13 11:05:13,1694595913,0.4,295.984
2023-09-13 11:05:15,1694595915,0.5,296.266
2023-09-13 11:05:16,1694595916,2.1,296.453
2023-09-13 11:05:17,1694595917,2.3,296.656
2023-09-13 11:05:18,1694595918,0.8,297.188
2023-09-13 11:05:19,1694595919,0.6,297.406
