Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 05:48:35,1694576915,0.0,81.75
2023-09-13 05:48:36,1694576916,0.0,81.7344
2023-09-13 05:48:37,1694576917,0.0,81.7344
2023-09-13 05:48:38,1694576918,1.3,92.5156
2023-09-13 05:48:39,1694576919,15.9,94.2812
2023-09-13 05:48:41,1694576921,7.8,94.6094
2023-09-13 05:48:42,1694576922,3.7,94.8125
2023-09-13 05:48:43,1694576923,3.8,95.1094
2023-09-13 05:48:44,1694576924,2.9,95.25
2023-09-13 05:48:45,1694576925,1.9,95.4375
2023-09-13 05:48:46,1694576926,1.0,95.5938
2023-09-13 05:48:47,1694576927,2.8,98.5781
2023-09-13 05:48:48,1694576928,0.3,98.7656
2023-09-13 05:48:49,1694576929,0.1,98.9844
2023-09-13 05:48:50,1694576930,3.2,99.2344
2023-09-13 05:48:51,1694576931,2.0,99.3594
2023-09-13 05:48:53,1694576933,2.0,99.4844
2023-09-13 05:48:54,1694576934,2.6,99.9375
2023-09-13 05:48:55,1694576935,3.6,102.812
2023-09-13 05:48:56,1694576936,1.1,103.109
2023-09-13 05:48:57,1694576937,1.7,104.766
2023-09-13 05:48:58,1694576938,0.6,105.312
2023-09-13 05:48:59,1694576939,0.5,105.531
2023-09-13 05:49:00,1694576940,0.2,105.75
2023-09-13 05:49:01,1694576941,0.0,106.094
2023-09-13 05:49:02,1694576942,0.0,106.422
2023-09-13 05:49:03,1694576943,5.6,106.75
2023-09-13 05:49:05,1694576945,4.2,106.875
2023-09-13 05:49:06,1694576946,3.6,107.344
2023-09-13 05:49:07,1694576947,4.3,108.297
2023-09-13 05:49:08,1694576948,2.8,108.859
2023-09-13 05:49:09,1694576949,6.2,113.797
2023-09-13 05:49:10,1694576950,0.3,114.391
2023-09-13 05:49:11,1694576951,0.2,115
2023-09-13 05:49:12,1694576952,0.2,115.547
2023-09-13 05:49:13,1694576953,0.2,117.641
2023-09-13 05:49:14,1694576954,0.0,118.266
2023-09-13 05:49:15,1694576955,0.9,119.562
2023-09-13 05:49:17,1694576957,4.0,120.219
2023-09-13 05:49:18,1694576958,6.0,120.891
2023-09-13 05:49:19,1694576959,2.3,121.578
2023-09-13 05:49:20,1694576960,2.8,122.719
2023-09-13 05:49:21,1694576961,1.2,123.281
2023-09-13 05:49:22,1694576962,0.1,123.891
2023-09-13 05:49:23,1694576963,0.2,124.516
