Time,Unix Time,CPU Utilization (%),RAM Utilization (MB)
2023-09-13 11:11:06,1694596266,0.0,82.8125
2023-09-13 11:11:07,1694596267,0.0,82.8125
2023-09-13 11:11:08,1694596268,0.0,82.8125
2023-09-13 11:11:09,1694596269,0.0,82.7812
2023-09-13 11:11:10,1694596270,13.5,93.8594
2023-09-13 11:11:11,1694596271,7.6,94.7188
2023-09-13 11:11:12,1694596272,11.8,95.4062
2023-09-13 11:11:13,1694596273,7.3,96.1562
2023-09-13 11:11:14,1694596274,7.7,99.5781
2023-09-13 11:11:15,1694596275,2.4,100.453
2023-09-13 11:11:16,1694596276,1.4,100.766
2023-09-13 11:11:18,1694596278,11.6,101.141
2023-09-13 11:11:19,1694596279,2.0,104.297
2023-09-13 11:11:20,1694596280,3.8,105.531
2023-09-13 11:11:21,1694596281,2.9,105.922
2023-09-13 11:11:22,1694596282,0.9,106.609
2023-09-13 11:11:23,1694596283,6.2,107.078
2023-09-13 11:11:24,1694596284,7.1,108.094
2023-09-13 11:11:25,1694596285,19.5,112.594
2023-09-13 11:11:26,1694596286,1.9,113.812
2023-09-13 11:11:27,1694596287,0.7,115
2023-09-13 11:11:28,1694596288,0.4,116.984
2023-09-13 11:11:30,1694596290,8.3,118.297
2023-09-13 11:11:31,1694596291,3.1,119.844
2023-09-13 11:11:32,1694596292,1.3,121.625
2023-09-13 11:11:33,1694596293,0.6,122.922
2023-09-13 11:11:34,1694596294,1.3,124.531
2023-09-13 11:11:35,1694596295,4.0,127.562
2023-09-13 11:11:36,1694596296,4.1,128.797
2023-09-13 11:11:37,1694596297,2.7,129.984
2023-09-13 11:11:38,1694596298,1.5,131.266
2023-09-13 11:11:39,1694596299,2.9,138.125
2023-09-13 11:11:41,1694596301,1.1,139.5
2023-09-13 11:11:42,1694596302,1.5,141.531
2023-09-13 11:11:43,1694596303,10.0,142.734
2023-09-13 11:11:44,1694596304,1.8,143.969
2023-09-13 11:11:45,1694596305,3.8,145.281
2023-09-13 11:11:46,1694596306,0.8,146.438
2023-09-13 11:11:47,1694596307,0.4,148.297
2023-09-13 11:11:48,1694596308,6.3,149.641
2023-09-13 11:11:49,1694596309,5.7,150.875
2023-09-13 11:11:50,1694596310,3.3,155.281
2023-09-13 11:11:52,1694596312,2.4,156.531
2023-09-13 11:11:53,1694596313,1.7,157.844
2023-09-13 11:11:54,1694596314,0.2,159.609
2023-09-13 11:11:55,1694596315,0.5,160.781
2023-09-13 11:11:56,1694596316,2.2,161.953
2023-09-13 11:11:57,1694596317,2.0,163.297
2023-09-13 11:11:58,1694596318,1.7,164.531
2023-09-13 11:11:59,1694596319,1.0,166.094
2023-09-13 11:12:00,1694596320,0.8,167.891
2023-09-13 11:12:01,1694596321,2.8,169.234
2023-09-13 11:12:02,1694596322,2.2,170.453
2023-09-13 11:12:04,1694596324,2.8,171.594
2023-09-13 11:12:05,1694596325,0.5,172.797
2023-09-13 11:12:06,1694596326,0.7,173.984
2023-09-13 11:12:07,1694596327,0.5,175.828
2023-09-13 11:12:08,1694596328,9.0,177.047
2023-09-13 11:12:09,1694596329,0.8,178.266
2023-09-13 11:12:10,1694596330,2.7,179.438
2023-09-13 11:12:11,1694596331,0.4,180.641
2023-09-13 11:12:12,1694596332,4.6,181.859
2023-09-13 11:12:13,1694596333,4.4,184.156
2023-09-13 11:12:14,1694596334,0.8,185.312
2023-09-13 11:12:16,1694596336,4.2,186.484
2023-09-13 11:12:17,1694596337,1.1,187.672
