event,timestamp
New Client Arrived at,1707388717428
A New Subscriber is Identified at,1707388717429
Start Generating Threshold at,1707388717431
Publish Filter to a New Meta Topic at,1707388717431
Latency to Publish the NEW Threshold is,0
Finish New Subscriber Related Operations at,1707388717431
New Client Arrived at,1707388736112
Finish New Publisher Related Operations at,1707388736112
New Client Arrived at,1707388736220
Finish New Publisher Related Operations at,1707388736220
New Client Arrived at,1707388736322
Finish New Publisher Related Operations at,1707388736322
New Client Arrived at,1707388736432
Finish New Publisher Related Operations at,1707388736433
New Client Arrived at,1707388736537
Start to Check Filter Existence for the Late Publisher at,1707388736538
Finish Checking Filter Existence at: ,1707388737209
Checking Latency is,671
Start to Check Filter Existence for the Late Publisher at,1707388737209
Finish Checking Filter Existence at: ,1707388737212
Checking Latency is,3
Finish New Publisher Related Operations at,1707388737213
New Client Arrived at,1707388737319
Start to Check Filter Existence for the Late Publisher at,1707388737319
Finish Checking Filter Existence at: ,1707388737324
Checking Latency is,5
Start to Check Filter Existence for the Late Publisher at,1707388737324
Finish Checking Filter Existence at: ,1707388737327
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707388737328
Finish Checking Filter Existence at: ,1707388737331
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707388737331
Finish Checking Filter Existence at: ,1707388737333
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737334
Finish Checking Filter Existence at: ,1707388737336
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737336
Finish Checking Filter Existence at: ,1707388737338
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737338
Finish Checking Filter Existence at: ,1707388737341
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707388737341
Finish Checking Filter Existence at: ,1707388737343
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737343
Finish Checking Filter Existence at: ,1707388737346
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707388737346
Finish Checking Filter Existence at: ,1707388737348
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737348
Finish Checking Filter Existence at: ,1707388737350
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737350
Finish Checking Filter Existence at: ,1707388737352
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737352
Finish Checking Filter Existence at: ,1707388737354
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737355
Finish Checking Filter Existence at: ,1707388737357
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737357
Finish Checking Filter Existence at: ,1707388737359
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737359
Finish Checking Filter Existence at: ,1707388737361
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737361
Finish Checking Filter Existence at: ,1707388737363
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737364
Finish Checking Filter Existence at: ,1707388737366
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737366
Finish Checking Filter Existence at: ,1707388737368
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737368
Finish Checking Filter Existence at: ,1707388737369
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737370
Finish Checking Filter Existence at: ,1707388737371
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737372
Finish Checking Filter Existence at: ,1707388737374
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737374
Finish Checking Filter Existence at: ,1707388737376
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737376
Finish Checking Filter Existence at: ,1707388737378
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737378
Finish Checking Filter Existence at: ,1707388737379
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737380
Finish Checking Filter Existence at: ,1707388737381
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737381
Finish Checking Filter Existence at: ,1707388737383
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737383
Finish Checking Filter Existence at: ,1707388737385
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737385
Finish Checking Filter Existence at: ,1707388737387
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737387
Finish Checking Filter Existence at: ,1707388737389
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737389
Finish Checking Filter Existence at: ,1707388737391
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737391
Finish Checking Filter Existence at: ,1707388737393
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737393
Finish Checking Filter Existence at: ,1707388737395
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737395
Finish Checking Filter Existence at: ,1707388737397
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737397
Finish Checking Filter Existence at: ,1707388737399
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737399
Finish Checking Filter Existence at: ,1707388737401
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737401
Finish Checking Filter Existence at: ,1707388737403
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737403
Finish Checking Filter Existence at: ,1707388737405
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737405
Finish Checking Filter Existence at: ,1707388737406
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737407
Finish Checking Filter Existence at: ,1707388737408
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737409
Finish Checking Filter Existence at: ,1707388737411
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737411
Finish Checking Filter Existence at: ,1707388737413
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737413
Finish Checking Filter Existence at: ,1707388737415
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737415
Finish Checking Filter Existence at: ,1707388737417
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737417
Finish Checking Filter Existence at: ,1707388737419
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737419
Finish Checking Filter Existence at: ,1707388737421
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737421
Finish Checking Filter Existence at: ,1707388737423
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737423
Finish Checking Filter Existence at: ,1707388737425
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737425
Finish Checking Filter Existence at: ,1707388737427
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737427
Finish Checking Filter Existence at: ,1707388737429
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737429
Finish Checking Filter Existence at: ,1707388737431
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737431
Finish Checking Filter Existence at: ,1707388737433
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737433
Finish Checking Filter Existence at: ,1707388737434
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737434
Finish Checking Filter Existence at: ,1707388737436
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737436
Finish Checking Filter Existence at: ,1707388737438
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737438
Finish Checking Filter Existence at: ,1707388737440
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737440
Finish Checking Filter Existence at: ,1707388737441
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737442
Finish Checking Filter Existence at: ,1707388737443
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737443
Finish Checking Filter Existence at: ,1707388737445
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737445
Finish Checking Filter Existence at: ,1707388737446
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737446
Finish Checking Filter Existence at: ,1707388737448
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737448
Finish Checking Filter Existence at: ,1707388737450
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737450
Finish Checking Filter Existence at: ,1707388737451
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737452
Finish Checking Filter Existence at: ,1707388737453
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737453
Finish Checking Filter Existence at: ,1707388737455
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737455
Finish Checking Filter Existence at: ,1707388737456
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737456
Finish Checking Filter Existence at: ,1707388737458
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737458
Finish Checking Filter Existence at: ,1707388737460
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737460
Finish Checking Filter Existence at: ,1707388737462
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737462
Finish Checking Filter Existence at: ,1707388737464
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737464
Finish Checking Filter Existence at: ,1707388737465
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737466
Finish Checking Filter Existence at: ,1707388737467
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737468
Finish Checking Filter Existence at: ,1707388737469
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737469
Finish Checking Filter Existence at: ,1707388737471
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737471
Finish Checking Filter Existence at: ,1707388737473
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737473
Finish Checking Filter Existence at: ,1707388737475
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737475
Finish Checking Filter Existence at: ,1707388737477
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737477
Finish Checking Filter Existence at: ,1707388737478
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737478
Finish Checking Filter Existence at: ,1707388737480
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737480
Finish Checking Filter Existence at: ,1707388737481
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737481
Finish Checking Filter Existence at: ,1707388737483
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737483
Finish Checking Filter Existence at: ,1707388737485
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737485
Finish Checking Filter Existence at: ,1707388737486
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737486
Finish Checking Filter Existence at: ,1707388737488
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737488
Finish Checking Filter Existence at: ,1707388737490
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737490
Finish Checking Filter Existence at: ,1707388737492
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737492
Finish Checking Filter Existence at: ,1707388737493
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737494
Finish Checking Filter Existence at: ,1707388737495
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737495
Finish Checking Filter Existence at: ,1707388737497
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737497
Finish Checking Filter Existence at: ,1707388737499
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737499
Finish Checking Filter Existence at: ,1707388737501
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737501
Finish Checking Filter Existence at: ,1707388737502
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737503
Finish Checking Filter Existence at: ,1707388737504
Checking Latency is,1
Start to Check Filter Existence for the Late Publisher at,1707388737504
Finish Checking Filter Existence at: ,1707388737506
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707388737506
