event,timestamp
New Client Arrived at,1707495161981
Finish New Publisher Related Operations at,1707495161987
New Client Arrived at,1707495178415
A New Subscriber is Identified at,1707495178416
Start Generating Threshold at,1707495178419
Publish Filter to a New Meta Topic at,1707495178419
Latency to Publish the NEW Threshold is,0
Finish New Subscriber Related Operations at,1707495178419
New Client Arrived at,1707495178521
Start to Check Filter Existence for the Late Publisher at,1707495178522
Finish Checking Filter Existence at: ,1707495179538
Checking Latency is,1016
Start to Check Filter Existence for the Late Publisher at,1707495179538
Finish Checking Filter Existence at: ,1707495179561
Checking Latency is,23
Start to Check Filter Existence for the Late Publisher at,1707495179562
Finish Checking Filter Existence at: ,1707495179576
Checking Latency is,14
Start to Check Filter Existence for the Late Publisher at,1707495179577
Finish Checking Filter Existence at: ,1707495179587
Checking Latency is,10
Start to Check Filter Existence for the Late Publisher at,1707495179587
Finish Checking Filter Existence at: ,1707495179594
Checking Latency is,7
Start to Check Filter Existence for the Late Publisher at,1707495179595
Finish Checking Filter Existence at: ,1707495179604
Checking Latency is,9
Start to Check Filter Existence for the Late Publisher at,1707495179604
Finish Checking Filter Existence at: ,1707495179615
Checking Latency is,11
Start to Check Filter Existence for the Late Publisher at,1707495179615
Finish Checking Filter Existence at: ,1707495179625
Checking Latency is,10
Start to Check Filter Existence for the Late Publisher at,1707495179626
Finish Checking Filter Existence at: ,1707495179637
Checking Latency is,11
Start to Check Filter Existence for the Late Publisher at,1707495179637
Finish Checking Filter Existence at: ,1707495179648
Checking Latency is,11
Start to Check Filter Existence for the Late Publisher at,1707495179648
Finish Checking Filter Existence at: ,1707495179656
Checking Latency is,8
Start to Check Filter Existence for the Late Publisher at,1707495179656
Finish Checking Filter Existence at: ,1707495179665
Checking Latency is,9
Start to Check Filter Existence for the Late Publisher at,1707495179665
Finish Checking Filter Existence at: ,1707495179672
Checking Latency is,7
Start to Check Filter Existence for the Late Publisher at,1707495179672
Finish Checking Filter Existence at: ,1707495179678
Checking Latency is,6
Start to Check Filter Existence for the Late Publisher at,1707495179678
Finish Checking Filter Existence at: ,1707495179697
Checking Latency is,19
Start to Check Filter Existence for the Late Publisher at,1707495179697
Finish Checking Filter Existence at: ,1707495179704
Checking Latency is,7
Start to Check Filter Existence for the Late Publisher at,1707495179705
Finish Checking Filter Existence at: ,1707495179722
Checking Latency is,17
Start to Check Filter Existence for the Late Publisher at,1707495179726
Finish Checking Filter Existence at: ,1707495179743
Checking Latency is,17
Start to Check Filter Existence for the Late Publisher at,1707495179744
Finish Checking Filter Existence at: ,1707495179754
Checking Latency is,10
Start to Check Filter Existence for the Late Publisher at,1707495179755
Finish Checking Filter Existence at: ,1707495179767
Checking Latency is,12
Start to Check Filter Existence for the Late Publisher at,1707495179768
Finish Checking Filter Existence at: ,1707495179775
Checking Latency is,7
Start to Check Filter Existence for the Late Publisher at,1707495179775
Finish Checking Filter Existence at: ,1707495179779
Checking Latency is,4
Start to Check Filter Existence for the Late Publisher at,1707495179779
Finish Checking Filter Existence at: ,1707495179784
Checking Latency is,5
Start to Check Filter Existence for the Late Publisher at,1707495179784
Finish Checking Filter Existence at: ,1707495179798
Checking Latency is,14
Start to Check Filter Existence for the Late Publisher at,1707495179799
Finish Checking Filter Existence at: ,1707495179815
Checking Latency is,16
Start to Check Filter Existence for the Late Publisher at,1707495179816
Finish Checking Filter Existence at: ,1707495179832
Checking Latency is,16
Start to Check Filter Existence for the Late Publisher at,1707495179833
Finish Checking Filter Existence at: ,1707495179850
Checking Latency is,17
Finish New Publisher Related Operations at,1707495179852
New Client Arrived at,1707495179955
Start to Check Filter Existence for the Late Publisher at,1707495179955
Finish Checking Filter Existence at: ,1707495179966
Checking Latency is,11
Start to Check Filter Existence for the Late Publisher at,1707495179967
Finish Checking Filter Existence at: ,1707495179980
Checking Latency is,13
Start to Check Filter Existence for the Late Publisher at,1707495179981
Finish Checking Filter Existence at: ,1707495180000
Checking Latency is,19
Start to Check Filter Existence for the Late Publisher at,1707495180000
Finish Checking Filter Existence at: ,1707495180005
Checking Latency is,5
Start to Check Filter Existence for the Late Publisher at,1707495180005
Finish Checking Filter Existence at: ,1707495180022
Checking Latency is,17
Start to Check Filter Existence for the Late Publisher at,1707495180023
Finish Checking Filter Existence at: ,1707495180038
Checking Latency is,15
Start to Check Filter Existence for the Late Publisher at,1707495180039
Finish Checking Filter Existence at: ,1707495180047
Checking Latency is,8
Start to Check Filter Existence for the Late Publisher at,1707495180047
Finish Checking Filter Existence at: ,1707495180077
Checking Latency is,30
Start to Check Filter Existence for the Late Publisher at,1707495180077
Finish Checking Filter Existence at: ,1707495180088
Checking Latency is,11
Start to Check Filter Existence for the Late Publisher at,1707495180088
Finish Checking Filter Existence at: ,1707495180092
Checking Latency is,4
Start to Check Filter Existence for the Late Publisher at,1707495180093
Finish Checking Filter Existence at: ,1707495180097
Checking Latency is,4
Start to Check Filter Existence for the Late Publisher at,1707495180097
Finish Checking Filter Existence at: ,1707495180104
Checking Latency is,7
Start to Check Filter Existence for the Late Publisher at,1707495180105
Finish Checking Filter Existence at: ,1707495180114
Checking Latency is,9
Start to Check Filter Existence for the Late Publisher at,1707495180114
Finish Checking Filter Existence at: ,1707495180123
Checking Latency is,9
Start to Check Filter Existence for the Late Publisher at,1707495180123
Finish Checking Filter Existence at: ,1707495180127
Checking Latency is,4
Start to Check Filter Existence for the Late Publisher at,1707495180127
Finish Checking Filter Existence at: ,1707495180135
Checking Latency is,8
Start to Check Filter Existence for the Late Publisher at,1707495180135
Finish Checking Filter Existence at: ,1707495180139
Checking Latency is,4
Start to Check Filter Existence for the Late Publisher at,1707495180140
Finish Checking Filter Existence at: ,1707495180144
Checking Latency is,4
Start to Check Filter Existence for the Late Publisher at,1707495180144
Finish Checking Filter Existence at: ,1707495180156
Checking Latency is,12
Start to Check Filter Existence for the Late Publisher at,1707495180156
Finish Checking Filter Existence at: ,1707495180163
Checking Latency is,7
Start to Check Filter Existence for the Late Publisher at,1707495180163
Finish Checking Filter Existence at: ,1707495180177
Checking Latency is,14
Start to Check Filter Existence for the Late Publisher at,1707495180177
Finish Checking Filter Existence at: ,1707495180180
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707495180181
Finish Checking Filter Existence at: ,1707495180185
Checking Latency is,4
Start to Check Filter Existence for the Late Publisher at,1707495180185
Finish Checking Filter Existence at: ,1707495180194
Checking Latency is,9
Start to Check Filter Existence for the Late Publisher at,1707495180194
Finish Checking Filter Existence at: ,1707495180198
Checking Latency is,4
Start to Check Filter Existence for the Late Publisher at,1707495180198
Finish Checking Filter Existence at: ,1707495180201
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707495180201
Finish Checking Filter Existence at: ,1707495180204
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707495180204
Finish Checking Filter Existence at: ,1707495180206
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707495180206
Finish Checking Filter Existence at: ,1707495180208
Checking Latency is,2
Start to Check Filter Existence for the Late Publisher at,1707495180208
Finish Checking Filter Existence at: ,1707495180211
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707495180211
Finish Checking Filter Existence at: ,1707495180214
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707495180214
Finish Checking Filter Existence at: ,1707495180217
Checking Latency is,3
Start to Check Filter Existence for the Late Publisher at,1707495180217
