event,timestamp
New Client Arrived at,1695155314550
A New Subscriber is Identified at,1695155314552
Start Generating Threshold at,1695155314553
Publish Filter to a New Meta Topic at,1695155314554
Latency to Publish the NEW Threshold is,0
Start Generating Threshold at,1695155314554
Updated Filter to Meta Topic at,1695155314554
Latency of Updating Filter is,0
Start Generating Threshold at,1695155314554
Updated Filter to Meta Topic at,1695155314554
Latency of Updating Filter is,0
Start Generating Threshold at,1695155314554
Finish New Subscriber Related Operations at,1695155314554
New Client Arrived at,1695155318093
Finish New Publisher Related Operations at,1695155318095
New Client Arrived at,1695155318200
Finish New Publisher Related Operations at,1695155318200
