Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 12:59:03,1707483541,18.09,6.46,510.98,287.67
2024-02-09 12:59:05,1707483543,100,8.74,360.57,353.34
2024-02-09 12:59:07,1707483545,30.85,9.95,0.00,0.00
2024-02-09 12:59:09,1707483547,0,9.96,0.00,0.00
2024-02-09 12:59:11,1707483549,1,9.96,0.00,0.00
2024-02-09 12:59:14,1707483552,0,9.96,0.00,0.00
2024-02-09 12:59:16,1707483554,0.51,9.96,0.00,0.00
2024-02-09 12:59:18,1707483556,1.49,9.96,0.00,0.00
2024-02-09 12:59:20,1707483558,0.5,9.96,0.00,0.00
2024-02-09 12:59:22,1707483560,0,9.97,0.11,0.11
2024-02-09 12:59:24,1707483562,0.51,9.97,568.17,550.17
2024-02-09 12:59:26,1707483564,51.98,10.04,1122.91,1080.52
2024-02-09 12:59:28,1707483566,51.5,10.22,1124.54,1084.11
2024-02-09 12:59:30,1707483568,21.11,10.44,1133.21,1090.40
2024-02-09 12:59:32,1707483570,14.21,10.71,1115.30,1070.38
2024-02-09 12:59:34,1707483572,12.06,10.91,1118.01,1068.79
2024-02-09 12:59:36,1707483574,14.07,11.07,1135.29,1083.82
2024-02-09 12:59:38,1707483576,14.5,11.17,1141.03,1090.05
2024-02-09 12:59:40,1707483578,11.17,11.37,1134.08,1080.98
2024-02-09 12:59:42,1707483580,12.5,11.47,1144.03,1088.72
2024-02-09 12:59:44,1707483582,14.36,11.73,1133.13,1082.60
2024-02-09 12:59:46,1707483584,17.01,11.78,1133.12,1077.85
2024-02-09 12:59:48,1707483586,11.17,11.78,1104.38,1049.61
2024-02-09 12:59:50,1707483588,13.3,11.78,1107.23,1043.36
2024-02-09 12:59:52,1707483590,18.88,11.78,1088.10,1025.37
2024-02-09 12:59:54,1707483592,15.76,11.78,1070.08,1011.79
2024-02-09 12:59:56,1707483594,11.62,11.78,1102.45,1043.82
2024-02-09 12:59:58,1707483596,17.07,11.78,1109.31,1047.23
2024-02-09 13:00:00,1707483598,13.66,11.78,1111.36,1048.48
2024-02-09 13:00:02,1707483600,13.13,11.78,1101.88,1037.07
2024-02-09 13:00:04,1707483602,14.63,11.78,1110.40,1043.71
2024-02-09 13:00:06,1707483604,12.31,11.78,1096.34,1027.67
2024-02-09 13:00:08,1707483606,14,11.79,1105.84,1036.96
2024-02-09 13:00:10,1707483608,17.16,11.79,1117.83,1051.65
2024-02-09 13:00:12,1707483610,11.68,11.79,1108.28,1040.57
2024-02-09 13:00:14,1707483612,11.68,11.79,1090.49,1025.86
2024-02-09 13:00:16,1707483614,15.69,11.78,1099.96,1032.88
2024-02-09 13:00:18,1707483616,12.5,11.78,1064.45,1001.21
2024-02-09 13:00:20,1707483618,16.27,11.79,1087.22,1020.51
2024-02-09 13:00:22,1707483620,13.57,11.79,1015.27,970.64
2024-02-09 13:00:24,1707483622,14.29,11.79,972.97,906.93
2024-02-09 13:00:26,1707483624,11.34,11.79,893.05,833.38
2024-02-09 13:00:28,1707483626,15.35,11.79,858.69,808.50
2024-02-09 13:00:31,1707483628,15.27,11.79,832.40,785.24
2024-02-09 13:00:33,1707483631,14.85,11.79,826.78,778.78
2024-02-09 13:00:35,1707483633,18.09,11.80,767.52,729.12
2024-02-09 13:00:37,1707483635,13.85,11.80,764.88,720.37
2024-02-09 13:00:39,1707483637,15.15,11.80,710.77,664.26
2024-02-09 13:00:41,1707483639,15.08,11.80,645.83,606.85
2024-02-09 13:00:43,1707483641,17.91,11.79,617.88,582.56
2024-02-09 13:00:45,1707483643,16.16,11.80,629.91,594.79
2024-02-09 13:00:47,1707483645,16.75,11.80,612.90,578.26
2024-02-09 13:00:49,1707483647,17.41,11.80,639.04,604.99
2024-02-09 13:00:51,1707483649,16,11.80,645.39,609.75
2024-02-09 13:00:53,1707483651,17.41,11.80,642.22,601.87
2024-02-09 13:00:55,1707483653,19.12,11.80,641.47,604.18
2024-02-09 13:00:57,1707483655,18.32,11.80,630.15,595.18
2024-02-09 13:00:59,1707483657,15.58,11.80,568.89,533.48
2024-02-09 13:01:01,1707483659,17.24,11.80,618.80,583.94
2024-02-09 13:01:03,1707483661,16.92,11.80,606.72,572.30
2024-02-09 13:01:05,1707483663,17.41,11.80,644.73,609.05
2024-02-09 13:01:07,1707483665,14.65,11.80,544.05,523.39
2024-02-09 13:01:09,1707483667,15.66,11.80,575.10,541.52
2024-02-09 13:01:11,1707483669,15.15,11.80,501.51,471.37
2024-02-09 13:01:13,1707483671,19.21,11.80,538.41,505.96
2024-02-09 13:01:15,1707483673,17.09,11.80,514.34,487.16
2024-02-09 13:01:17,1707483675,17.82,11.80,548.37,517.88
2024-02-09 13:01:19,1707483677,17.17,11.81,538.77,509.85
2024-02-09 13:01:21,1707483679,16.42,11.81,576.00,545.65
2024-02-09 13:01:23,1707483681,17.09,11.81,541.23,509.57
2024-02-09 13:01:25,1707483683,17.82,11.81,587.03,554.12
