Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 13:53:31,1707486809,100,7.89,283.28,289.45
2024-02-09 13:53:33,1707486811,98.49,10.11,0.39,0.00
2024-02-09 13:53:35,1707486813,0,10.12,0.00,0.00
2024-02-09 13:53:37,1707486815,0,10.13,0.00,0.00
2024-02-09 13:53:39,1707486817,0.5,10.13,0.00,0.00
2024-02-09 13:53:41,1707486819,2.49,10.14,0.00,0.00
2024-02-09 13:53:43,1707486821,1.02,10.14,0.00,0.00
2024-02-09 13:53:45,1707486823,0.5,10.14,0.00,0.00
2024-02-09 13:53:47,1707486825,0,10.14,0.14,0.08
2024-02-09 13:53:49,1707486827,0,10.14,22.62,22.62
2024-02-09 13:53:51,1707486829,74.37,10.28,555.38,498.22
2024-02-09 13:53:53,1707486831,62.63,10.74,494.35,431.20
2024-02-09 13:53:55,1707486833,36.5,10.92,534.35,467.59
2024-02-09 13:53:57,1707486835,27.46,11.03,499.26,434.01
2024-02-09 13:53:59,1707486837,21.11,11.19,544.47,477.24
2024-02-09 13:54:01,1707486839,16.58,11.30,515.24,448.44
2024-02-09 13:54:03,1707486841,19.29,11.55,559.08,490.38
2024-02-09 13:54:05,1707486843,16.42,11.70,529.96,459.10
2024-02-09 13:54:07,1707486845,15.58,11.85,556.27,486.10
2024-02-09 13:54:09,1707486847,18.09,12.01,510.29,441.54
2024-02-09 13:54:11,1707486849,15.58,12.01,534.24,465.47
2024-02-09 13:54:13,1707486851,16.42,12.01,491.35,423.83
2024-02-09 13:54:15,1707486853,16.67,12.01,546.40,474.77
2024-02-09 13:54:17,1707486855,17.5,12.01,578.61,498.22
2024-02-09 13:54:19,1707486857,19,12.01,598.91,518.29
2024-02-09 13:54:21,1707486859,14.95,12.01,555.91,477.64
2024-02-09 13:54:23,1707486861,17.17,12.01,581.13,500.22
2024-02-09 13:54:25,1707486863,14.5,12.01,556.36,475.40
2024-02-09 13:54:27,1707486865,14.07,12.11,576.93,494.94
2024-02-09 13:54:29,1707486867,12.82,12.26,556.25,472.70
2024-02-09 13:54:31,1707486869,17.33,12.36,594.70,511.97
2024-02-09 13:54:33,1707486871,14.21,12.41,588.14,501.49
2024-02-09 13:54:35,1707486873,14.72,12.41,635.65,547.09
2024-02-09 13:54:37,1707486875,14.5,12.41,635.08,541.53
2024-02-09 13:54:39,1707486877,18.84,12.42,664.96,572.72
2024-02-09 13:54:41,1707486879,11.52,12.42,655.74,560.57
2024-02-09 13:54:43,1707486881,13.2,12.42,672.26,578.57
2024-02-09 13:54:45,1707486883,15.2,12.42,655.43,556.26
2024-02-09 13:54:47,1707486885,10.88,12.42,710.03,608.55
2024-02-09 13:54:49,1707486887,12.63,12.42,697.30,594.64
2024-02-09 13:54:51,1707486889,13.13,12.42,726.26,620.56
2024-02-09 13:54:54,1707486891,11.86,12.42,688.10,586.03
2024-02-09 13:54:56,1707486894,11.62,12.42,717.97,615.02
2024-02-09 13:54:58,1707486896,12.12,12.42,704.85,600.56
2024-02-09 13:55:00,1707486898,12.5,12.42,818.15,702.98
2024-02-09 13:55:02,1707486900,12.44,12.42,829.21,707.65
2024-02-09 13:55:04,1707486902,9.18,12.42,876.16,751.12
2024-02-09 13:55:06,1707486904,11,12.42,899.11,764.75
2024-02-09 13:55:08,1707486906,11.76,12.42,957.22,819.68
2024-02-09 13:55:10,1707486908,12.63,12.42,943.70,802.03
2024-02-09 13:55:12,1707486910,12.38,12.42,991.73,842.36
2024-02-09 13:55:14,1707486912,7.65,12.42,990.57,844.64
2024-02-09 13:55:16,1707486914,5.21,12.42,1114.87,955.93
2024-02-09 13:55:18,1707486916,10.63,12.42,1118.83,957.01
2024-02-09 13:55:20,1707486918,9.05,12.42,1147.62,986.36
2024-02-09 13:55:22,1707486920,7.11,12.42,1124.53,956.02
2024-02-09 13:55:24,1707486922,11.65,12.42,1166.77,994.46
2024-02-09 13:55:26,1707486924,7.96,12.42,1163.81,987.75
2024-02-09 13:55:28,1707486926,7.04,12.42,1158.23,986.34
2024-02-09 13:55:30,1707486928,8,12.42,1126.11,954.69
2024-02-09 13:55:32,1707486930,9.85,12.42,1108.79,941.42
2024-02-09 13:55:34,1707486932,9.8,12.42,1077.83,915.89
2024-02-09 13:55:36,1707486934,9.45,12.42,1082.34,917.39
2024-02-09 13:55:38,1707486936,9.5,12.43,1082.24,920.38
2024-02-09 13:55:40,1707486938,9.6,12.43,1085.55,924.72
2024-02-09 13:55:42,1707486940,9.45,12.43,1039.26,883.98
2024-02-09 13:55:44,1707486942,6.63,12.43,1050.79,892.57
2024-02-09 13:55:46,1707486944,8.54,12.43,1068.10,909.82
2024-02-09 13:55:48,1707486946,8.04,12.43,1073.96,910.50
2024-02-09 13:55:50,1707486948,7.58,12.44,1090.09,928.36
2024-02-09 13:55:52,1707486950,7.11,12.44,1081.37,915.43
2024-02-09 13:55:54,1707486952,8.46,12.44,1104.05,942.72
2024-02-09 13:55:56,1707486954,8.87,12.44,1113.41,947.03
2024-02-09 13:55:58,1707486956,7.5,12.44,1074.91,916.13
2024-02-09 13:56:00,1707486958,7.54,12.44,1075.89,914.30
2024-02-09 13:56:02,1707486960,6.12,12.44,1091.29,929.97
2024-02-09 13:56:04,1707486962,7.04,12.44,1083.40,920.75
2024-02-09 13:56:06,1707486964,7.07,12.44,1080.22,920.15
2024-02-09 13:56:08,1707486966,7.07,12.44,1063.51,906.36
2024-02-09 13:56:10,1707486968,9.85,12.44,1071.29,911.93
2024-02-09 13:56:12,1707486970,10.84,12.44,1014.87,869.71
2024-02-09 13:56:14,1707486972,8.5,12.44,1035.06,884.39
2024-02-09 13:56:16,1707486974,8.08,12.44,984.60,830.59
2024-02-09 13:56:19,1707486976,8.96,12.55,990.84,845.00
2024-02-09 13:56:21,1707486979,8.54,12.55,931.97,791.40
2024-02-09 13:56:23,1707486981,11.33,12.55,957.57,812.12
2024-02-09 13:56:25,1707486983,8.59,12.55,930.05,789.04
2024-02-09 13:56:27,1707486985,9.95,12.55,937.01,798.53
2024-02-09 13:56:29,1707486987,9.05,12.55,915.97,780.25
2024-02-09 13:56:31,1707486989,9.5,12.55,922.23,784.20
2024-02-09 13:56:33,1707486991,13.66,12.55,883.96,750.08
2024-02-09 13:56:35,1707486993,9.14,12.55,892.04,755.33
2024-02-09 13:56:37,1707486995,11.39,12.55,901.87,760.29
2024-02-09 13:56:39,1707486997,10.05,12.55,878.47,747.53
2024-02-09 13:56:41,1707486999,11.39,12.55,878.37,744.25
2024-02-09 13:56:43,1707487001,12.75,12.55,852.19,728.49
2024-02-09 13:56:45,1707487003,9.6,12.55,800.02,674.51
2024-02-09 13:56:47,1707487005,10.2,12.55,794.43,673.81
2024-02-09 13:56:49,1707487007,14.22,12.55,772.75,655.28
2024-02-09 13:56:51,1707487009,12,12.55,738.78,625.69
2024-02-09 13:56:53,1707487011,12.18,12.55,658.27,552.21
2024-02-09 13:56:55,1707487013,11.62,12.56,666.99,569.91
2024-02-09 13:56:57,1707487015,12.18,12.56,631.73,532.38
2024-02-09 13:56:59,1707487017,12.06,12.56,657.84,562.69
2024-02-09 13:57:01,1707487019,12.24,12.56,637.84,541.75
2024-02-09 13:57:03,1707487021,14,12.61,610.42,518.41
2024-02-09 13:57:05,1707487023,15.61,12.61,562.19,472.31
2024-02-09 13:57:07,1707487025,13.64,12.31,598.01,508.00
2024-02-09 13:57:09,1707487027,12.63,12.31,588.96,499.17
2024-02-09 13:57:11,1707487029,15.35,12.31,616.18,528.22
2024-02-09 13:57:13,1707487031,14.5,12.11,579.07,489.84
2024-02-09 13:57:15,1707487033,12.63,12.13,610.89,525.12
2024-02-09 13:57:17,1707487035,13.07,12.14,610.40,515.87
2024-02-09 13:57:19,1707487037,14.71,12.14,641.04,549.82
2024-02-09 13:57:21,1707487039,14,12.15,606.06,511.39
2024-02-09 13:57:23,1707487041,14.5,12.15,619.26,528.28
2024-02-09 13:57:25,1707487043,12.24,12.15,584.35,492.91
2024-02-09 13:57:27,1707487045,14,12.15,623.01,531.26
2024-02-09 13:57:29,1707487047,14,12.15,604.35,508.51
2024-02-09 13:57:31,1707487049,12.63,12.15,627.57,538.83
2024-02-09 13:57:33,1707487051,13.43,12.15,592.92,503.35
2024-02-09 13:57:35,1707487053,13.57,12.16,577.45,490.86
2024-02-09 13:57:37,1707487055,15.08,12.16,506.60,422.88
2024-02-09 13:57:39,1707487057,21.67,12.16,517.46,441.99
2024-02-09 13:57:42,1707487059,15.5,12.16,470.56,394.83
2024-02-09 13:57:44,1707487062,15.15,12.32,503.61,428.62
2024-02-09 13:57:46,1707487064,14.57,12.32,476.37,403.51
2024-02-09 13:57:48,1707487066,13.71,12.32,509.69,434.26
2024-02-09 13:57:50,1707487068,13.85,12.32,504.66,425.85
2024-02-09 13:57:52,1707487070,13.33,12.32,538.06,460.24
2024-02-09 13:57:54,1707487072,16.92,12.33,505.58,429.63
2024-02-09 13:57:56,1707487074,15,12.33,513.88,437.77
2024-02-09 13:57:58,1707487076,13.13,12.33,523.78,442.44
2024-02-09 13:58:00,1707487078,14.57,12.33,553.73,475.23
2024-02-09 13:58:02,1707487080,14.65,12.33,507.44,427.53
2024-02-09 13:58:04,1707487082,14.93,12.33,578.29,492.99
2024-02-09 13:58:06,1707487084,16.67,12.33,584.94,497.55
2024-02-09 13:58:08,1707487086,14.93,12.33,653.95,559.54
2024-02-09 13:58:10,1707487088,13.43,12.33,645.32,549.26
2024-02-09 13:58:12,1707487090,12.56,12.33,671.25,573.14
2024-02-09 13:58:14,1707487092,10.71,12.33,668.61,566.52
2024-02-09 13:58:16,1707487094,12.5,12.33,694.58,592.36
2024-02-09 13:58:18,1707487096,12.18,12.33,707.32,600.65
2024-02-09 13:58:20,1707487098,13.86,12.33,728.96,621.50
2024-02-09 13:58:22,1707487100,11.17,12.33,697.84,590.61
2024-02-09 13:58:24,1707487102,11.11,12.34,726.86,618.75
2024-02-09 13:58:26,1707487104,10.66,12.34,738.11,629.55
2024-02-09 13:58:28,1707487106,10.61,12.34,762.87,649.68
2024-02-09 13:58:30,1707487108,10.1,12.34,723.72,615.75
2024-02-09 13:58:32,1707487110,13.57,12.34,736.36,627.16
2024-02-09 13:58:34,1707487112,11.06,12.34,717.98,606.74
2024-02-09 13:58:36,1707487114,10.77,12.34,739.93,630.89
2024-02-09 13:58:38,1707487116,13.79,12.34,728.46,619.54
2024-02-09 13:58:40,1707487118,12.38,12.34,760.53,649.81
2024-02-09 13:58:42,1707487120,10.66,12.34,762.13,648.13
2024-02-09 13:58:44,1707487122,9.09,12.34,824.56,704.10
2024-02-09 13:58:46,1707487124,9.5,12.34,898.08,767.65
2024-02-09 13:58:48,1707487126,11.22,12.34,915.42,785.96
2024-02-09 13:58:50,1707487128,6.7,12.34,905.61,770.03
2024-02-09 13:58:52,1707487130,9.55,12.34,917.44,782.06
2024-02-09 13:58:54,1707487132,9.95,12.34,903.80,772.47
2024-02-09 13:58:56,1707487134,9.95,12.34,917.68,783.87
2024-02-09 13:58:58,1707487136,11.76,12.35,898.63,762.15
2024-02-09 13:59:00,1707487138,8.72,12.35,898.41,765.11
2024-02-09 13:59:02,1707487140,11.33,12.35,912.06,775.68
2024-02-09 13:59:04,1707487142,10.29,12.35,1030.25,880.78
2024-02-09 13:59:07,1707487144,7.65,12.35,970.74,826.61
2024-02-09 13:59:09,1707487147,8.59,12.35,977.30,832.92
