Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 14:07:30,1707487648,100,8.76,341.21,351.96
2024-02-09 14:07:32,1707487650,43.22,10.21,0.00,0.00
2024-02-09 14:07:34,1707487652,0.99,10.22,0.00,0.00
2024-02-09 14:07:37,1707487654,0.5,10.22,0.00,0.00
2024-02-09 14:07:39,1707487657,0,10.22,0.00,0.00
2024-02-09 14:07:41,1707487659,1.01,10.22,0.00,0.00
2024-02-09 14:07:43,1707487661,0,10.23,0.00,0.00
2024-02-09 14:07:45,1707487663,0,10.23,0.00,0.00
2024-02-09 14:07:47,1707487665,0.5,10.23,0.00,0.00
2024-02-09 14:07:49,1707487667,0,10.23,100.71,114.40
2024-02-09 14:07:51,1707487669,74.63,10.25,611.60,550.73
2024-02-09 14:07:53,1707487671,49.5,10.36,553.79,477.00
2024-02-09 14:07:55,1707487673,37.69,10.79,587.28,514.84
2024-02-09 14:07:57,1707487675,28.08,10.96,584.36,507.16
2024-02-09 14:07:59,1707487677,18,11.11,643.46,565.03
2024-02-09 14:08:01,1707487679,16.75,11.26,645.74,560.53
2024-02-09 14:08:03,1707487681,19,11.41,758.47,661.16
2024-02-09 14:08:05,1707487683,14.72,11.51,774.44,669.89
2024-02-09 14:08:07,1707487685,13.2,11.71,821.55,712.38
2024-02-09 14:08:09,1707487687,14.65,11.71,834.71,720.74
2024-02-09 14:08:11,1707487689,12.69,11.71,857.40,741.77
2024-02-09 14:08:13,1707487691,13.79,11.71,865.74,746.30
2024-02-09 14:08:15,1707487693,11.06,11.71,912.04,784.95
2024-02-09 14:08:17,1707487695,13.3,11.72,886.18,758.39
2024-02-09 14:08:19,1707487697,13,11.72,921.27,789.41
2024-02-09 14:08:21,1707487699,12.5,11.72,916.78,782.05
2024-02-09 14:08:23,1707487701,12.44,11.72,956.37,818.34
2024-02-09 14:08:25,1707487703,11.44,11.72,945.22,807.67
2024-02-09 14:08:27,1707487705,11,11.72,985.93,845.67
2024-02-09 14:08:29,1707487707,9.64,11.72,954.78,815.97
2024-02-09 14:08:31,1707487709,12.56,11.72,969.60,831.24
2024-02-09 14:08:33,1707487711,12.5,11.72,959.38,818.93
2024-02-09 14:08:35,1707487713,11.76,11.72,1003.49,858.58
2024-02-09 14:08:37,1707487715,10.95,11.72,995.19,846.02
2024-02-09 14:08:39,1707487717,14.71,11.72,1019.14,872.49
2024-02-09 14:08:41,1707487719,8.63,11.72,1058.66,905.62
2024-02-09 14:08:43,1707487721,9.05,11.72,1004.90,857.12
2024-02-09 14:08:45,1707487723,10.4,11.72,1026.62,873.90
2024-02-09 14:08:47,1707487725,9.9,11.73,1021.40,869.53
2024-02-09 14:08:49,1707487727,11.82,11.73,1005.31,853.07
2024-02-09 14:08:51,1707487729,11.39,11.73,995.61,847.86
2024-02-09 14:08:53,1707487731,9.64,11.73,1005.66,857.42
2024-02-09 14:08:55,1707487733,10,11.73,988.60,848.36
2024-02-09 14:08:57,1707487735,8.63,11.73,992.48,846.48
2024-02-09 14:09:00,1707487737,11.33,11.73,986.29,842.29
2024-02-09 14:09:02,1707487740,10.95,11.73,996.73,849.80
2024-02-09 14:09:04,1707487742,9.5,11.73,969.57,829.28
2024-02-09 14:09:06,1707487744,12.25,11.73,973.33,829.97
2024-02-09 14:09:08,1707487746,10.05,11.73,954.49,809.62
2024-02-09 14:09:10,1707487748,15.66,11.73,965.20,824.79
2024-02-09 14:09:12,1707487750,11.44,11.73,954.48,813.07
2024-02-09 14:09:14,1707487752,9.09,11.73,1045.65,894.84
2024-02-09 14:09:16,1707487754,7.61,11.73,1065.76,909.65
2024-02-09 14:09:18,1707487756,8.5,11.73,1095.91,940.66
2024-02-09 14:09:20,1707487758,8.5,11.73,1093.00,931.67
2024-02-09 14:09:22,1707487760,10.24,11.73,1119.51,956.94
2024-02-09 14:09:24,1707487762,8.54,11.74,1092.02,930.25
2024-02-09 14:09:26,1707487764,8.87,11.74,1094.32,937.54
2024-02-09 14:09:28,1707487766,10.4,11.74,1062.23,903.21
2024-02-09 14:09:30,1707487768,8.5,11.74,1090.82,929.69
2024-02-09 14:09:32,1707487770,8.04,11.74,1045.01,889.33
2024-02-09 14:09:34,1707487772,7.04,11.75,1079.08,921.71
2024-02-09 14:09:36,1707487774,9.9,11.75,1001.96,851.40
2024-02-09 14:09:38,1707487776,10.34,11.75,1037.48,881.80
2024-02-09 14:09:40,1707487778,9,11.75,978.10,831.53
2024-02-09 14:09:42,1707487780,9.95,11.75,984.96,841.50
2024-02-09 14:09:44,1707487782,8.54,11.75,941.77,800.98
2024-02-09 14:09:46,1707487784,9.09,11.44,900.73,768.73
2024-02-09 14:09:48,1707487786,10.5,11.44,837.33,706.60
2024-02-09 14:09:50,1707487788,11.56,11.46,859.90,736.15
2024-02-09 14:09:52,1707487790,10.61,11.46,773.55,654.44
