Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 15:03:25,1707491003,100,7.54,417.52,329.66
2024-02-09 15:03:27,1707491005,99.49,10.07,28.99,28.39
2024-02-09 15:03:29,1707491007,1,10.13,0.00,0.00
2024-02-09 15:03:31,1707491009,1.98,10.14,0.00,0.00
2024-02-09 15:03:33,1707491011,1,10.14,0.00,0.00
2024-02-09 15:03:35,1707491013,2.5,10.14,0.00,0.00
2024-02-09 15:03:37,1707491015,2.53,10.14,0.00,0.00
2024-02-09 15:03:39,1707491017,0.5,10.14,0.00,0.00
2024-02-09 15:03:41,1707491019,0,10.15,0.14,0.14
2024-02-09 15:03:43,1707491021,0.99,10.15,114.68,82.92
2024-02-09 15:03:45,1707491023,38.07,10.15,637.04,456.94
2024-02-09 15:03:47,1707491025,48.98,10.35,585.31,377.23
2024-02-09 15:03:49,1707491027,26.21,10.64,621.21,407.44
2024-02-09 15:03:51,1707491029,18.69,10.74,610.54,390.79
2024-02-09 15:03:53,1707491031,29.29,10.86,653.38,426.43
2024-02-09 15:03:55,1707491033,34.34,11.08,638.42,411.77
2024-02-09 15:03:57,1707491035,16.41,11.29,682.97,445.58
2024-02-09 15:03:59,1707491037,10.82,11.34,680.07,435.31
2024-02-09 15:04:01,1707491039,14.85,11.49,701.91,458.53
2024-02-09 15:04:03,1707491041,13.13,11.59,678.35,432.19
2024-02-09 15:04:05,1707491043,12.31,11.69,727.22,475.61
2024-02-09 15:04:07,1707491045,13.2,11.79,749.17,475.84
2024-02-09 15:04:09,1707491047,9.74,11.79,784.45,509.23
2024-02-09 15:04:11,1707491049,13.17,11.79,793.82,504.08
2024-02-09 15:04:14,1707491052,13.79,11.79,832.98,539.40
2024-02-09 15:04:16,1707491054,11.68,11.79,811.55,516.49
2024-02-09 15:04:18,1707491056,11.5,11.79,839.47,540.40
2024-02-09 15:04:20,1707491058,10.95,11.48,825.46,523.44
2024-02-09 15:04:22,1707491060,9.14,11.49,859.87,553.92
2024-02-09 15:04:24,1707491062,10.45,11.49,845.51,534.46
2024-02-09 15:04:26,1707491064,11.44,11.49,888.83,572.20
2024-02-09 15:04:28,1707491066,9.45,11.50,878.50,556.38
2024-02-09 15:04:30,1707491068,10.73,11.50,920.81,590.69
2024-02-09 15:04:32,1707491070,9.41,11.50,924.26,582.47
2024-02-09 15:04:34,1707491072,8.59,11.50,962.64,617.95
2024-02-09 15:04:36,1707491074,9,11.50,902.84,569.40
2024-02-09 15:04:38,1707491076,9.95,11.50,924.35,587.36
2024-02-09 15:04:40,1707491078,9.05,11.50,900.20,564.71
2024-02-09 15:04:42,1707491080,8.46,11.50,936.75,599.29
2024-02-09 15:04:44,1707491082,8.46,11.50,916.60,576.68
2024-02-09 15:04:46,1707491084,8.54,11.50,962.32,612.06
2024-02-09 15:04:48,1707491086,8,11.50,939.14,589.79
2024-02-09 15:04:50,1707491088,6.53,11.51,971.71,621.68
2024-02-09 15:04:52,1707491090,5.58,11.51,964.08,604.36
2024-02-09 15:04:54,1707491092,8.5,11.51,940.30,600.43
2024-02-09 15:04:56,1707491094,7.11,11.51,879.46,552.07
2024-02-09 15:04:58,1707491096,6.6,11.51,930.39,595.91
2024-02-09 15:05:00,1707491098,6.6,11.51,858.84,539.30
2024-02-09 15:05:02,1707491100,8.54,11.51,884.54,561.37
2024-02-09 15:05:04,1707491102,9.5,11.51,871.25,550.23
2024-02-09 15:05:06,1707491104,11.11,11.51,901.66,575.05
2024-02-09 15:05:08,1707491106,8.91,11.51,903.88,568.49
2024-02-09 15:05:10,1707491108,6.6,11.51,906.88,581.45
2024-02-09 15:05:12,1707491110,7.54,11.51,892.10,560.46
2024-02-09 15:05:14,1707491112,8.5,11.51,917.44,584.90
2024-02-09 15:05:16,1707491114,8.54,11.51,906.11,571.71
2024-02-09 15:05:18,1707491116,7.58,11.51,897.39,572.12
2024-02-09 15:05:20,1707491118,8.04,11.51,838.76,528.39
2024-02-09 15:05:22,1707491120,8.08,11.51,844.08,535.04
2024-02-09 15:05:24,1707491122,5.7,11.51,836.87,526.91
2024-02-09 15:05:26,1707491124,9,11.52,840.43,535.22
2024-02-09 15:05:28,1707491126,8.08,11.52,820.82,517.34
2024-02-09 15:05:30,1707491128,9.85,11.52,814.09,516.06
2024-02-09 15:05:32,1707491130,8.54,11.52,783.61,492.79
2024-02-09 15:05:34,1707491132,10.84,11.52,799.49,509.63
2024-02-09 15:05:36,1707491134,9.14,11.52,757.15,476.34
2024-02-09 15:05:39,1707491136,10.4,11.52,778.00,494.24
2024-02-09 15:05:41,1707491139,8.04,11.52,766.46,483.65
2024-02-09 15:05:43,1707491141,9.9,11.52,755.30,483.08
2024-02-09 15:05:45,1707491143,9.55,11.52,747.98,472.38
2024-02-09 15:05:47,1707491145,9.5,11.52,742.34,471.04
2024-02-09 15:05:49,1707491147,7.61,11.52,735.30,465.22
2024-02-09 15:05:51,1707491149,7.18,11.52,739.21,470.87
2024-02-09 15:05:53,1707491151,9.95,11.52,732.80,461.48
2024-02-09 15:05:55,1707491153,9.55,11.52,725.07,461.64
2024-02-09 15:05:57,1707491155,11.39,11.52,713.01,452.46
2024-02-09 15:05:59,1707491157,11.33,11.52,734.37,465.98
2024-02-09 15:06:01,1707491159,10.05,11.52,704.60,444.65
2024-02-09 15:06:03,1707491161,11.39,11.52,696.26,441.62
2024-02-09 15:06:05,1707491163,10.61,11.52,708.23,449.60
2024-02-09 15:06:07,1707491165,11.06,11.52,692.08,437.84
2024-02-09 15:06:09,1707491167,8.16,11.52,694.70,442.46
2024-02-09 15:06:11,1707491169,9.14,11.53,659.15,415.92
2024-02-09 15:06:13,1707491171,12.25,11.53,656.89,417.16
2024-02-09 15:06:15,1707491173,10.55,11.53,635.75,402.40
2024-02-09 15:06:17,1707491175,10.15,11.53,608.27,383.87
2024-02-09 15:06:19,1707491177,12.44,11.53,562.73,355.83
2024-02-09 15:06:21,1707491179,11.5,11.53,548.75,347.64
2024-02-09 15:06:23,1707491181,13.79,11.53,555.14,351.60
2024-02-09 15:06:25,1707491183,13.43,11.53,486.27,309.59
2024-02-09 15:06:27,1707491185,13.93,11.53,478.53,300.19
2024-02-09 15:06:29,1707491187,12.44,11.53,475.30,300.20
