Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 15:34:37,1707492875,100,7.53,347.74,304.14
2024-02-09 15:34:39,1707492877,100,10.03,124.58,118.64
2024-02-09 15:34:41,1707492879,1.49,10.57,0.00,0.00
2024-02-09 15:34:43,1707492881,0.5,10.58,0.00,0.00
2024-02-09 15:34:45,1707492883,0.5,10.58,0.00,0.00
2024-02-09 15:34:47,1707492885,0.51,10.58,0.00,0.00
2024-02-09 15:34:49,1707492887,1.01,10.58,0.00,0.00
2024-02-09 15:34:51,1707492889,0,10.60,0.00,0.00
2024-02-09 15:34:53,1707492891,0,10.60,0.14,0.14
2024-02-09 15:34:55,1707492893,0,10.61,4.64,5.41
2024-02-09 15:34:57,1707492895,36,10.71,414.71,250.06
2024-02-09 15:34:59,1707492897,40.61,10.93,440.46,224.48
2024-02-09 15:35:01,1707492899,46.08,11.11,428.41,210.39
2024-02-09 15:35:03,1707492901,13.07,11.17,448.46,233.65
2024-02-09 15:35:05,1707492903,14.63,11.27,430.26,213.84
2024-02-09 15:35:07,1707492905,18.37,11.47,383.54,187.65
2024-02-09 15:35:09,1707492907,19.9,11.57,377.35,197.56
2024-02-09 15:35:11,1707492909,13.07,11.67,351.12,171.78
2024-02-09 15:35:14,1707492911,21.57,11.77,380.14,188.24
2024-02-09 15:35:16,1707492914,15.76,11.82,447.02,237.22
2024-02-09 15:35:18,1707492916,35.35,11.92,413.10,203.25
2024-02-09 15:35:20,1707492918,28.36,11.92,414.00,202.60
2024-02-09 15:35:22,1707492920,12.63,11.92,421.44,220.78
2024-02-09 15:35:24,1707492922,14.57,11.92,407.16,199.07
2024-02-09 15:35:26,1707492924,14.85,11.92,383.09,187.81
2024-02-09 15:35:28,1707492926,10.66,11.92,383.88,200.09
2024-02-09 15:35:30,1707492928,12.44,11.61,351.51,169.71
2024-02-09 15:35:32,1707492930,11.56,11.61,347.68,169.28
2024-02-09 15:35:34,1707492932,15,11.61,410.13,216.25
2024-02-09 15:35:36,1707492934,11.22,11.61,382.03,188.26
2024-02-09 15:35:38,1707492936,13,11.61,379.05,185.87
2024-02-09 15:35:40,1707492938,10.71,11.61,406.41,213.41
2024-02-09 15:35:42,1707492940,11.44,11.61,418.08,204.50
2024-02-09 15:35:44,1707492942,12.56,11.61,382.07,186.96
2024-02-09 15:35:46,1707492944,9.18,11.61,480.82,253.50
2024-02-09 15:35:48,1707492946,15.2,11.61,440.96,217.92
2024-02-09 15:35:50,1707492948,8.76,11.61,443.84,217.11
2024-02-09 15:35:52,1707492950,10.55,11.61,481.40,250.96
2024-02-09 15:35:54,1707492952,13.3,11.62,446.57,218.74
2024-02-09 15:35:56,1707492954,11.44,11.62,446.10,218.08
2024-02-09 15:35:58,1707492956,14.98,11.62,480.44,252.16
2024-02-09 15:36:00,1707492958,12.38,11.62,447.21,218.87
2024-02-09 15:36:02,1707492960,8.72,11.62,454.17,220.86
2024-02-09 15:36:04,1707492962,11.94,11.62,488.63,255.73
2024-02-09 15:36:06,1707492964,9.64,11.62,459.98,225.24
2024-02-09 15:36:08,1707492966,12.38,11.62,458.35,223.02
2024-02-09 15:36:10,1707492968,13.5,11.62,539.67,283.09
2024-02-09 15:36:12,1707492970,12.44,11.62,462.23,225.22
2024-02-09 15:36:14,1707492972,11.62,11.62,450.25,217.45
2024-02-09 15:36:16,1707492974,13.71,11.62,451.49,233.91
2024-02-09 15:36:18,1707492976,16.34,11.62,390.80,189.59
2024-02-09 15:36:20,1707492978,11.11,11.62,395.70,192.28
2024-02-09 15:36:22,1707492980,12.87,11.63,416.67,216.70
2024-02-09 15:36:24,1707492982,12,11.63,395.47,195.33
2024-02-09 15:36:26,1707492984,12.44,11.63,409.71,201.14
2024-02-09 15:36:28,1707492986,12.87,11.63,433.36,228.74
2024-02-09 15:36:30,1707492988,14.15,11.63,488.11,242.57
2024-02-09 15:36:32,1707492990,8.67,11.63,519.87,257.92
2024-02-09 15:36:34,1707492992,10.05,11.63,574.81,300.34
2024-02-09 15:36:36,1707492994,9.6,11.63,625.45,312.36
2024-02-09 15:36:38,1707492996,10.1,11.63,663.91,329.24
2024-02-09 15:36:41,1707492998,8.54,11.63,696.82,359.14
2024-02-09 15:36:43,1707493001,7.54,11.68,707.93,351.99
2024-02-09 15:36:45,1707493003,9.85,11.68,704.98,347.62
2024-02-09 15:36:47,1707493005,8.63,11.69,790.45,405.60
2024-02-09 15:36:49,1707493007,10.34,11.69,783.93,389.35
2024-02-09 15:36:51,1707493009,6.97,11.69,797.89,392.04
2024-02-09 15:36:53,1707493011,7.96,11.69,848.23,431.70
2024-02-09 15:36:55,1707493013,6.6,11.69,822.63,406.87
2024-02-09 15:36:57,1707493015,7.07,11.69,847.43,416.49
2024-02-09 15:36:59,1707493017,7.96,11.69,880.89,448.34
2024-02-09 15:37:01,1707493019,5.64,11.74,878.71,435.30
2024-02-09 15:37:03,1707493021,5.56,11.74,854.13,421.92
2024-02-09 15:37:05,1707493023,6.97,11.74,885.30,450.08
2024-02-09 15:37:07,1707493025,7.88,11.74,883.14,439.94
2024-02-09 15:37:09,1707493027,6.53,11.74,869.91,429.67
2024-02-09 15:37:11,1707493029,7.84,11.74,942.22,480.65
2024-02-09 15:37:13,1707493031,4.55,11.74,961.76,479.21
2024-02-09 15:37:15,1707493033,4.06,11.74,972.15,486.68
2024-02-09 15:37:17,1707493035,4.52,11.74,997.84,507.31
2024-02-09 15:37:19,1707493037,7.39,11.74,971.66,481.50
2024-02-09 15:37:21,1707493039,5,11.74,945.85,470.22
2024-02-09 15:37:23,1707493041,5.53,11.74,960.94,485.92
2024-02-09 15:37:25,1707493043,3.57,11.74,942.75,468.32
2024-02-09 15:37:27,1707493045,4.08,11.74,940.13,469.38
2024-02-09 15:37:29,1707493047,4.06,11.74,952.09,480.09
2024-02-09 15:37:31,1707493049,3.08,11.74,926.31,458.51
2024-02-09 15:37:33,1707493051,4.04,11.74,931.26,463.78
2024-02-09 15:37:35,1707493053,5.47,11.74,921.31,459.37
2024-02-09 15:37:37,1707493055,5.53,11.74,921.34,453.96
2024-02-09 15:37:39,1707493057,6,11.74,877.08,434.67
2024-02-09 15:37:41,1707493059,5.5,11.74,888.20,445.41
2024-02-09 15:37:43,1707493061,5.56,11.74,867.93,430.57
2024-02-09 15:37:45,1707493063,7.58,11.74,871.90,435.80
2024-02-09 15:37:47,1707493065,8.37,11.74,875.29,440.96
2024-02-09 15:37:49,1707493067,8.37,11.74,859.68,426.45
2024-02-09 15:37:51,1707493069,5.08,11.74,855.28,426.77
2024-02-09 15:37:53,1707493071,6.53,11.74,858.46,431.58
2024-02-09 15:37:55,1707493073,5.08,11.89,868.58,432.93
2024-02-09 15:37:57,1707493075,5.1,11.89,875.90,439.39
2024-02-09 15:37:59,1707493077,8.78,11.89,884.77,443.02
2024-02-09 15:38:01,1707493079,6.47,11.89,875.10,433.83
2024-02-09 15:38:03,1707493081,6.97,11.89,887.83,446.88
2024-02-09 15:38:05,1707493083,8.33,11.94,885.88,444.06
2024-02-09 15:38:07,1707493085,5.1,11.95,832.58,413.26
2024-02-09 15:38:10,1707493087,5.1,11.95,854.83,429.67
2024-02-09 15:38:12,1707493090,4.12,11.95,841.85,421.49
2024-02-09 15:38:14,1707493092,6.53,11.95,843.92,419.79
2024-02-09 15:38:16,1707493094,5.05,11.95,863.18,436.45
2024-02-09 15:38:18,1707493096,7.92,11.95,866.41,432.32
2024-02-09 15:38:20,1707493098,6.93,11.95,914.69,452.58
2024-02-09 15:38:22,1707493100,6.03,11.95,915.24,462.20
2024-02-09 15:38:24,1707493102,5.08,11.95,896.04,445.53
2024-02-09 15:38:26,1707493104,5.5,11.98,878.06,434.64
2024-02-09 15:38:28,1707493106,6.5,11.98,890.95,449.93
2024-02-09 15:38:30,1707493108,7.43,11.67,823.06,406.93
2024-02-09 15:38:32,1707493110,7.92,11.67,726.13,356.17
2024-02-09 15:38:34,1707493112,7.58,11.67,706.59,358.43
2024-02-09 15:38:36,1707493114,8.5,11.46,675.37,334.07
2024-02-09 15:38:38,1707493116,7.14,11.46,661.45,325.21
2024-02-09 15:38:40,1707493118,8.54,11.46,685.80,350.40
2024-02-09 15:38:42,1707493120,6.6,11.46,674.15,336.28
2024-02-09 15:38:44,1707493122,8.5,11.46,651.87,319.38
2024-02-09 15:38:46,1707493124,10.73,11.46,690.77,354.09
2024-02-09 15:38:48,1707493126,8.08,11.46,645.61,318.87
2024-02-09 15:38:50,1707493128,8.59,11.46,638.44,310.75
2024-02-09 15:38:52,1707493130,8.72,11.46,636.02,322.46
2024-02-09 15:38:54,1707493132,9.14,11.47,612.03,300.74
2024-02-09 15:38:56,1707493134,9.05,11.47,601.16,293.39
2024-02-09 15:38:58,1707493136,11.39,11.47,607.74,313.80
2024-02-09 15:39:00,1707493138,8.63,11.47,535.80,260.88
2024-02-09 15:39:02,1707493140,9.95,11.47,528.32,256.10
2024-02-09 15:39:04,1707493142,9.55,11.47,552.64,284.86
2024-02-09 15:39:06,1707493144,10.05,11.47,447.75,215.00
2024-02-09 15:39:08,1707493146,12.56,11.48,391.86,186.49
2024-02-09 15:39:10,1707493148,13.66,11.48,418.93,215.23
2024-02-09 15:39:12,1707493150,11.06,11.48,398.95,191.02
2024-02-09 15:39:14,1707493152,10.15,11.48,395.06,190.75
2024-02-09 15:39:16,1707493154,9.74,11.48,421.67,219.67
2024-02-09 15:39:18,1707493156,11.56,11.48,394.83,192.22
2024-02-09 15:39:20,1707493158,10.15,11.48,394.06,191.14
2024-02-09 15:39:22,1707493160,13.5,11.48,441.78,230.79
2024-02-09 15:39:24,1707493162,12,11.49,417.88,204.19
2024-02-09 15:39:26,1707493164,10.61,11.49,424.98,206.91
2024-02-09 15:39:28,1707493166,10.61,11.50,456.32,236.86
2024-02-09 15:39:30,1707493168,8.72,11.50,446.63,217.86
2024-02-09 15:39:32,1707493170,9.64,11.50,458.84,224.59
2024-02-09 15:39:34,1707493172,9.64,11.50,507.08,265.28
2024-02-09 15:39:37,1707493174,8.72,11.50,475.49,232.37
2024-02-09 15:39:39,1707493177,12.44,11.50,479.34,233.13
2024-02-09 15:39:41,1707493179,9.55,11.50,486.56,252.84
2024-02-09 15:39:43,1707493181,10.45,11.50,448.68,218.31
2024-02-09 15:39:45,1707493183,11.88,11.50,440.11,212.70
2024-02-09 15:39:47,1707493185,11.94,11.50,441.15,229.90
2024-02-09 15:39:49,1707493187,12.87,11.50,434.98,213.23
