Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 16:33:53,1707496431,99.5,7.57,372.54,319.03
2024-02-09 16:33:55,1707496433,100,9.87,93.25,90.77
2024-02-09 16:33:57,1707496435,0.5,10.10,0.00,0.00
2024-02-09 16:33:59,1707496437,0,10.10,0.00,0.00
2024-02-09 16:34:01,1707496439,0,10.11,0.00,0.00
2024-02-09 16:34:03,1707496441,1.52,10.11,0.00,0.00
2024-02-09 16:34:05,1707496443,2.02,10.11,0.00,0.00
2024-02-09 16:34:07,1707496445,1,10.11,0.00,0.00
2024-02-09 16:34:09,1707496447,0,10.11,0.14,0.14
2024-02-09 16:34:11,1707496449,0.5,10.11,5.03,5.87
2024-02-09 16:34:13,1707496451,41,10.12,408.55,160.38
2024-02-09 16:34:15,1707496453,35.2,10.14,394.29,129.38
2024-02-09 16:34:17,1707496455,11.56,10.16,401.82,131.94
2024-02-09 16:34:19,1707496457,9.14,10.17,406.27,133.35
2024-02-09 16:34:21,1707496459,13.57,10.42,386.00,126.25
2024-02-09 16:34:23,1707496461,10.66,10.58,383.96,125.38
2024-02-09 16:34:25,1707496463,10.82,10.68,376.80,123.24
2024-02-09 16:34:27,1707496465,10.5,10.78,373.54,122.28
2024-02-09 16:34:29,1707496467,8.63,10.88,371.70,121.48
2024-02-09 16:34:31,1707496469,11.27,10.98,376.20,122.84
2024-02-09 16:34:33,1707496471,12.38,11.03,380.09,124.11
2024-02-09 16:34:35,1707496473,10.55,11.18,377.15,123.08
2024-02-09 16:34:37,1707496475,11,11.23,370.96,120.79
2024-02-09 16:34:39,1707496477,10.5,11.23,377.29,123.30
2024-02-09 16:34:41,1707496479,9.45,11.24,377.85,123.40
2024-02-09 16:34:43,1707496481,10.89,11.24,373.58,121.82
2024-02-09 16:34:45,1707496483,10.95,11.24,372.37,121.49
2024-02-09 16:34:47,1707496485,9.5,11.24,367.57,120.11
2024-02-09 16:34:49,1707496487,9.14,11.24,363.09,118.40
2024-02-09 16:34:51,1707496489,9.55,11.24,351.90,114.58
2024-02-09 16:34:53,1707496491,13.73,11.24,375.83,121.97
2024-02-09 16:34:55,1707496493,10,11.24,372.46,121.82
2024-02-09 16:34:57,1707496495,9.9,11.24,396.43,129.73
2024-02-09 16:34:59,1707496497,9.5,11.24,394.25,129.14
2024-02-09 16:35:01,1707496499,10.45,11.24,388.31,126.96
2024-02-09 16:35:03,1707496501,9.64,11.24,396.88,128.94
2024-02-09 16:35:05,1707496503,9.14,11.24,405.12,132.08
2024-02-09 16:35:07,1707496505,10.4,11.24,411.03,134.47
2024-02-09 16:35:09,1707496507,7.22,11.24,402.48,131.69
2024-02-09 16:35:12,1707496510,8.59,11.24,405.37,132.32
2024-02-09 16:35:14,1707496512,10.95,11.24,407.37,132.56
2024-02-09 16:35:16,1707496514,9.5,11.24,421.15,137.08
2024-02-09 16:35:18,1707496516,8.54,11.24,458.94,150.69
2024-02-09 16:35:20,1707496518,9.05,11.24,468.63,154.05
2024-02-09 16:35:22,1707496520,7.58,11.24,478.84,156.70
2024-02-09 16:35:24,1707496522,9.09,11.24,483.77,158.20
2024-02-09 16:35:26,1707496524,11.17,11.24,526.00,172.03
2024-02-09 16:35:28,1707496526,7.5,11.24,523.38,171.89
2024-02-09 16:35:30,1707496528,8.91,11.24,533.39,173.93
2024-02-09 16:35:32,1707496530,5.15,11.24,542.40,177.19
2024-02-09 16:35:34,1707496532,11.65,11.24,542.26,177.27
2024-02-09 16:35:36,1707496534,7.61,11.24,557.18,181.62
2024-02-09 16:35:38,1707496536,8.04,11.24,574.29,187.71
2024-02-09 16:35:40,1707496538,7.54,11.24,576.45,188.66
2024-02-09 16:35:42,1707496540,6.67,11.24,595.91,194.99
2024-02-09 16:35:44,1707496542,8.04,11.24,593.30,193.84
2024-02-09 16:35:46,1707496544,10.24,11.24,593.82,193.80
2024-02-09 16:35:48,1707496546,6.6,11.24,593.26,193.40
2024-02-09 16:35:50,1707496548,8.37,11.24,599.90,196.17
2024-02-09 16:35:52,1707496550,7,11.24,597.95,194.51
2024-02-09 16:35:54,1707496552,7.11,11.24,640.91,209.38
2024-02-09 16:35:56,1707496554,6.57,11.24,632.99,207.31
2024-02-09 16:35:58,1707496556,9.41,11.24,663.82,217.04
2024-02-09 16:36:00,1707496558,6.97,11.24,681.09,222.67
2024-02-09 16:36:02,1707496560,7.92,11.24,675.43,220.61
2024-02-09 16:36:04,1707496562,8,11.24,710.23,232.56
2024-02-09 16:36:06,1707496564,6.03,11.24,708.65,231.77
2024-02-09 16:36:08,1707496566,5.56,11.24,726.63,236.59
2024-02-09 16:36:10,1707496568,4.59,11.24,731.20,239.04
2024-02-09 16:36:12,1707496570,9.36,11.24,734.64,240.07
2024-02-09 16:36:14,1707496572,7.04,11.24,759.82,248.35
2024-02-09 16:36:16,1707496574,5.05,11.24,796.83,261.16
2024-02-09 16:36:18,1707496576,8.21,11.24,804.27,263.00
2024-02-09 16:36:20,1707496578,4.04,11.24,817.93,267.21
2024-02-09 16:36:22,1707496580,5.05,11.24,839.48,274.48
2024-02-09 16:36:24,1707496582,6,11.24,829.68,271.49
2024-02-09 16:36:26,1707496584,5,11.24,834.50,272.17
2024-02-09 16:36:28,1707496586,5.97,11.24,833.99,272.11
2024-02-09 16:36:30,1707496588,3.54,11.24,839.92,274.09
2024-02-09 16:36:32,1707496590,2.58,11.24,839.85,274.09
2024-02-09 16:36:34,1707496592,6.47,11.24,840.11,274.09
2024-02-09 16:36:36,1707496594,5.94,11.24,856.44,279.70
2024-02-09 16:36:38,1707496596,3.55,11.24,857.37,280.02
2024-02-09 16:36:41,1707496598,7.69,11.24,844.88,276.06
2024-02-09 16:36:43,1707496601,8.33,11.24,841.10,274.17
2024-02-09 16:36:45,1707496603,6.44,11.24,840.55,273.44
2024-02-09 16:36:47,1707496605,4.52,11.24,824.62,268.61
2024-02-09 16:36:49,1707496607,7.32,11.24,823.22,268.69
2024-02-09 16:36:51,1707496609,5,11.25,833.09,271.48
2024-02-09 16:36:53,1707496611,4.55,11.25,832.32,271.71
2024-02-09 16:36:55,1707496613,4.08,11.25,817.40,266.77
2024-02-09 16:36:57,1707496615,4.02,11.25,779.12,254.07
2024-02-09 16:36:59,1707496617,5.5,11.40,774.74,252.21
2024-02-09 16:37:01,1707496619,5.03,11.40,757.39,246.31
2024-02-09 16:37:03,1707496621,7.43,11.40,784.03,255.89
2024-02-09 16:37:05,1707496623,5.05,11.40,787.13,257.08
2024-02-09 16:37:07,1707496625,5.03,11.40,786.62,257.08
2024-02-09 16:37:09,1707496627,6.9,11.40,788.11,257.22
2024-02-09 16:37:11,1707496629,5,11.40,769.60,250.75
2024-02-09 16:37:13,1707496631,10.19,11.40,768.45,250.36
2024-02-09 16:37:15,1707496633,6,11.40,734.31,239.28
2024-02-09 16:37:17,1707496635,6.47,11.40,729.48,237.30
2024-02-09 16:37:19,1707496637,5.56,11.40,692.85,225.42
2024-02-09 16:37:21,1707496639,8.42,11.50,658.51,213.57
2024-02-09 16:37:23,1707496641,6.53,11.50,662.14,215.24
2024-02-09 16:37:25,1707496643,7,11.50,664.55,216.90
2024-02-09 16:37:27,1707496645,6.97,11.51,663.04,215.95
2024-02-09 16:37:29,1707496647,6.5,11.51,682.07,223.67
2024-02-09 16:37:31,1707496649,5.56,11.51,664.89,216.11
2024-02-09 16:37:33,1707496651,4.62,11.51,660.04,214.29
2024-02-09 16:37:35,1707496653,7.04,11.51,659.84,213.97
