Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 17:07:15,1707498433,100,8.48,249.97,209.70
2024-02-09 17:07:17,1707498435,100,10.86,259.43,234.66
2024-02-09 17:07:19,1707498437,94.44,11.71,20.40,36.83
2024-02-09 17:07:21,1707498439,100,11.80,29.80,53.89
2024-02-09 17:07:23,1707498441,100,12.52,28.55,51.68
2024-02-09 17:07:25,1707498443,99,13.02,34.15,61.72
2024-02-09 17:07:27,1707498445,97.98,13.03,26.99,49.15
2024-02-09 17:07:29,1707498447,2.99,13.05,0.00,0.00
2024-02-09 17:07:31,1707498449,3,13.05,1.42,0.41
2024-02-09 17:07:33,1707498451,3,13.05,264.19,274.55
2024-02-09 17:07:35,1707498453,16.42,13.06,608.58,605.89
2024-02-09 17:07:37,1707498455,40,13.06,913.02,906.93
2024-02-09 17:07:39,1707498457,40.2,13.10,886.18,853.43
2024-02-09 17:07:41,1707498459,15.92,13.10,882.88,852.13
2024-02-09 17:07:43,1707498461,14.72,13.10,889.52,860.08
2024-02-09 17:07:45,1707498463,19,13.11,900.34,869.54
2024-02-09 17:07:47,1707498465,18.69,13.11,918.99,887.16
2024-02-09 17:07:49,1707498467,15,13.11,940.86,907.82
2024-02-09 17:07:51,1707498469,15.92,13.11,940.51,907.54
2024-02-09 17:07:53,1707498471,15.12,13.11,954.06,921.78
2024-02-09 17:07:55,1707498473,13.07,13.11,939.18,902.47
2024-02-09 17:07:57,1707498475,14.36,13.11,914.17,874.69
2024-02-09 17:07:59,1707498477,13.79,13.11,935.29,892.20
2024-02-09 17:08:02,1707498479,13.37,13.11,919.09,877.34
2024-02-09 17:08:04,1707498482,13.13,13.11,869.61,828.91
2024-02-09 17:08:06,1707498484,13.5,13.11,911.68,871.06
2024-02-09 17:08:08,1707498486,18.93,13.11,844.80,810.15
2024-02-09 17:08:10,1707498488,15.35,13.11,837.61,798.83
2024-02-09 17:08:12,1707498490,16.18,13.11,810.38,773.62
2024-02-09 17:08:14,1707498492,16.83,13.11,796.74,761.18
2024-02-09 17:08:16,1707498494,19.02,13.11,766.91,728.47
2024-02-09 17:08:18,1707498496,17.07,13.12,757.07,720.06
2024-02-09 17:08:20,1707498498,16.43,13.12,787.62,753.71
