Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 13:29:15,1707485353,99.5,7.24,434.87,247.34
2024-02-09 13:29:17,1707485355,100,9.08,162.68,138.49
2024-02-09 13:29:19,1707485357,100,11.32,183.40,165.18
2024-02-09 13:29:21,1707485359,100,11.81,21.63,39.30
2024-02-09 13:29:23,1707485361,100,12.01,27.74,50.36
2024-02-09 13:29:25,1707485363,99.5,12.03,28.36,51.32
2024-02-09 13:29:27,1707485365,97.98,12.05,33.36,60.14
2024-02-09 13:29:29,1707485367,93.43,13.51,12.75,23.21
2024-02-09 13:29:31,1707485369,1.49,13.56,0.00,0.00
2024-02-09 13:29:33,1707485371,3.47,13.56,1.76,1.96
2024-02-09 13:29:35,1707485373,19.71,13.57,295.07,304.37
2024-02-09 13:29:37,1707485375,20,13.58,460.11,453.76
2024-02-09 13:29:39,1707485377,45.73,13.64,564.72,542.13
2024-02-09 13:29:41,1707485379,47.74,13.64,557.68,528.84
2024-02-09 13:29:43,1707485381,24,13.64,536.77,506.03
2024-02-09 13:29:45,1707485383,18.27,13.64,514.77,485.25
2024-02-09 13:29:47,1707485385,17.01,13.64,533.21,502.93
2024-02-09 13:29:49,1707485387,18.27,13.64,518.30,487.56
2024-02-09 13:29:51,1707485389,16.24,13.64,508.55,477.93
2024-02-09 13:29:53,1707485391,18.69,13.64,522.91,492.62
2024-02-09 13:29:56,1707485393,13.54,13.64,519.16,490.01
2024-02-09 13:29:58,1707485396,19.5,13.64,501.60,471.05
2024-02-09 13:30:00,1707485398,17.5,13.64,535.47,503.81
2024-02-09 13:30:02,1707485400,16.08,13.64,528.41,495.59
2024-02-09 13:30:04,1707485402,14.87,13.65,533.25,501.19
2024-02-09 13:30:06,1707485404,21.21,13.65,545.82,509.36
2024-02-09 13:30:08,1707485406,17.86,13.65,526.95,489.99
2024-02-09 13:30:10,1707485408,16.83,13.65,547.24,510.59
2024-02-09 13:30:12,1707485410,14.65,13.65,566.89,530.56
2024-02-09 13:30:14,1707485412,12.76,13.65,567.50,529.09
2024-02-09 13:30:16,1707485414,12.82,13.65,570.15,528.59
2024-02-09 13:30:18,1707485416,16.42,13.65,593.62,550.67
2024-02-09 13:30:20,1707485418,13.71,13.65,529.99,493.36
2024-02-09 13:30:22,1707485420,14.14,13.65,520.73,478.46
2024-02-09 13:30:24,1707485422,13.64,13.65,543.63,503.22
2024-02-09 13:30:26,1707485424,15,13.65,547.41,510.34
2024-02-09 13:30:28,1707485426,12.63,13.65,552.37,514.18
2024-02-09 13:30:30,1707485428,16,13.65,569.31,531.68
2024-02-09 13:30:32,1707485430,10.82,13.65,563.25,525.61
2024-02-09 13:30:34,1707485432,13.43,13.65,559.80,519.55
2024-02-09 13:30:36,1707485434,12.63,13.65,602.15,560.75
2024-02-09 13:30:38,1707485436,12.31,13.65,603.82,560.20
2024-02-09 13:30:40,1707485438,12.63,13.65,589.33,547.61
2024-02-09 13:30:42,1707485440,11.17,13.65,597.11,555.61
2024-02-09 13:30:44,1707485442,12.12,13.65,617.76,577.56
2024-02-09 13:30:46,1707485444,13.13,13.65,601.40,558.57
2024-02-09 13:30:48,1707485446,17.41,13.66,610.30,564.44
2024-02-09 13:30:50,1707485448,12.94,13.66,625.90,579.59
2024-02-09 13:30:52,1707485450,11.62,13.66,611.09,566.95
2024-02-09 13:30:54,1707485452,13.07,13.66,637.40,591.25
2024-02-09 13:30:56,1707485454,11.73,13.66,658.41,611.63
2024-02-09 13:30:58,1707485456,13.57,13.66,651.72,604.36
2024-02-09 13:31:00,1707485458,12.06,13.66,660.43,611.27
2024-02-09 13:31:02,1707485460,14.29,13.66,690.67,643.71
2024-02-09 13:31:04,1707485462,14.49,13.66,702.74,653.83
2024-02-09 13:31:06,1707485464,12.87,13.66,709.65,660.14
2024-02-09 13:31:08,1707485466,14.63,13.66,687.33,636.08
2024-02-09 13:31:10,1707485468,12.44,13.66,727.82,673.55
2024-02-09 13:31:12,1707485470,11.44,13.66,748.98,699.94
2024-02-09 13:31:14,1707485472,11.5,13.66,747.24,696.23
2024-02-09 13:31:16,1707485474,12.44,13.66,737.31,683.06
2024-02-09 13:31:19,1707485476,11.06,13.66,751.11,698.21
2024-02-09 13:31:21,1707485479,11.88,13.66,755.59,701.85
2024-02-09 13:31:23,1707485481,13.17,13.66,761.68,707.21
2024-02-09 13:31:25,1707485483,9.69,13.66,791.62,733.90
2024-02-09 13:31:27,1707485485,10.95,13.66,829.63,772.12
2024-02-09 13:31:29,1707485487,10.45,13.66,817.26,761.85
2024-02-09 13:31:31,1707485489,8.54,13.67,821.33,764.41
2024-02-09 13:31:33,1707485491,8.59,13.67,829.40,771.16
2024-02-09 13:31:35,1707485493,9.5,13.67,829.22,769.24
2024-02-09 13:31:37,1707485495,9.09,13.67,814.83,752.70
2024-02-09 13:31:39,1707485497,10.55,13.67,820.16,756.69
2024-02-09 13:31:41,1707485499,9.05,13.67,800.08,742.16
2024-02-09 13:31:43,1707485501,12.56,13.67,808.66,751.15
2024-02-09 13:31:45,1707485503,9.09,13.68,816.18,757.50
2024-02-09 13:31:47,1707485505,8.21,13.68,792.27,736.53
2024-02-09 13:31:49,1707485507,11.5,13.68,755.95,701.23
2024-02-09 13:31:51,1707485509,10,13.69,779.10,722.70
2024-02-09 13:31:53,1707485511,10.45,13.70,769.88,712.26
2024-02-09 13:31:55,1707485513,10.55,13.70,775.05,721.33
2024-02-09 13:31:57,1707485515,11.82,13.71,794.63,740.65
2024-02-09 13:31:59,1707485517,9.5,13.40,782.55,726.44
2024-02-09 13:32:01,1707485519,10.34,13.40,816.55,758.10
2024-02-09 13:32:03,1707485521,10.05,13.42,822.95,764.54
2024-02-09 13:32:05,1707485523,9.05,13.42,732.26,673.48
2024-02-09 13:32:07,1707485525,13.24,13.43,732.95,673.80
2024-02-09 13:32:09,1707485527,11,13.43,760.97,701.60
2024-02-09 13:32:11,1707485529,10,13.44,745.39,692.23
2024-02-09 13:32:13,1707485531,9.55,13.44,784.34,729.39
2024-02-09 13:32:15,1707485533,10,13.44,786.42,733.25
2024-02-09 13:32:17,1707485535,11.44,13.44,777.75,718.75
2024-02-09 13:32:19,1707485537,7.73,13.44,773.65,715.80
2024-02-09 13:32:21,1707485539,12.06,13.44,742.60,684.81
2024-02-09 13:32:23,1707485541,12.32,13.44,716.55,659.37
2024-02-09 13:32:25,1707485543,11.94,13.44,717.66,665.13
2024-02-09 13:32:27,1707485545,11.88,13.44,735.33,682.77
2024-02-09 13:32:29,1707485547,11.82,13.44,744.60,693.49
2024-02-09 13:32:31,1707485549,9.55,13.44,747.29,692.60
2024-02-09 13:32:33,1707485551,10.1,13.45,714.47,663.24
2024-02-09 13:32:35,1707485553,10.55,13.45,704.07,652.34
2024-02-09 13:32:37,1707485555,12.87,13.45,679.49,631.54
2024-02-09 13:32:40,1707485557,11.11,13.50,665.83,615.52
2024-02-09 13:32:42,1707485560,11.94,13.51,657.31,606.77
2024-02-09 13:32:44,1707485562,10.2,13.51,647.07,600.52
2024-02-09 13:32:46,1707485564,12.56,13.51,644.50,597.23
2024-02-09 13:32:48,1707485566,13.07,13.51,645.76,595.25
2024-02-09 13:32:50,1707485568,16.1,13.51,610.60,558.73
2024-02-09 13:32:52,1707485570,13.86,13.51,611.83,565.49
2024-02-09 13:32:54,1707485572,13.2,13.51,603.36,561.88
2024-02-09 13:32:56,1707485574,14.85,13.51,563.29,521.09
2024-02-09 13:32:58,1707485576,16.1,13.51,535.26,494.19
2024-02-09 13:33:00,1707485578,10.82,13.51,573.28,532.04
2024-02-09 13:33:02,1707485580,14,13.51,550.77,510.66
2024-02-09 13:33:04,1707485582,13.5,13.51,533.07,493.96
2024-02-09 13:33:06,1707485584,13.93,13.52,535.11,495.13
2024-02-09 13:33:08,1707485586,13.64,13.52,530.65,489.88
2024-02-09 13:33:10,1707485588,13.71,13.52,489.54,453.61
2024-02-09 13:33:12,1707485590,11.4,13.52,504.45,468.60
2024-02-09 13:33:14,1707485592,16.1,13.52,503.34,465.99
2024-02-09 13:33:16,1707485594,12.37,13.52,506.04,471.35
2024-02-09 13:33:18,1707485596,14.21,13.52,531.67,494.29
2024-02-09 13:33:20,1707485598,14,13.52,515.47,476.54
2024-02-09 13:33:22,1707485600,14.5,13.52,528.33,487.07
2024-02-09 13:33:24,1707485602,14.07,13.52,531.10,493.26
2024-02-09 13:33:26,1707485604,15.76,13.52,550.08,510.66
2024-02-09 13:33:28,1707485606,14.07,13.52,539.12,498.46
2024-02-09 13:33:30,1707485608,13.93,13.52,543.55,504.30
2024-02-09 13:33:32,1707485610,11.28,13.52,542.54,505.69
2024-02-09 13:33:34,1707485612,12.12,13.52,534.13,497.78
2024-02-09 13:33:36,1707485614,11.28,13.53,548.28,509.01
2024-02-09 13:33:38,1707485616,14.5,13.53,557.34,518.45
2024-02-09 13:33:40,1707485618,13.43,13.53,561.56,523.07
2024-02-09 13:33:42,1707485620,10.77,13.53,580.82,541.25
2024-02-09 13:33:44,1707485622,13.86,13.53,566.47,528.62
2024-02-09 13:33:46,1707485624,12.18,13.53,562.50,522.03
2024-02-09 13:33:48,1707485626,14.85,13.53,577.87,536.91
2024-02-09 13:33:50,1707485628,15.15,13.53,558.45,517.09
2024-02-09 13:33:52,1707485630,13.93,13.53,529.37,486.26
