Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 14:22:25,1707488543,99.5,8.31,228.66,202.22
2024-02-09 14:22:27,1707488545,99.5,10.03,261.17,230.93
2024-02-09 14:22:29,1707488547,95,11.51,19.07,34.61
2024-02-09 14:22:31,1707488549,100,11.55,23.45,43.15
2024-02-09 14:22:33,1707488551,100,11.57,25.19,46.05
2024-02-09 14:22:35,1707488553,98.5,12.41,28.90,52.14
2024-02-09 14:22:37,1707488555,99.01,12.92,31.00,56.13
2024-02-09 14:22:39,1707488557,52.02,12.97,0.00,0.00
2024-02-09 14:22:41,1707488559,2,12.97,0.14,0.14
2024-02-09 14:22:43,1707488561,3.54,12.97,204.02,208.27
2024-02-09 14:22:45,1707488563,11.39,12.97,382.02,368.37
2024-02-09 14:22:47,1707488565,14.87,12.98,596.06,571.22
2024-02-09 14:22:49,1707488567,21.32,13.03,576.42,528.13
2024-02-09 14:22:51,1707488569,50.99,13.06,580.78,529.14
2024-02-09 14:22:53,1707488571,15.08,13.06,586.88,537.34
2024-02-09 14:22:55,1707488573,14.5,13.06,595.22,546.64
2024-02-09 14:22:57,1707488575,19.21,13.06,592.98,542.88
2024-02-09 14:22:59,1707488577,12.37,13.06,622.02,569.39
2024-02-09 14:23:01,1707488579,13.86,13.06,626.25,573.99
2024-02-09 14:23:03,1707488581,10.71,13.06,620.13,566.82
2024-02-09 14:23:05,1707488583,8.76,13.06,635.44,581.22
2024-02-09 14:23:07,1707488585,12,13.06,628.28,572.50
2024-02-09 14:23:09,1707488587,13.24,13.06,628.65,569.39
2024-02-09 14:23:12,1707488589,11.94,13.06,627.82,571.46
2024-02-09 14:23:14,1707488592,12.38,13.06,632.24,576.86
2024-02-09 14:23:16,1707488594,11.76,13.06,635.35,575.54
2024-02-09 14:23:18,1707488596,12.32,13.06,632.46,572.67
2024-02-09 14:23:20,1707488598,13.17,13.06,625.44,564.39
2024-02-09 14:23:22,1707488600,11.39,13.06,613.57,555.89
2024-02-09 14:23:24,1707488602,13.71,13.06,613.38,550.73
2024-02-09 14:23:26,1707488604,11.44,13.06,639.02,576.20
2024-02-09 14:23:28,1707488606,11,13.06,663.22,600.40
2024-02-09 14:23:30,1707488608,11.22,13.06,663.74,597.03
2024-02-09 14:23:32,1707488610,10.84,13.06,646.33,581.49
2024-02-09 14:23:34,1707488612,9.09,13.06,636.85,572.04
2024-02-09 14:23:36,1707488614,13.88,13.07,618.53,554.44
2024-02-09 14:23:38,1707488616,10.15,13.07,616.98,552.48
2024-02-09 14:23:40,1707488618,10,13.07,618.56,554.90
2024-02-09 14:23:42,1707488620,10.84,13.07,625.61,563.32
2024-02-09 14:23:44,1707488622,9.5,13.07,617.63,556.37
2024-02-09 14:23:46,1707488624,10.78,13.07,597.47,536.15
2024-02-09 14:23:48,1707488626,9.55,13.07,604.03,542.79
2024-02-09 14:23:50,1707488628,11.65,13.07,597.39,537.44
2024-02-09 14:23:52,1707488630,9.05,13.07,586.81,524.60
2024-02-09 14:23:54,1707488632,12.87,13.07,606.78,543.81
2024-02-09 14:23:56,1707488634,14.36,13.07,589.01,528.99
2024-02-09 14:23:58,1707488636,11.27,13.07,595.00,537.68
2024-02-09 14:24:00,1707488638,8.12,13.07,555.61,497.56
2024-02-09 14:24:02,1707488640,10.89,13.07,516.47,463.55
2024-02-09 14:24:04,1707488642,12.38,13.07,511.51,458.65
2024-02-09 14:24:06,1707488644,11.94,13.07,507.31,455.33
2024-02-09 14:24:08,1707488646,12.38,13.07,519.28,468.27
2024-02-09 14:24:10,1707488648,10.5,13.07,533.32,480.67
2024-02-09 14:24:12,1707488650,9.6,13.07,532.03,479.91
2024-02-09 14:24:14,1707488652,10,13.07,539.57,485.98
2024-02-09 14:24:16,1707488654,11,13.07,540.37,486.16
2024-02-09 14:24:18,1707488656,11.5,13.07,470.66,417.08
2024-02-09 14:24:20,1707488658,10.55,13.07,481.34,430.64
2024-02-09 14:24:22,1707488660,10.55,13.08,482.44,432.62
2024-02-09 14:24:24,1707488662,13.37,13.08,478.47,427.96
2024-02-09 14:24:26,1707488664,12.5,13.08,468.91,421.42
2024-02-09 14:24:28,1707488666,12.06,13.08,473.10,425.32
2024-02-09 14:24:30,1707488668,10.1,13.08,448.71,401.24
2024-02-09 14:24:32,1707488670,11,13.08,465.41,418.12
2024-02-09 14:24:34,1707488672,10.61,13.08,464.29,418.54
2024-02-09 14:24:37,1707488674,13.73,13.08,438.91,390.61
2024-02-09 14:24:39,1707488677,14.29,13.08,457.48,408.66
2024-02-09 14:24:41,1707488679,12,13.08,441.75,397.51
2024-02-09 14:24:43,1707488681,9.69,13.08,420.29,376.45
2024-02-09 14:24:45,1707488683,11.5,13.08,404.05,361.80
2024-02-09 14:24:47,1707488685,11.17,13.08,422.92,379.85
2024-02-09 14:24:49,1707488687,12.12,13.08,406.59,365.04
2024-02-09 14:24:51,1707488689,10.61,13.08,412.59,368.77
2024-02-09 14:24:53,1707488691,12.5,13.08,415.95,372.99
2024-02-09 14:24:55,1707488693,13.93,13.08,406.33,363.33
2024-02-09 14:24:57,1707488695,13.5,13.08,410.42,368.59
2024-02-09 14:24:59,1707488697,11.56,13.08,437.48,395.45
2024-02-09 14:25:01,1707488699,14.49,13.08,422.46,379.56
2024-02-09 14:25:03,1707488701,18.41,13.08,430.81,387.03
2024-02-09 14:25:05,1707488703,13.43,13.08,420.88,377.67
2024-02-09 14:25:07,1707488705,13.86,13.08,379.89,339.67
2024-02-09 14:25:09,1707488707,11.56,13.08,402.06,359.97
2024-02-09 14:25:11,1707488709,13.73,13.08,404.96,365.36
2024-02-09 14:25:13,1707488711,59.2,13.19,608.59,362.82
2024-02-09 14:25:15,1707488713,57.71,13.64,428.54,387.22
2024-02-09 14:25:17,1707488715,52.26,13.28,424.96,382.84
2024-02-09 14:25:19,1707488717,14.15,13.28,414.25,372.79
2024-02-09 14:25:21,1707488719,10.61,13.28,415.88,372.27
2024-02-09 14:25:23,1707488721,15.05,13.28,409.35,367.16
2024-02-09 14:25:25,1707488723,13.07,13.28,422.20,378.16
2024-02-09 14:25:27,1707488725,12.44,13.28,417.50,376.69
2024-02-09 14:25:29,1707488727,12.44,13.28,425.10,381.91
2024-02-09 14:25:31,1707488729,12.38,13.29,411.81,371.00
2024-02-09 14:25:33,1707488731,12.81,13.29,419.88,378.92
2024-02-09 14:25:35,1707488733,14.14,12.98,419.62,377.46
2024-02-09 14:25:37,1707488735,11.68,12.98,418.47,375.19
2024-02-09 14:25:39,1707488737,11.06,12.98,423.52,381.33
2024-02-09 14:25:41,1707488739,12.81,12.98,424.53,382.15
2024-02-09 14:25:43,1707488741,20.1,12.98,458.60,415.00
2024-02-09 14:25:45,1707488743,10.1,12.98,448.87,406.27
2024-02-09 14:25:47,1707488745,9.69,12.98,460.87,415.13
2024-02-09 14:25:49,1707488747,9.64,12.98,481.47,435.79
2024-02-09 14:25:51,1707488749,12.2,12.98,494.73,444.58
2024-02-09 14:25:53,1707488751,12.38,12.99,505.42,453.88
2024-02-09 14:25:55,1707488753,12.75,12.99,497.06,447.61
2024-02-09 14:25:57,1707488755,9.69,12.99,510.33,457.92
2024-02-09 14:26:00,1707488757,9.9,12.99,540.48,490.42
2024-02-09 14:26:02,1707488760,10,12.99,567.20,513.95
2024-02-09 14:26:04,1707488762,11.39,13.04,557.26,502.72
2024-02-09 14:26:06,1707488764,10.45,13.04,570.64,509.66
2024-02-09 14:26:08,1707488766,13.37,13.05,569.37,512.40
2024-02-09 14:26:10,1707488768,8.96,13.05,575.10,520.44
2024-02-09 14:26:12,1707488770,7.11,13.05,587.92,528.11
2024-02-09 14:26:14,1707488772,8.12,13.25,585.23,525.79
2024-02-09 14:26:16,1707488774,9,13.25,580.31,521.13
2024-02-09 14:26:18,1707488776,10.89,13.25,608.81,548.33
2024-02-09 14:26:20,1707488778,6.12,13.25,606.68,546.72
2024-02-09 14:26:22,1707488780,8,13.25,615.90,554.92
2024-02-09 14:26:24,1707488782,8.12,12.99,628.50,566.14
2024-02-09 14:26:26,1707488784,10.78,12.99,630.55,569.54
2024-02-09 14:26:28,1707488786,8.08,12.99,622.63,558.97
2024-02-09 14:26:30,1707488788,8.12,13.05,624.32,565.81
2024-02-09 14:26:32,1707488790,8.46,13.05,625.05,563.64
2024-02-09 14:26:34,1707488792,7.96,13.05,612.88,553.33
2024-02-09 14:26:36,1707488794,9.41,13.05,628.02,566.43
2024-02-09 14:26:38,1707488796,9.95,13.05,595.00,533.96
2024-02-09 14:26:40,1707488798,10.55,13.05,599.32,538.32
2024-02-09 14:26:42,1707488800,8.5,13.06,609.26,550.62
2024-02-09 14:26:44,1707488802,8.91,13.06,632.67,574.24
2024-02-09 14:26:46,1707488804,8,13.06,656.40,595.62
2024-02-09 14:26:48,1707488806,8,13.07,639.25,577.10
2024-02-09 14:26:50,1707488808,7.96,13.07,635.73,573.84
2024-02-09 14:26:52,1707488810,7,13.07,628.94,566.35
2024-02-09 14:26:54,1707488812,10.84,13.07,619.18,558.08
2024-02-09 14:26:56,1707488814,8.04,13.07,616.36,552.13
2024-02-09 14:26:58,1707488816,8.04,13.07,614.71,556.41
2024-02-09 14:27:00,1707488818,8.46,13.07,624.68,563.68
2024-02-09 14:27:02,1707488820,7.54,13.07,631.79,569.60
