Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 14:43:05,1707489783,100,7.30,403.08,231.19
2024-02-09 14:43:07,1707489785,100,8.84,248.10,229.17
2024-02-09 14:43:09,1707489787,99.5,11.34,162.77,144.99
2024-02-09 14:43:11,1707489789,100,11.81,22.51,40.86
2024-02-09 14:43:13,1707489791,99.5,11.83,26.17,47.59
2024-02-09 14:43:15,1707489793,98.99,11.86,27.04,48.84
2024-02-09 14:43:17,1707489795,96.5,11.88,31.85,57.99
2024-02-09 14:43:19,1707489797,84.26,11.90,13.27,23.97
2024-02-09 14:43:21,1707489799,1,11.90,0.05,0.05
2024-02-09 14:43:23,1707489801,2,11.90,9.73,10.07
2024-02-09 14:43:25,1707489803,19.14,11.90,157.49,165.65
2024-02-09 14:43:27,1707489805,17.39,11.90,315.01,299.23
2024-02-09 14:43:29,1707489807,18.46,11.90,360.70,318.97
2024-02-09 14:43:31,1707489809,31.82,11.92,352.45,306.59
2024-02-09 14:43:33,1707489811,35.03,11.97,348.15,304.71
2024-02-09 14:43:35,1707489813,15.58,11.98,337.91,293.24
2024-02-09 14:43:37,1707489815,14.14,11.98,342.93,299.87
2024-02-09 14:43:39,1707489817,30.05,12.08,351.93,307.23
2024-02-09 14:43:41,1707489819,8.76,12.08,339.88,295.79
2024-02-09 14:43:43,1707489821,10.15,12.08,348.12,303.23
2024-02-09 14:43:45,1707489823,10.47,12.08,358.51,312.01
2024-02-09 14:43:47,1707489825,12.75,12.08,361.20,313.35
2024-02-09 14:43:50,1707489827,9.18,12.08,365.41,318.14
2024-02-09 14:43:52,1707489830,9.55,12.08,377.39,325.91
2024-02-09 14:43:54,1707489832,11.88,12.08,371.39,321.57
2024-02-09 14:43:56,1707489834,9.55,12.08,369.13,319.64
2024-02-09 14:43:58,1707489836,10.5,12.08,363.04,313.38
2024-02-09 14:44:00,1707489838,15.12,12.08,351.18,300.59
2024-02-09 14:44:02,1707489840,9.55,12.08,345.37,297.19
2024-02-09 14:44:04,1707489842,10.4,12.08,347.02,298.63
2024-02-09 14:44:06,1707489844,10.45,12.08,349.81,300.82
2024-02-09 14:44:08,1707489846,10.05,12.08,351.11,304.62
2024-02-09 14:44:10,1707489848,10.45,12.08,366.40,315.97
2024-02-09 14:44:12,1707489850,9.85,12.08,353.45,303.13
2024-02-09 14:44:14,1707489852,8.5,12.08,367.13,314.98
2024-02-09 14:44:16,1707489854,9.9,12.08,367.11,314.99
2024-02-09 14:44:18,1707489856,8.59,12.08,369.74,316.68
2024-02-09 14:44:20,1707489858,10.34,12.08,378.44,325.52
2024-02-09 14:44:22,1707489860,6.6,12.08,367.33,315.46
2024-02-09 14:44:24,1707489862,11.44,12.08,376.89,321.48
2024-02-09 14:44:26,1707489864,6.67,12.08,382.71,327.12
2024-02-09 14:44:28,1707489866,9.6,12.08,390.87,334.30
2024-02-09 14:44:30,1707489868,10.24,12.08,383.83,326.98
2024-02-09 14:44:32,1707489870,8.91,12.08,388.09,328.63
2024-02-09 14:44:34,1707489872,7.58,12.08,399.82,340.26
2024-02-09 14:44:36,1707489874,6.22,12.09,398.55,339.62
2024-02-09 14:44:38,1707489876,9.14,12.09,391.81,332.74
2024-02-09 14:44:40,1707489878,7.58,12.09,400.97,340.62
2024-02-09 14:44:42,1707489880,7.58,12.09,390.58,331.22
2024-02-09 14:44:44,1707489882,9.8,12.09,386.03,328.19
2024-02-09 14:44:46,1707489884,9.41,12.09,387.79,327.70
2024-02-09 14:44:48,1707489886,7.07,12.09,385.92,327.36
2024-02-09 14:44:50,1707489888,10.05,12.09,381.25,323.34
2024-02-09 14:44:52,1707489890,8.04,12.09,387.23,328.80
2024-02-09 14:44:54,1707489892,6.15,12.09,382.66,324.97
2024-02-09 14:44:56,1707489894,10.19,12.09,381.81,323.93
2024-02-09 14:44:58,1707489896,6.09,12.09,382.09,327.20
2024-02-09 14:45:00,1707489898,9.31,12.09,389.87,333.61
2024-02-09 14:45:02,1707489900,6.63,12.09,378.49,322.87
2024-02-09 14:45:04,1707489902,9.8,12.09,381.66,323.79
2024-02-09 14:45:06,1707489904,8.5,12.09,377.63,320.59
2024-02-09 14:45:08,1707489906,12.5,12.09,408.52,349.08
2024-02-09 14:45:10,1707489908,6.09,12.09,414.61,354.61
2024-02-09 14:45:12,1707489910,7.04,12.09,403.67,342.97
2024-02-09 14:45:14,1707489912,8.82,12.09,400.02,338.13
2024-02-09 14:45:16,1707489914,9.41,12.09,420.35,358.58
2024-02-09 14:45:18,1707489916,7.96,12.09,412.73,353.02
2024-02-09 14:45:21,1707489918,7.46,12.09,413.13,351.73
2024-02-09 14:45:23,1707489921,7.04,12.09,421.60,358.80
2024-02-09 14:45:25,1707489923,9.27,12.09,418.31,356.96
2024-02-09 14:45:27,1707489925,7.92,12.09,423.44,360.07
2024-02-09 14:45:29,1707489927,6.57,12.09,407.66,346.24
2024-02-09 14:45:31,1707489929,7.46,12.09,386.33,325.10
2024-02-09 14:45:33,1707489931,6.53,12.10,386.44,326.14
2024-02-09 14:45:35,1707489933,6.57,12.10,391.55,331.89
2024-02-09 14:45:37,1707489935,6.63,12.10,390.29,332.17
