Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 15:20:10,1707492008,100,9.28,286.09,271.62
2024-02-09 15:20:12,1707492010,99,11.92,91.00,76.24
2024-02-09 15:20:14,1707492012,100,12.28,23.29,42.30
2024-02-09 15:20:16,1707492014,99.5,12.34,25.65,46.52
2024-02-09 15:20:18,1707492016,100,12.35,29.15,52.75
2024-02-09 15:20:20,1707492018,98.49,12.38,31.48,56.88
2024-02-09 15:20:22,1707492020,93.53,12.41,13.92,25.39
2024-02-09 15:20:24,1707492022,1.01,12.46,0.14,0.08
2024-02-09 15:20:26,1707492024,2.02,12.46,20.29,21.42
2024-02-09 15:20:28,1707492026,7.58,12.46,133.67,133.13
2024-02-09 15:20:30,1707492028,13.37,12.49,198.94,188.83
2024-02-09 15:20:32,1707492030,12.81,12.51,191.62,168.10
2024-02-09 15:20:34,1707492032,12.38,12.52,202.71,178.60
2024-02-09 15:20:37,1707492035,7.14,12.52,200.31,175.90
2024-02-09 15:20:39,1707492037,23.76,12.52,182.21,158.32
2024-02-09 15:20:41,1707492039,14.93,12.53,198.72,175.04
2024-02-09 15:20:43,1707492041,11.44,12.21,204.15,179.01
2024-02-09 15:20:45,1707492043,10.66,12.21,185.06,160.79
2024-02-09 15:20:47,1707492045,10.95,12.22,206.75,181.41
2024-02-09 15:20:49,1707492047,6.57,12.22,210.96,185.56
2024-02-09 15:20:51,1707492049,7.04,12.22,193.62,167.99
2024-02-09 15:20:53,1707492051,10.45,12.22,211.70,184.70
2024-02-09 15:20:55,1707492053,8.5,12.22,210.89,184.25
2024-02-09 15:20:57,1707492055,5.56,12.22,197.51,170.32
2024-02-09 15:20:59,1707492057,4.59,12.22,207.96,181.49
2024-02-09 15:21:01,1707492059,7,12.22,203.26,176.54
2024-02-09 15:21:03,1707492061,9.27,12.22,187.29,161.53
2024-02-09 15:21:05,1707492063,5.58,12.22,195.37,169.58
2024-02-09 15:21:07,1707492065,6.5,12.22,194.72,168.42
2024-02-09 15:21:09,1707492067,7.96,12.22,181.28,155.63
2024-02-09 15:21:11,1707492069,6.57,12.22,197.30,171.38
2024-02-09 15:21:13,1707492071,6.47,12.22,198.30,171.93
2024-02-09 15:21:15,1707492073,6.97,12.22,186.21,159.67
2024-02-09 15:21:17,1707492075,8.42,12.22,203.19,176.20
2024-02-09 15:21:19,1707492077,6.97,12.22,197.17,170.58
2024-02-09 15:21:21,1707492079,7.39,12.22,192.66,164.51
2024-02-09 15:21:23,1707492081,7,12.22,205.46,178.06
2024-02-09 15:21:25,1707492083,6,12.22,205.66,177.28
2024-02-09 15:21:27,1707492085,6,11.92,198.90,170.58
2024-02-09 15:21:29,1707492087,5.94,11.92,215.91,187.08
2024-02-09 15:21:31,1707492089,5,11.93,211.52,182.19
2024-02-09 15:21:33,1707492091,4.55,11.93,211.14,180.85
2024-02-09 15:21:35,1707492093,5.5,11.93,223.75,193.23
2024-02-09 15:21:37,1707492095,6.5,11.94,225.62,193.47
2024-02-09 15:21:39,1707492097,7.8,11.94,216.57,184.19
2024-02-09 15:21:41,1707492099,6.93,11.94,222.06,191.54
2024-02-09 15:21:43,1707492101,5.97,11.95,222.93,192.23
2024-02-09 15:21:45,1707492103,5.45,11.96,214.35,182.87
2024-02-09 15:21:47,1707492105,4.06,11.96,217.64,186.71
2024-02-09 15:21:49,1707492107,4.52,11.97,209.43,180.61
2024-02-09 15:21:51,1707492109,4.55,11.97,198.37,169.25
2024-02-09 15:21:53,1707492111,5.97,11.97,198.07,169.61
2024-02-09 15:21:55,1707492113,6.4,11.98,198.15,170.56
2024-02-09 15:21:57,1707492115,4.06,12.00,194.87,166.68
2024-02-09 15:21:59,1707492117,4.04,12.00,196.13,167.69
2024-02-09 15:22:02,1707492119,9.62,12.00,204.47,176.33
2024-02-09 15:22:04,1707492122,5.03,12.00,196.67,168.39
2024-02-09 15:22:06,1707492124,6.44,12.00,198.78,170.36
2024-02-09 15:22:08,1707492126,9.13,12.00,210.11,181.50
2024-02-09 15:22:10,1707492128,6.5,12.01,203.61,173.45
2024-02-09 15:22:12,1707492130,6.03,12.02,203.92,175.76
2024-02-09 15:22:14,1707492132,5.94,12.02,213.67,184.78
2024-02-09 15:22:16,1707492134,4.06,12.02,198.09,169.16
2024-02-09 15:22:18,1707492136,5.5,12.02,196.58,168.08
2024-02-09 15:22:20,1707492138,5.47,12.02,208.69,180.90
2024-02-09 15:22:22,1707492140,4.04,12.02,197.31,168.29
2024-02-09 15:22:24,1707492142,7.88,12.02,191.18,162.32
2024-02-09 15:22:26,1707492144,6,12.02,202.99,174.51
2024-02-09 15:22:28,1707492146,5.5,12.02,194.96,166.64
2024-02-09 15:22:30,1707492148,4.04,12.02,186.75,159.44
2024-02-09 15:22:32,1707492150,5.47,12.02,199.57,171.13
2024-02-09 15:22:34,1707492152,4.98,12.02,194.55,166.19
2024-02-09 15:22:36,1707492154,6.4,12.03,194.77,165.60
2024-02-09 15:22:38,1707492156,5.5,12.03,205.19,175.63
2024-02-09 15:22:40,1707492158,5.03,12.03,199.57,171.02
2024-02-09 15:22:42,1707492160,6.44,12.03,199.75,170.23
2024-02-09 15:22:44,1707492162,4.5,12.03,209.23,178.91
2024-02-09 15:22:46,1707492164,4.02,12.03,206.98,176.83
2024-02-09 15:22:48,1707492166,6.44,12.03,197.26,168.33
2024-02-09 15:22:50,1707492168,6.44,12.03,194.70,167.01
2024-02-09 15:22:52,1707492170,5.97,12.03,202.26,171.88
2024-02-09 15:22:54,1707492172,5.91,12.03,201.02,171.48
2024-02-09 15:22:56,1707492174,4.98,12.03,196.75,168.30
2024-02-09 15:22:58,1707492176,5.03,12.03,189.73,162.50
2024-02-09 15:23:00,1707492178,4.98,12.03,186.82,159.92
2024-02-09 15:23:02,1707492180,4.06,12.03,185.01,158.51
2024-02-09 15:23:04,1707492182,4.52,12.08,186.78,159.68
2024-02-09 15:23:06,1707492184,6.44,12.08,183.35,156.10
2024-02-09 15:23:08,1707492186,7.88,12.08,178.12,153.12
2024-02-09 15:23:10,1707492188,5.13,12.08,171.97,147.13
2024-02-09 15:23:12,1707492190,6.47,12.08,171.74,147.43
2024-02-09 15:23:14,1707492192,6.57,12.28,172.23,147.28
2024-02-09 15:23:16,1707492194,4.04,12.28,176.90,151.68
2024-02-09 15:23:18,1707492196,6.9,12.28,178.35,153.21
2024-02-09 15:23:20,1707492198,3.55,12.28,162.77,138.39
2024-02-09 15:23:22,1707492200,5.53,12.28,172.80,148.13
2024-02-09 15:23:24,1707492202,7.35,12.07,177.42,153.13
2024-02-09 15:23:26,1707492204,4.57,12.07,178.03,152.22
2024-02-09 15:23:28,1707492206,6.86,12.07,193.72,165.93
2024-02-09 15:23:30,1707492208,5.94,12.07,197.43,169.87
2024-02-09 15:23:33,1707492211,4.04,12.07,187.93,160.05
2024-02-09 15:23:35,1707492213,9.71,12.07,196.38,168.60
2024-02-09 15:23:37,1707492215,5.97,12.07,197.11,168.44
2024-02-09 15:23:39,1707492217,6.03,12.07,179.06,152.37
2024-02-09 15:23:41,1707492219,6.86,12.07,201.09,173.34
2024-02-09 15:23:43,1707492221,4.55,12.07,198.43,171.04
2024-02-09 15:23:45,1707492223,3.55,12.12,179.19,152.54
2024-02-09 15:23:47,1707492225,5.5,12.12,189.71,163.49
2024-02-09 15:23:49,1707492227,5.47,12.12,186.46,161.06
2024-02-09 15:23:51,1707492229,5.47,12.12,178.85,152.32
2024-02-09 15:23:53,1707492231,6.44,12.12,195.69,168.52
2024-02-09 15:23:55,1707492233,4.59,12.27,194.37,167.36
2024-02-09 15:23:57,1707492235,4.98,12.27,172.94,146.96
2024-02-09 15:23:59,1707492237,6.4,12.27,191.50,165.53
2024-02-09 15:24:01,1707492239,5.91,12.27,197.56,169.68
2024-02-09 15:24:03,1707492241,2.56,12.27,183.86,156.49
2024-02-09 15:24:05,1707492243,4.98,12.27,202.95,174.24
2024-02-09 15:24:07,1707492245,4.02,12.27,200.72,173.35
2024-02-09 15:24:09,1707492247,6.4,12.27,188.79,160.91
2024-02-09 15:24:11,1707492249,6.37,12.27,199.60,171.92
2024-02-09 15:24:13,1707492251,4.04,12.27,196.19,170.35
2024-02-09 15:24:15,1707492253,4.04,12.27,185.07,157.23
2024-02-09 15:24:17,1707492255,4.98,12.27,194.87,166.06
2024-02-09 15:24:19,1707492257,5.47,12.27,183.54,156.16
2024-02-09 15:24:21,1707492259,5.5,12.27,176.11,150.12
2024-02-09 15:24:23,1707492261,5,12.27,195.78,168.82
2024-02-09 15:24:25,1707492263,5.97,12.27,195.53,168.01
