Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 16:18:10,1707495488,100,11.38,305.87,240.22
2024-02-09 16:18:12,1707495490,91.5,12.14,18.29,33.19
2024-02-09 16:18:14,1707495492,100,12.20,25.12,45.59
2024-02-09 16:18:16,1707495494,98.99,12.21,25.91,47.00
2024-02-09 16:18:18,1707495496,100,12.24,30.27,55.13
2024-02-09 16:18:21,1707495498,97.98,12.27,34.96,63.43
2024-02-09 16:18:23,1707495501,41.41,12.34,0.09,0.09
2024-02-09 16:18:25,1707495503,1,12.39,0.14,0.14
2024-02-09 16:18:27,1707495505,2.51,12.49,1.76,2.03
2024-02-09 16:18:29,1707495507,9.41,12.59,5.15,5.73
2024-02-09 16:18:31,1707495509,9.55,12.65,4.38,5.87
2024-02-09 16:18:33,1707495511,0.5,12.70,0.00,0.00
2024-02-09 16:18:35,1707495513,1.01,12.71,0.08,0.14
2024-02-09 16:18:37,1707495515,1.53,12.87,12.54,14.47
2024-02-09 16:18:39,1707495517,2.54,12.92,30.48,31.13
2024-02-09 16:18:41,1707495519,4.08,13.02,15.24,16.15
2024-02-09 16:18:43,1707495521,1,13.07,0.00,0.00
2024-02-09 16:18:45,1707495523,0,13.07,0.08,0.14
2024-02-09 16:18:47,1707495525,3,12.84,13.77,13.54
2024-02-09 16:18:49,1707495527,3.96,12.90,29.08,27.83
2024-02-09 16:18:51,1707495529,3.98,12.96,0.00,0.00
2024-02-09 16:18:53,1707495531,1,13.01,1.28,0.27
2024-02-09 16:18:55,1707495533,0.5,13.01,0.66,0.82
2024-02-09 16:18:57,1707495535,4.93,13.06,19.62,19.17
2024-02-09 16:18:59,1707495537,2.02,13.06,23.88,23.11
2024-02-09 16:19:01,1707495539,4.43,13.06,0.00,0.00
2024-02-09 16:19:03,1707495541,0.5,13.06,0.00,0.00
2024-02-09 16:19:05,1707495543,0,13.06,3.49,4.20
2024-02-09 16:19:07,1707495545,3.96,13.07,21.04,19.24
2024-02-09 16:19:09,1707495547,3.03,13.07,8.30,7.23
2024-02-09 16:19:11,1707495549,5.88,13.07,0.00,0.00
2024-02-09 16:19:13,1707495551,0.5,13.07,0.00,0.00
2024-02-09 16:19:15,1707495553,0.5,13.07,7.33,8.87
2024-02-09 16:19:17,1707495555,1.52,13.07,21.69,19.75
2024-02-09 16:19:19,1707495557,5.03,13.07,11.39,9.22
2024-02-09 16:19:21,1707495559,3.02,13.07,0.00,0.00
2024-02-09 16:19:23,1707495561,0.5,13.07,0.00,0.00
2024-02-09 16:19:25,1707495563,1,13.07,14.75,14.94
2024-02-09 16:19:27,1707495565,0.51,13.07,21.38,19.77
2024-02-09 16:19:29,1707495567,3,13.07,16.13,13.57
