Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 11:28:09,1707478087,98.51,7.29,412.19,256.36
2024-02-09 11:28:11,1707478089,100,9.14,323.46,325.41
2024-02-09 11:28:13,1707478091,40.7,10.26,0.00,0.00
2024-02-09 11:28:15,1707478093,0,10.26,0.00,0.00
2024-02-09 11:28:17,1707478095,0,10.27,0.00,0.00
2024-02-09 11:28:19,1707478097,1.03,10.27,0.11,0.11
2024-02-09 11:28:21,1707478099,2.53,10.28,0.00,0.00
2024-02-09 11:28:23,1707478101,1,10.28,0.79,0.19
2024-02-09 11:28:25,1707478103,0.5,10.28,0.14,0.14
2024-02-09 11:28:27,1707478105,0.5,10.29,1.58,1.36
2024-02-09 11:28:29,1707478107,70.26,10.52,3489.33,3331.55
2024-02-09 11:28:31,1707478109,98.02,11.59,5553.52,5014.32
2024-02-09 11:28:33,1707478111,96.52,12.21,6228.83,5757.99
2024-02-09 11:28:35,1707478113,97.03,12.65,6381.80,5880.91
2024-02-09 11:28:37,1707478115,74.63,12.69,6541.40,6024.74
2024-02-09 11:28:39,1707478117,93.56,12.70,6685.45,6156.89
2024-02-09 11:28:41,1707478119,74.76,12.70,6392.75,5852.53
2024-02-09 11:28:43,1707478121,78.43,12.71,6168.94,5635.47
2024-02-09 11:28:45,1707478123,80.9,12.71,6107.21,5493.06
2024-02-09 11:28:47,1707478125,72.86,12.71,6320.97,5780.79
2024-02-09 11:28:49,1707478127,74.5,12.72,6482.85,5916.40
2024-02-09 11:28:51,1707478129,76.02,12.72,6232.14,5723.34
2024-02-09 11:28:54,1707478131,75.38,12.73,6227.23,5740.88
2024-02-09 11:28:56,1707478134,76.53,12.73,6119.48,5643.83
2024-02-09 11:28:58,1707478136,77.11,12.73,6746.82,6221.42
2024-02-09 11:29:00,1707478138,77.44,12.73,7132.71,6576.68
2024-02-09 11:29:02,1707478140,76.5,12.73,6673.05,6225.43
