Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 11:48:25,1707479303,100,7.55,412.86,262.23
2024-02-09 11:48:27,1707479305,100,9.23,235.70,225.58
2024-02-09 11:48:29,1707479307,99.5,11.99,103.15,88.42
2024-02-09 11:48:31,1707479309,100,12.47,21.72,39.42
2024-02-09 11:48:33,1707479311,100,12.50,24.67,45.00
2024-02-09 11:48:35,1707479313,99,12.52,28.61,51.89
2024-02-09 11:48:37,1707479315,95.48,12.55,27.85,50.57
2024-02-09 11:48:39,1707479317,99.5,12.56,32.71,59.17
2024-02-09 11:48:41,1707479319,1.5,12.57,0.00,0.00
2024-02-09 11:48:43,1707479321,0.5,12.58,1.35,3.46
2024-02-09 11:48:45,1707479323,3.05,12.60,1357.71,1320.68
2024-02-09 11:48:48,1707479325,86.29,12.61,3447.16,3239.07
2024-02-09 11:48:50,1707479328,92.54,12.63,4094.85,3726.28
2024-02-09 11:48:52,1707479330,93.03,12.68,4393.18,4023.70
2024-02-09 11:48:54,1707479332,90.45,12.70,4308.26,3915.45
2024-02-09 11:48:56,1707479334,70.77,12.71,4241.52,3863.20
2024-02-09 11:48:58,1707479336,66.33,12.72,4021.99,3662.76
2024-02-09 11:49:00,1707479338,71.5,12.41,4113.78,3693.69
2024-02-09 11:49:02,1707479340,60.1,12.42,3835.79,3415.02
2024-02-09 11:49:04,1707479342,62.89,12.43,3700.06,3322.71
2024-02-09 11:49:06,1707479344,65.48,12.44,3841.64,3443.05
2024-02-09 11:49:08,1707479346,65.31,12.44,4088.80,3685.09
2024-02-09 11:49:10,1707479348,63.37,12.44,3986.33,3589.63
2024-02-09 11:49:12,1707479350,66.83,12.44,4616.86,4132.29
2024-02-09 11:49:14,1707479352,66.33,12.45,4457.72,4001.96
2024-02-09 11:49:16,1707479354,69.7,12.45,4424.62,3984.80
2024-02-09 11:49:18,1707479356,71.57,12.46,5288.66,4792.03
2024-02-09 11:49:20,1707479358,69.76,12.48,5074.81,4661.84
2024-02-09 11:49:22,1707479360,68.72,12.48,4804.29,4327.64
2024-02-09 11:49:24,1707479362,73.04,12.50,4796.06,4361.74
2024-02-09 11:49:26,1707479364,69.19,12.20,4900.00,4479.72
2024-02-09 11:49:28,1707479366,66,12.22,5146.05,4687.78
2024-02-09 11:49:30,1707479368,69.74,12.23,5023.34,4554.11
2024-02-09 11:49:32,1707479370,67.34,12.24,4674.58,4314.38
2024-02-09 11:49:34,1707479372,69.35,12.24,4881.12,4460.30
2024-02-09 11:49:37,1707479374,69.04,12.24,4932.03,4472.61
2024-02-09 11:49:39,1707479377,73.3,12.24,5090.18,4646.53
2024-02-09 11:49:41,1707479379,71.22,12.25,4842.86,4389.12
2024-02-09 11:49:43,1707479381,70.3,12.25,4953.07,4640.92
2024-02-09 11:49:45,1707479383,70.85,12.26,4807.29,4347.11
2024-02-09 11:49:47,1707479385,69.54,12.26,4898.66,4454.55
2024-02-09 11:49:49,1707479387,68.37,12.26,5105.83,4619.81
2024-02-09 11:49:51,1707479389,69.11,12.28,5252.83,4795.09
2024-02-09 11:49:53,1707479391,72.82,12.28,5001.83,4576.08
2024-02-09 11:49:55,1707479393,70.35,12.29,5092.50,4618.30
2024-02-09 11:49:57,1707479395,68.84,12.29,3470.66,3116.63
2024-02-09 11:49:59,1707479397,34.85,12.29,1734.05,1533.94
2024-02-09 11:50:01,1707479399,32.99,12.30,1508.58,1336.99
2024-02-09 11:50:03,1707479401,34.18,12.30,1557.39,1377.45
2024-02-09 11:50:05,1707479403,33.33,12.35,1702.37,1494.92
2024-02-09 11:50:07,1707479405,37.81,12.36,1714.94,1503.44
2024-02-09 11:50:09,1707479407,32.82,12.36,1879.10,1666.31
2024-02-09 11:50:11,1707479409,32.84,12.36,1836.25,1642.45
2024-02-09 11:50:13,1707479411,36.32,12.37,2226.36,2024.88
2024-02-09 11:50:15,1707479413,36.55,12.38,2184.90,2009.66
2024-02-09 11:50:17,1707479415,38.89,12.38,2071.13,1897.13
2024-02-09 11:50:19,1707479417,37.24,12.39,2035.40,1848.00
2024-02-09 11:50:21,1707479419,35.05,12.39,2211.15,2013.68
2024-02-09 11:50:23,1707479421,39.18,12.40,2381.79,2154.35
2024-02-09 11:50:25,1707479423,53.3,12.41,5082.18,4608.75
2024-02-09 11:50:27,1707479425,68.53,12.42,5123.87,4677.38
2024-02-09 11:50:29,1707479427,70.98,12.43,5600.40,5097.37
2024-02-09 11:50:31,1707479429,68.18,12.43,5357.49,4867.20
2024-02-09 11:50:34,1707479431,68.37,12.43,4870.43,4595.50
2024-02-09 11:50:36,1707479434,68.18,12.43,4982.86,4751.70
2024-02-09 11:50:38,1707479436,69.65,12.44,5165.51,4618.24
2024-02-09 11:50:40,1707479438,70,12.44,3782.35,3567.41
2024-02-09 11:50:42,1707479440,72.28,12.44,5008.98,4464.69
2024-02-09 11:50:44,1707479442,68.21,12.44,5028.34,4736.77
2024-02-09 11:50:46,1707479444,70.85,12.44,4878.57,4635.83
2024-02-09 11:50:48,1707479446,78.74,12.45,4729.61,4458.35
2024-02-09 11:50:50,1707479448,73.04,12.46,5360.36,5029.07
2024-02-09 11:50:52,1707479450,68,12.46,5068.17,4771.05
2024-02-09 11:50:54,1707479452,68.56,12.47,4958.27,4502.81
2024-02-09 11:50:56,1707479454,68.66,12.48,5092.30,4560.19
2024-02-09 11:50:58,1707479456,72.08,12.48,5251.64,4754.43
2024-02-09 11:51:00,1707479458,70.1,12.49,5325.28,4865.81
2024-02-09 11:51:02,1707479460,70.1,12.49,4915.99,4416.04
2024-02-09 11:51:04,1707479462,72.86,12.49,5052.78,4576.02
2024-02-09 11:51:06,1707479464,73.53,12.50,5734.49,5181.65
2024-02-09 11:51:08,1707479466,70.2,12.50,5218.00,4723.58
2024-02-09 11:51:10,1707479468,70.2,12.51,5407.73,4923.51
2024-02-09 11:51:12,1707479470,72.2,12.51,5310.14,4827.08
2024-02-09 11:51:14,1707479472,67.68,12.51,5005.06,4558.94
2024-02-09 11:51:16,1707479474,70.35,12.51,4946.61,4465.77
2024-02-09 11:51:18,1707479476,72,12.52,5134.98,4653.81
