Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 11:28:09,1707478087,94.44,10.32,238.48,372.83
2024-02-09 11:28:11,1707478089,22.34,11.77,275.35,273.04
2024-02-09 11:28:13,1707478091,0,11.99,0.00,0.00
2024-02-09 11:28:15,1707478093,0,11.99,0.00,0.00
2024-02-09 11:28:17,1707478095,0,11.99,0.00,0.00
2024-02-09 11:28:19,1707478097,1.99,11.99,0.00,0.00
2024-02-09 11:28:21,1707478099,1.51,11.99,0.00,0.00
2024-02-09 11:28:23,1707478101,0.5,11.99,1.31,0.45
2024-02-09 11:28:25,1707478103,0,11.99,0.00,0.00
2024-02-09 11:28:27,1707478105,0.5,11.99,86.61,229.37
2024-02-09 11:28:29,1707478107,78.89,12.12,1167.80,3494.08
2024-02-09 11:28:32,1707478109,94.55,12.14,1429.86,4572.10
2024-02-09 11:28:34,1707478112,88.21,12.17,1627.75,5227.81
2024-02-09 11:28:36,1707478114,99.5,12.17,1056.48,3444.73
2024-02-09 11:28:38,1707478116,82,12.83,1508.21,4888.71
2024-02-09 11:28:40,1707478118,98.01,12.81,1412.96,4542.07
2024-02-09 11:28:42,1707478120,100,12.84,1538.94,4927.50
2024-02-09 11:28:44,1707478122,99,12.86,1586.68,5102.20
2024-02-09 11:28:46,1707478124,98.48,12.87,1530.71,4953.07
2024-02-09 11:28:48,1707478126,98.04,13.32,1496.68,4802.56
2024-02-09 11:28:50,1707478128,99,13.33,1556.75,5004.08
2024-02-09 11:28:52,1707478130,99.5,13.32,1470.29,4757.83
2024-02-09 11:28:54,1707478132,100,13.32,1501.89,4820.29
2024-02-09 11:28:56,1707478134,100,13.33,1506.54,4900.32
2024-02-09 11:28:58,1707478136,96.02,13.33,1741.34,5584.23
2024-02-09 11:29:00,1707478138,98.48,13.33,1695.12,5417.90
2024-02-09 11:29:02,1707478140,99.49,13.32,1616.39,5154.20
2024-02-09 11:29:04,1707478142,99,13.32,1668.73,5349.95
2024-02-09 11:29:06,1707478144,96.46,13.32,1705.23,5450.32
2024-02-09 11:29:08,1707478146,97.54,13.33,1741.82,5526.47
2024-02-09 11:29:10,1707478148,98.51,13.32,1640.71,5238.31
2024-02-09 11:29:12,1707478150,99.5,13.34,1716.53,5431.88
2024-02-09 11:29:14,1707478152,98.51,13.32,1724.70,5482.56
2024-02-09 11:29:16,1707478154,98.48,13.29,1636.74,5278.44
2024-02-09 11:29:19,1707478156,99,13.27,1658.65,5298.33
2024-02-09 11:29:21,1707478159,97.52,13.26,1786.59,5672.47
2024-02-09 11:29:23,1707478161,98.02,13.27,1666.09,5206.60
2024-02-09 11:29:25,1707478163,99.5,13.27,1686.04,5386.83
2024-02-09 11:29:27,1707478165,98.5,13.27,1747.98,5567.96
2024-02-09 11:29:29,1707478167,98.5,13.27,1779.94,5650.90
2024-02-09 11:29:31,1707478169,95.96,13.28,1618.85,5191.38
2024-02-09 11:29:33,1707478171,99,13.27,1893.52,6022.73
2024-02-09 11:29:35,1707478173,98.49,13.28,1839.07,5849.91
2024-02-09 11:29:37,1707478175,96.45,13.28,1651.96,5265.30
2024-02-09 11:29:39,1707478177,99.49,13.28,1803.57,5646.10
2024-02-09 11:29:41,1707478179,96.08,13.29,1848.91,5910.85
2024-02-09 11:29:43,1707478181,94.53,13.29,1673.16,5333.73
2024-02-09 11:29:45,1707478183,98.04,13.29,1611.91,5136.92
2024-02-09 11:29:47,1707478185,96.97,13.29,1712.87,5476.02
2024-02-09 11:29:49,1707478187,95.1,13.30,1634.70,5258.53
2024-02-09 11:29:51,1707478189,98,13.30,1651.17,5314.79
2024-02-09 11:29:53,1707478191,98.51,13.30,1722.42,5487.84
2024-02-09 11:29:55,1707478193,97.99,13.30,1732.07,5522.53
2024-02-09 11:29:57,1707478195,95,13.30,1658.25,5284.47
2024-02-09 11:29:59,1707478197,97.49,13.33,1617.35,5168.22
2024-02-09 11:30:02,1707478199,98.03,13.31,1608.53,5149.40
2024-02-09 11:30:04,1707478202,92.57,13.31,1735.39,5554.65
2024-02-09 11:30:06,1707478204,96.52,13.31,1708.75,5462.01
2024-02-09 11:30:08,1707478206,98.49,13.32,1668.40,5335.65
2024-02-09 11:30:10,1707478208,96.98,13.32,1692.21,5385.86
2024-02-09 11:30:12,1707478210,98.01,13.32,1693.14,5394.93
2024-02-09 11:30:14,1707478212,94.47,13.32,1634.12,5223.77
2024-02-09 11:30:16,1707478214,97.54,13.33,1628.13,5226.56
2024-02-09 11:30:18,1707478216,93.97,13.33,1669.05,5349.76
2024-02-09 11:30:20,1707478218,96.45,13.33,1677.91,5338.49
2024-02-09 11:30:22,1707478220,95,13.34,1693.71,5422.37
2024-02-09 11:30:24,1707478222,97.51,13.34,1637.32,5236.13
2024-02-09 11:30:26,1707478224,98.49,13.34,1684.05,5238.28
2024-02-09 11:30:28,1707478226,95.05,13.35,1673.08,5359.77
