Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 11:48:26,1707479304,98.02,11.19,204.66,206.38
2024-02-09 11:48:28,1707479306,19.21,11.59,227.72,249.56
2024-02-09 11:48:30,1707479308,32,11.86,27.19,18.47
2024-02-09 11:48:32,1707479310,11.71,12.10,39.94,21.98
2024-02-09 11:48:34,1707479312,8.59,12.50,46.58,25.85
2024-02-09 11:48:36,1707479314,8.76,12.93,51.40,28.57
2024-02-09 11:48:38,1707479316,10.1,13.35,52.39,28.90
2024-02-09 11:48:40,1707479318,13.79,13.81,25.26,13.92
2024-02-09 11:48:42,1707479320,0.5,13.91,0.00,0.00
2024-02-09 11:48:44,1707479322,0,13.92,19.37,17.19
2024-02-09 11:48:46,1707479324,56.22,14.03,656.38,1901.23
2024-02-09 11:48:48,1707479326,95.5,14.29,975.44,2983.17
2024-02-09 11:48:50,1707479328,99.5,14.99,1104.18,3478.90
2024-02-09 11:48:52,1707479330,98.5,15.00,1008.53,3190.22
2024-02-09 11:48:54,1707479332,100,15.00,1006.62,3168.69
2024-02-09 11:48:56,1707479334,100,15.01,1051.50,3322.53
2024-02-09 11:48:58,1707479336,99.5,15.66,1066.76,3263.18
2024-02-09 11:49:00,1707479338,100,15.66,981.16,3160.75
2024-02-09 11:49:02,1707479340,100,15.55,1011.96,3186.39
2024-02-09 11:49:04,1707479342,100,15.43,958.38,3062.36
2024-02-09 11:49:07,1707479344,99.5,14.67,1004.53,3179.25
2024-02-09 11:49:09,1707479347,99.5,14.54,991.14,3126.29
2024-02-09 11:49:11,1707479349,100,14.10,1052.31,3332.10
2024-02-09 11:49:13,1707479351,99.5,14.02,1130.20,3587.09
2024-02-09 11:49:15,1707479353,100,13.93,1165.96,3701.06
2024-02-09 11:49:17,1707479355,96.48,13.93,1220.47,3792.98
2024-02-09 11:49:19,1707479357,100,13.94,1240.26,3924.15
2024-02-09 11:49:21,1707479359,99.5,13.93,1161.81,3690.98
2024-02-09 11:49:23,1707479361,99,13.94,1091.47,3428.03
2024-02-09 11:49:25,1707479363,100,14.00,1194.20,3757.88
2024-02-09 11:49:27,1707479365,100,14.03,1247.66,3935.22
2024-02-09 11:49:29,1707479367,100,14.04,1186.92,3726.16
2024-02-09 11:49:31,1707479369,100,14.04,1191.29,3788.37
2024-02-09 11:49:33,1707479371,100,14.04,1179.12,3712.33
2024-02-09 11:49:35,1707479373,100,14.04,1171.42,3717.70
2024-02-09 11:49:37,1707479375,100,14.05,1282.39,4054.62
2024-02-09 11:49:39,1707479377,99.5,14.05,1290.51,4085.15
2024-02-09 11:49:41,1707479379,99.5,14.05,1137.01,3637.11
2024-02-09 11:49:43,1707479381,100,14.06,1221.79,3850.07
2024-02-09 11:49:45,1707479383,100,14.06,1162.78,3729.57
2024-02-09 11:49:47,1707479385,99.5,14.07,1160.22,3701.15
2024-02-09 11:49:49,1707479387,100,14.07,1148.76,3639.77
2024-02-09 11:49:51,1707479389,100,14.07,1212.55,3832.31
2024-02-09 11:49:53,1707479391,99.5,14.07,1328.18,4170.19
2024-02-09 11:49:56,1707479393,99.5,14.07,1198.61,3803.75
2024-02-09 11:49:58,1707479396,100,14.46,389.55,1294.07
2024-02-09 11:50:00,1707479398,100,20.04,413.35,1357.96
2024-02-09 11:50:02,1707479400,100,25.60,399.74,1320.80
2024-02-09 11:50:04,1707479402,100,31.24,372.25,1260.01
2024-02-09 11:50:06,1707479404,100,37.24,409.90,1368.51
2024-02-09 11:50:09,1707479406,100,43.06,415.01,1390.88
2024-02-09 11:50:11,1707479409,99.51,48.69,398.51,1312.21
2024-02-09 11:50:13,1707479411,99.5,54.24,512.74,1641.27
2024-02-09 11:50:15,1707479413,99.5,59.48,507.91,1602.93
2024-02-09 11:50:17,1707479415,99,64.94,466.63,1492.46
2024-02-09 11:50:20,1707479418,98.03,70.37,484.80,1567.16
2024-02-09 11:50:22,1707479420,98.5,76.01,514.48,1647.12
2024-02-09 11:50:24,1707479422,98.04,76.18,706.54,2264.88
2024-02-09 11:50:26,1707479424,92.82,14.08,1254.71,3947.64
2024-02-09 11:50:28,1707479426,95,14.02,1337.74,4226.86
2024-02-09 11:50:30,1707479428,98.01,13.94,1243.37,3948.45
2024-02-09 11:50:32,1707479430,95.48,13.90,1245.45,3931.71
2024-02-09 11:50:34,1707479432,95.45,13.90,1265.81,3987.97
2024-02-09 11:50:36,1707479434,95.94,13.90,1250.60,3954.02
2024-02-09 11:50:38,1707479436,99.5,13.91,1223.61,3887.66
2024-02-09 11:50:40,1707479438,96.98,13.91,1298.60,4018.08
2024-02-09 11:50:42,1707479440,96,13.92,1308.40,4113.49
2024-02-09 11:50:44,1707479442,96.53,13.92,1292.52,4095.59
2024-02-09 11:50:47,1707479444,99,13.93,1206.30,3837.95
2024-02-09 11:50:49,1707479447,96.48,13.93,1313.72,4133.49
2024-02-09 11:50:51,1707479449,95.96,13.93,1281.89,4054.05
2024-02-09 11:50:53,1707479451,97.99,13.94,1222.75,3851.81
2024-02-09 11:50:55,1707479453,96,13.94,1266.42,3994.23
2024-02-09 11:50:57,1707479455,95.52,13.94,1304.15,4107.24
2024-02-09 11:50:59,1707479457,96.5,13.95,1240.08,3922.00
2024-02-09 11:51:01,1707479459,97.98,13.95,1195.86,3786.17
2024-02-09 11:51:03,1707479461,97.03,13.95,1289.20,4061.40
2024-02-09 11:51:05,1707479463,96.48,13.96,1308.02,4115.78
2024-02-09 11:51:07,1707479465,97.47,13.96,1258.48,3974.09
2024-02-09 11:51:09,1707479467,99,13.96,1247.91,3936.40
2024-02-09 11:51:11,1707479469,96,13.96,1319.46,4157.08
2024-02-09 11:51:13,1707479471,98.5,13.97,1213.56,3861.40
2024-02-09 11:51:15,1707479473,97.97,13.97,1207.63,3843.48
2024-02-09 11:51:17,1707479475,97.01,13.97,1281.48,4026.60
2024-02-09 11:51:19,1707479477,97.51,13.97,1252.61,3958.34
2024-02-09 11:51:21,1707479479,98.5,13.98,1314.42,4167.04
2024-02-09 11:51:23,1707479481,99.5,13.99,1260.12,3968.44
2024-02-09 11:51:25,1707479483,97.95,13.99,1324.05,4164.94
2024-02-09 11:51:27,1707479485,97.49,13.99,1325.73,4193.63
2024-02-09 11:51:29,1707479487,97.5,14.00,1361.48,4297.38
2024-02-09 11:51:31,1707479489,98.01,14.00,1335.62,4206.45
2024-02-09 11:51:34,1707479491,98.01,14.00,1262.43,4013.97
2024-02-09 11:51:36,1707479494,98.51,14.01,1235.49,3941.72
2024-02-09 11:51:38,1707479496,98.5,14.00,1294.81,4068.07
2024-02-09 11:51:40,1707479498,97.99,14.01,1252.74,3944.81
2024-02-09 11:51:42,1707479500,97.99,14.03,1202.90,3799.81
2024-02-09 11:51:44,1707479502,98.99,14.02,1208.02,3811.44
2024-02-09 11:51:46,1707479504,97.51,14.03,1321.58,4148.50
2024-02-09 11:51:48,1707479506,98.51,14.03,1234.15,3897.01
2024-02-09 11:51:50,1707479508,98.51,14.03,1302.08,4102.79
2024-02-09 11:51:52,1707479510,97.03,14.04,1272.25,4007.55
2024-02-09 11:51:54,1707479512,97.52,14.04,1296.79,4080.77
2024-02-09 11:51:56,1707479514,96.5,14.04,1283.27,4068.90
2024-02-09 11:51:58,1707479516,98,14.06,1276.45,4038.15
2024-02-09 11:52:00,1707479518,98.48,14.05,1281.10,4018.77
2024-02-09 11:52:02,1707479520,98.49,14.06,1304.78,4123.73
2024-02-09 11:52:04,1707479522,96.94,14.06,1239.21,3913.03
2024-02-09 11:52:06,1707479524,98,14.07,1317.34,4151.11
2024-02-09 11:52:08,1707479526,98.48,14.07,1319.24,4154.85
2024-02-09 11:52:10,1707479528,98.5,14.08,1258.22,3998.56
2024-02-09 11:52:12,1707479530,99,14.09,1255.64,3974.15
2024-02-09 11:52:14,1707479532,97.52,14.08,1327.47,4171.15
