Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 12:59:04,1707483542,94.55,10.42,315.82,450.37
2024-02-09 12:59:06,1707483544,37.93,11.97,256.12,257.82
2024-02-09 12:59:08,1707483546,0,12.09,0.00,0.06
2024-02-09 12:59:10,1707483548,0,12.09,0.00,0.00
2024-02-09 12:59:12,1707483550,0.5,12.09,0.00,0.00
2024-02-09 12:59:14,1707483552,2.49,12.10,0.00,0.00
2024-02-09 12:59:16,1707483554,2.02,12.11,0.39,0.18
2024-02-09 12:59:18,1707483556,0.5,12.12,0.11,0.11
2024-02-09 12:59:20,1707483558,0.5,12.13,0.00,0.00
2024-02-09 12:59:22,1707483560,1,12.13,0.15,0.13
2024-02-09 12:59:24,1707483562,31.82,12.15,135.63,349.96
2024-02-09 12:59:26,1707483564,41.15,12.41,185.54,526.81
2024-02-09 12:59:28,1707483566,38.38,12.46,163.03,498.80
2024-02-09 12:59:30,1707483568,22.17,12.48,158.98,485.48
2024-02-09 12:59:32,1707483570,16.67,12.48,152.19,465.43
2024-02-09 12:59:35,1707483572,16.58,12.49,147.60,452.05
2024-02-09 12:59:37,1707483575,18.09,12.49,148.71,454.44
2024-02-09 12:59:39,1707483577,16.08,12.48,147.13,448.82
2024-02-09 12:59:41,1707483579,14.8,12.47,147.92,452.15
2024-02-09 12:59:43,1707483581,16.16,12.47,148.60,454.98
2024-02-09 12:59:45,1707483583,14.21,12.46,150.29,460.08
2024-02-09 12:59:47,1707483585,19.19,12.46,150.69,461.78
2024-02-09 12:59:49,1707483587,16.67,12.45,153.55,466.63
2024-02-09 12:59:51,1707483589,15.66,12.45,145.31,445.75
2024-02-09 12:59:53,1707483591,16.84,12.44,139.47,427.69
2024-02-09 12:59:55,1707483593,18.05,12.44,129.73,398.86
2024-02-09 12:59:57,1707483595,18.09,12.44,128.45,394.93
2024-02-09 12:59:59,1707483597,15.82,12.44,131.70,404.57
2024-02-09 13:00:01,1707483599,31.31,12.58,129.68,395.94
2024-02-09 13:00:03,1707483601,17.59,12.58,123.95,381.15
2024-02-09 13:00:05,1707483603,20.49,12.57,125.60,383.49
2024-02-09 13:00:07,1707483605,15.74,12.57,124.19,380.52
2024-02-09 13:00:09,1707483607,15.74,12.58,121.82,373.77
2024-02-09 13:00:11,1707483609,16.67,12.58,126.71,388.46
2024-02-09 13:00:13,1707483611,12.63,12.60,129.73,396.07
2024-02-09 13:00:15,1707483613,20.9,12.60,133.68,408.55
2024-02-09 13:00:17,1707483615,15.03,12.60,135.81,413.35
2024-02-09 13:00:19,1707483617,15.31,12.60,144.76,441.93
2024-02-09 13:00:21,1707483619,19.05,12.59,128.94,397.25
2024-02-09 13:00:23,1707483621,18.72,12.60,134.99,399.51
2024-02-09 13:00:25,1707483623,19.8,12.60,122.21,375.70
2024-02-09 13:00:27,1707483625,19.1,12.60,127.91,392.22
2024-02-09 13:00:29,1707483627,20.87,12.60,131.70,402.24
2024-02-09 13:00:31,1707483629,15.42,12.59,127.42,390.40
2024-02-09 13:00:33,1707483631,45.23,12.58,125.22,384.88
2024-02-09 13:00:35,1707483633,17.41,12.57,130.83,400.54
2024-02-09 13:00:37,1707483635,17.41,12.56,133.52,405.13
2024-02-09 13:00:39,1707483637,18.69,12.56,132.56,403.44
2024-02-09 13:00:41,1707483639,17.41,12.55,135.65,414.26
2024-02-09 13:00:43,1707483641,16.42,12.54,137.47,417.74
2024-02-09 13:00:45,1707483643,19.6,12.56,135.73,415.08
2024-02-09 13:00:47,1707483645,16,12.57,149.04,450.59
2024-02-09 13:00:49,1707483647,14.72,12.57,155.12,474.86
2024-02-09 13:00:52,1707483649,16.16,12.57,162.22,492.41
2024-02-09 13:00:54,1707483652,13.27,12.56,158.90,485.38
2024-02-09 13:00:56,1707483654,16.83,12.56,174.60,531.92
2024-02-09 13:00:58,1707483656,13.57,12.55,194.67,588.64
2024-02-09 13:01:00,1707483658,12.18,12.55,199.94,607.37
2024-02-09 13:01:02,1707483660,9.28,12.54,201.11,611.23
2024-02-09 13:01:04,1707483662,14.65,12.54,209.66,641.47
2024-02-09 13:01:06,1707483664,10.1,12.55,229.79,703.28
2024-02-09 13:01:08,1707483666,10.5,12.54,237.21,720.73
2024-02-09 13:01:10,1707483668,11,12.55,223.38,683.78
2024-02-09 13:01:12,1707483670,11.17,12.55,228.84,703.06
2024-02-09 13:01:14,1707483672,9.55,12.54,243.86,743.79
2024-02-09 13:01:16,1707483674,13.93,12.54,239.13,730.94
2024-02-09 13:01:18,1707483676,10.45,12.53,243.24,746.58
2024-02-09 13:01:20,1707483678,11.27,12.52,239.39,734.36
2024-02-09 13:01:22,1707483680,14.21,12.51,236.12,723.98
