Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 13:53:31,1707486809,47.06,11.20,370.44,364.68
2024-02-09 13:53:33,1707486811,31,11.50,0.00,0.00
2024-02-09 13:53:35,1707486813,0,11.50,0.00,0.00
2024-02-09 13:53:37,1707486815,0,11.50,0.00,0.00
2024-02-09 13:53:39,1707486817,0.5,11.50,0.00,0.00
2024-02-09 13:53:41,1707486819,0.51,11.50,0.00,0.00
2024-02-09 13:53:43,1707486821,0.99,11.51,0.00,0.00
2024-02-09 13:53:45,1707486823,0.5,11.51,0.00,0.00
2024-02-09 13:53:47,1707486825,0,11.51,0.00,0.00
2024-02-09 13:53:49,1707486827,0,11.51,139.89,338.89
2024-02-09 13:53:51,1707486829,47,11.59,281.30,756.35
2024-02-09 13:53:53,1707486831,38.46,11.65,246.48,754.51
2024-02-09 13:53:55,1707486833,28.36,12.68,259.44,788.18
2024-02-09 13:53:57,1707486835,9.74,12.88,264.99,805.35
2024-02-09 13:53:59,1707486837,13.24,12.99,271.32,826.42
2024-02-09 13:54:01,1707486839,12.81,13.28,259.69,794.16
2024-02-09 13:54:03,1707486841,9.6,13.38,276.84,842.72
2024-02-09 13:54:05,1707486843,12.14,13.38,278.04,845.79
2024-02-09 13:54:08,1707486845,9.5,13.38,280.26,854.03
2024-02-09 13:54:10,1707486848,6.15,13.38,283.18,863.71
2024-02-09 13:54:12,1707486850,8.63,13.38,284.34,870.18
2024-02-09 13:54:14,1707486852,8.16,13.37,282.39,865.86
2024-02-09 13:54:16,1707486854,7.69,13.36,279.62,857.88
2024-02-09 13:54:18,1707486856,9.14,13.36,279.04,855.61
2024-02-09 13:54:20,1707486858,10.5,13.35,278.54,853.90
2024-02-09 13:54:22,1707486860,29.35,13.42,281.33,861.76
2024-02-09 13:54:24,1707486862,7.61,13.42,285.23,873.10
2024-02-09 13:54:26,1707486864,8.08,13.42,286.19,876.49
2024-02-09 13:54:28,1707486866,9.85,13.42,287.28,880.21
2024-02-09 13:54:30,1707486868,9.5,13.43,294.32,900.90
2024-02-09 13:54:32,1707486870,10.84,13.43,281.60,864.41
2024-02-09 13:54:34,1707486872,9.41,13.42,282.00,866.59
2024-02-09 13:54:36,1707486874,7.58,13.42,272.25,836.16
2024-02-09 13:54:38,1707486876,9.09,13.41,271.86,834.38
2024-02-09 13:54:40,1707486878,12.08,13.41,270.29,829.17
2024-02-09 13:54:42,1707486880,11.28,13.41,269.41,826.02
2024-02-09 13:54:44,1707486882,10.89,13.41,264.52,812.31
2024-02-09 13:54:46,1707486884,10.45,13.41,263.62,808.28
2024-02-09 13:54:48,1707486886,7.25,13.40,263.08,806.41
2024-02-09 13:54:50,1707486888,10.1,13.40,266.98,814.59
2024-02-09 13:54:52,1707486890,9.64,13.40,268.15,821.40
2024-02-09 13:54:54,1707486892,10.45,13.39,270.21,827.42
2024-02-09 13:54:56,1707486894,8.5,13.39,272.27,833.96
2024-02-09 13:54:58,1707486896,8.08,13.38,276.06,845.06
2024-02-09 13:55:00,1707486898,9.6,13.38,266.97,819.16
2024-02-09 13:55:02,1707486900,10.5,13.39,268.15,823.22
2024-02-09 13:55:04,1707486902,7.18,13.39,269.74,827.17
2024-02-09 13:55:06,1707486904,8,13.39,270.53,828.83
2024-02-09 13:55:08,1707486906,6.7,13.39,257.48,791.18
2024-02-09 13:55:10,1707486908,10.95,13.39,252.73,777.56
2024-02-09 13:55:12,1707486910,11.44,13.39,252.73,777.17
2024-02-09 13:55:14,1707486912,10.89,13.39,249.09,765.90
2024-02-09 13:55:16,1707486914,11.39,13.39,238.49,733.32
2024-02-09 13:55:18,1707486916,10.55,13.39,233.35,718.14
2024-02-09 13:55:20,1707486918,10.05,13.38,234.14,718.37
2024-02-09 13:55:22,1707486920,10.1,13.38,228.69,701.35
2024-02-09 13:55:24,1707486922,11,13.38,230.98,708.49
2024-02-09 13:55:27,1707486924,11.33,13.37,234.93,720.80
2024-02-09 13:55:29,1707486927,9.14,13.36,233.81,716.01
2024-02-09 13:55:31,1707486929,11.06,13.36,216.42,666.30
2024-02-09 13:55:33,1707486931,11.17,13.36,216.34,665.95
2024-02-09 13:55:35,1707486933,10.55,13.36,225.42,689.29
2024-02-09 13:55:37,1707486935,12.75,13.36,223.07,682.60
2024-02-09 13:55:39,1707486937,10.5,13.37,212.47,653.11
2024-02-09 13:55:41,1707486939,11.5,13.36,193.56,597.90
2024-02-09 13:55:43,1707486941,13.13,13.36,194.99,599.75
2024-02-09 13:55:45,1707486943,11.68,13.36,180.67,555.68
2024-02-09 13:55:47,1707486945,14.65,13.36,174.89,538.89
2024-02-09 13:55:49,1707486947,13.93,13.35,175.30,534.66
2024-02-09 13:55:51,1707486949,11.62,13.35,168.49,517.66
2024-02-09 13:55:53,1707486951,13.27,13.36,164.53,505.61
2024-02-09 13:55:55,1707486953,14.14,13.35,153.06,471.62
2024-02-09 13:55:57,1707486955,14.72,13.35,133.05,411.89
2024-02-09 13:55:59,1707486957,15.74,13.35,131.70,407.11
2024-02-09 13:56:01,1707486959,15.74,13.36,126.17,389.37
2024-02-09 13:56:03,1707486961,17.82,13.35,128.14,392.92
2024-02-09 13:56:05,1707486963,17.82,13.36,136.85,417.11
2024-02-09 13:56:07,1707486965,15.58,13.35,125.22,383.67
2024-02-09 13:56:09,1707486967,16.5,13.36,123.79,381.37
2024-02-09 13:56:11,1707486969,16.75,13.35,123.86,382.47
2024-02-09 13:56:13,1707486971,16.24,13.35,121.82,374.21
2024-02-09 13:56:15,1707486973,13.85,13.35,121.82,373.70
2024-02-09 13:56:17,1707486975,18.41,13.35,118.65,364.52
2024-02-09 13:56:19,1707486977,16.67,13.35,128.99,393.03
2024-02-09 13:56:21,1707486979,17.59,13.35,126.68,386.71
2024-02-09 13:56:23,1707486981,14.58,13.34,123.40,379.15
2024-02-09 13:56:25,1707486983,18,13.34,119.44,367.29
2024-02-09 13:56:27,1707486985,18.09,13.34,117.47,361.04
2024-02-09 13:56:29,1707486987,16.08,13.34,120.23,371.45
2024-02-09 13:56:31,1707486989,15.31,13.34,125.77,384.22
2024-02-09 13:56:33,1707486991,15.23,13.34,122.21,374.21
2024-02-09 13:56:35,1707486993,16,13.34,123.00,377.55
2024-02-09 13:56:37,1707486995,18,13.34,122.21,375.00
2024-02-09 13:56:39,1707486997,16.33,13.34,122.21,374.87
2024-02-09 13:56:41,1707486999,16.58,13.34,130.12,397.63
2024-02-09 13:56:43,1707487001,17.09,13.34,130.91,399.93
2024-02-09 13:56:46,1707487004,17.24,13.34,137.24,419.57
2024-02-09 13:56:48,1707487006,15.66,13.33,136.85,418.71
2024-02-09 13:56:50,1707487008,12.95,13.33,151.57,458.90
2024-02-09 13:56:52,1707487010,15.5,13.33,151.48,461.94
2024-02-09 13:56:54,1707487012,13.78,13.33,156.23,477.97
2024-02-09 13:56:56,1707487014,14.21,13.33,160.58,490.78
2024-02-09 13:56:58,1707487016,14.07,13.34,161.83,494.99
2024-02-09 13:57:00,1707487018,16.08,13.34,165.32,504.74
2024-02-09 13:57:02,1707487020,14.57,13.34,165.78,507.24
2024-02-09 13:57:04,1707487022,14.57,13.34,170.86,522.87
2024-02-09 13:57:06,1707487024,14,13.34,171.65,525.23
2024-02-09 13:57:08,1707487026,13.93,13.33,179.17,547.83
2024-02-09 13:57:10,1707487028,13.86,13.33,165.72,510.55
2024-02-09 13:57:12,1707487030,15.76,13.33,172.84,533.03
2024-02-09 13:57:14,1707487032,12.69,13.33,171.65,527.77
2024-02-09 13:57:16,1707487034,15,13.34,169.67,522.77
2024-02-09 13:57:18,1707487036,14.85,13.34,180.35,553.72
2024-02-09 13:57:20,1707487038,13.13,13.34,182.43,559.07
2024-02-09 13:57:22,1707487040,13.07,13.34,182.80,561.23
2024-02-09 13:57:24,1707487042,12.44,13.34,208.67,639.80
2024-02-09 13:57:26,1707487044,10.55,13.34,225.44,688.50
2024-02-09 13:57:28,1707487046,10.05,13.35,233.91,713.78
2024-02-09 13:57:30,1707487048,11.5,13.35,231.77,711.24
2024-02-09 13:57:32,1707487050,13.79,13.35,231.90,713.69
2024-02-09 13:57:34,1707487052,8.67,13.35,231.11,710.63
2024-02-09 13:57:36,1707487054,9.14,13.35,228.60,704.14
2024-02-09 13:57:38,1707487056,10.61,13.34,234.54,721.31
2024-02-09 13:57:40,1707487058,10.1,13.34,228.21,702.47
2024-02-09 13:57:42,1707487060,11.11,13.34,230.19,709.20
2024-02-09 13:57:44,1707487062,10.89,13.53,247.81,762.16
2024-02-09 13:57:46,1707487064,9.09,13.53,248.77,760.30
2024-02-09 13:57:48,1707487066,10.05,13.52,239.77,736.11
2024-02-09 13:57:50,1707487068,10,13.51,238.62,736.48
2024-02-09 13:57:52,1707487070,8.72,13.51,245.21,753.63
2024-02-09 13:57:54,1707487072,9.09,13.60,243.63,749.02
2024-02-09 13:57:56,1707487074,8.16,13.59,243.63,750.11
2024-02-09 13:57:58,1707487076,9.85,13.59,250.36,769.65
2024-02-09 13:58:00,1707487078,10.89,13.59,242.51,746.38
2024-02-09 13:58:02,1707487080,10.95,13.58,245.21,755.54
2024-02-09 13:58:04,1707487082,8.54,13.63,256.37,787.69
2024-02-09 13:58:07,1707487084,5.7,13.62,257.87,791.13
2024-02-09 13:58:09,1707487087,7.65,13.62,261.43,802.40
2024-02-09 13:58:11,1707487089,7.61,13.61,253.38,777.34
2024-02-09 13:58:13,1707487091,7.22,13.60,247.59,764.24
2024-02-09 13:58:15,1707487093,9.45,13.60,249.80,769.58
2024-02-09 13:58:17,1707487095,7.65,13.59,254.31,781.77
2024-02-09 13:58:19,1707487097,8.59,13.59,264.59,811.89
2024-02-09 13:58:21,1707487099,12.75,13.58,264.59,812.34
2024-02-09 13:58:23,1707487101,6.63,13.57,264.59,812.40
2024-02-09 13:58:25,1707487103,7.07,13.62,270.92,832.70
2024-02-09 13:58:27,1707487105,7.54,13.61,260.09,801.10
2024-02-09 13:58:29,1707487107,7.58,13.61,259.91,801.48
2024-02-09 13:58:31,1707487109,8.59,13.60,263.01,808.96
2024-02-09 13:58:33,1707487111,9.9,13.60,262.62,807.74
2024-02-09 13:58:35,1707487113,7.58,13.64,258.03,794.85
2024-02-09 13:58:37,1707487115,9,13.64,235.56,726.94
2024-02-09 13:58:39,1707487117,10.1,13.63,229.79,711.75
2024-02-09 13:58:41,1707487119,9.23,13.62,223.86,692.66
2024-02-09 13:58:43,1707487121,10.95,13.62,223.86,689.89
2024-02-09 13:58:45,1707487123,11.06,13.61,215.55,664.69
2024-02-09 13:58:47,1707487125,10.55,13.60,216.74,668.15
2024-02-09 13:58:49,1707487127,11.44,13.60,216.83,663.87
2024-02-09 13:58:51,1707487129,12.63,13.59,216.80,666.99
2024-02-09 13:58:53,1707487131,13.3,13.58,212.39,653.89
2024-02-09 13:58:55,1707487133,11.73,13.58,213.18,656.53
2024-02-09 13:58:57,1707487135,11.11,13.57,206.92,638.83
2024-02-09 13:58:59,1707487137,7.33,13.57,207.64,639.89
2024-02-09 13:59:01,1707487139,11.22,13.56,200.92,619.25
2024-02-09 13:59:03,1707487141,9.28,13.55,200.68,617.74
2024-02-09 13:59:05,1707487143,11.06,13.55,181.14,561.35
2024-02-09 13:59:07,1707487145,13.2,13.54,179.14,554.50
2024-02-09 13:59:09,1707487147,12.56,13.54,171.10,530.44
2024-02-09 13:59:11,1707487149,12.18,13.53,166.11,513.24
2024-02-09 13:59:13,1707487151,13.5,13.53,168.49,518.23
2024-02-09 13:59:15,1707487153,14.43,13.52,169.28,520.60
2024-02-09 13:59:17,1707487155,12.82,13.52,169.51,521.29
2024-02-09 13:59:19,1707487157,17.22,13.51,172.89,531.36
2024-02-09 13:59:21,1707487159,17.59,13.61,160.23,494.52
2024-02-09 13:59:24,1707487161,17.73,13.60,155.43,481.15
2024-02-09 13:59:26,1707487164,11.98,13.59,156.62,482.55
2024-02-09 13:59:28,1707487166,15.84,13.59,151.88,467.96
2024-02-09 13:59:30,1707487168,13.85,13.58,145.55,451.85
2024-02-09 13:59:32,1707487170,15.15,13.58,146.80,452.42
2024-02-09 13:59:34,1707487172,14.72,13.57,149.82,460.92
2024-02-09 13:59:36,1707487174,12.95,13.56,149.50,459.65
2024-02-09 13:59:38,1707487176,15.35,13.55,149.11,458.87
2024-02-09 13:59:40,1707487178,14.14,13.55,151.88,467.02
2024-02-09 13:59:42,1707487180,16.5,13.54,134.85,416.37
2024-02-09 13:59:44,1707487182,13.85,13.54,146.34,450.53
2024-02-09 13:59:46,1707487184,14.65,13.53,145.94,447.64
2024-02-09 13:59:48,1707487186,16,13.52,141.20,435.42
2024-02-09 13:59:50,1707487188,15.15,13.52,142.47,435.63
2024-02-09 13:59:52,1707487190,17.65,13.51,130.91,404.64
2024-02-09 13:59:54,1707487192,15.15,13.52,127.35,394.50
2024-02-09 13:59:56,1707487194,16.58,13.51,131.18,403.53
2024-02-09 13:59:58,1707487196,17.56,13.51,128.54,395.92
2024-02-09 14:00:00,1707487198,16.16,13.51,128.14,395.92
2024-02-09 14:00:02,1707487200,19.21,13.51,137.64,422.11
2024-02-09 14:00:04,1707487202,14.36,13.51,143.96,440.55
2024-02-09 14:00:06,1707487204,15.08,13.51,144.76,444.40
2024-02-09 14:00:08,1707487206,15.92,13.50,152.27,467.32
2024-02-09 14:00:10,1707487208,15.92,13.51,155.12,475.80
2024-02-09 14:00:12,1707487210,15.98,13.50,150.69,464.07
2024-02-09 14:00:14,1707487212,15.84,13.50,150.93,465.04
2024-02-09 14:00:16,1707487214,12.89,13.50,156.46,482.03
2024-02-09 14:00:18,1707487216,14.57,13.50,171.33,523.40
2024-02-09 14:00:20,1707487218,12.89,13.51,175.39,537.57
2024-02-09 14:00:22,1707487220,11.92,13.50,177.58,544.81
2024-02-09 14:00:24,1707487222,11.22,13.50,186.68,572.28
2024-02-09 14:00:26,1707487224,13.37,13.50,187.08,574.27
2024-02-09 14:00:28,1707487226,12.5,13.51,183.12,564.29
2024-02-09 14:00:30,1707487228,12.12,13.50,184.46,568.96
2024-02-09 14:00:32,1707487230,12.24,13.51,187.93,579.15
2024-02-09 14:00:34,1707487232,19,13.52,191.03,586.02
2024-02-09 14:00:36,1707487234,14.29,13.52,196.57,603.16
2024-02-09 14:00:38,1707487236,14.56,13.52,197.36,608.11
2024-02-09 14:00:41,1707487238,11.62,13.51,205.27,630.18
2024-02-09 14:00:43,1707487241,11.17,13.51,206.46,633.98
2024-02-09 14:00:45,1707487243,11.17,13.51,210.57,647.58
2024-02-09 14:00:47,1707487245,11.17,13.51,211.60,650.46
2024-02-09 14:00:49,1707487247,10.1,13.51,213.27,651.69
2024-02-09 14:00:51,1707487249,9.79,13.51,206.52,636.37
2024-02-09 14:00:53,1707487251,11.56,13.51,207.64,639.83
2024-02-09 14:00:55,1707487253,8.85,13.52,208.18,640.49
2024-02-09 14:00:57,1707487255,9.64,13.52,223.46,685.21
2024-02-09 14:00:59,1707487257,14.01,13.51,217.13,666.82
2024-02-09 14:01:01,1707487259,10.26,13.52,214.52,661.98
2024-02-09 14:01:03,1707487261,13.73,13.53,213.34,658.48
2024-02-09 14:01:05,1707487263,7.25,13.52,219.67,675.12
2024-02-09 14:01:07,1707487265,9.69,13.52,221.48,680.13
2024-02-09 14:01:09,1707487267,11.56,13.52,216.74,667.52
2024-02-09 14:01:11,1707487269,12,13.52,227.02,697.74
2024-02-09 14:01:13,1707487271,11,13.52,227.55,698.19
2024-02-09 14:01:15,1707487273,9.64,13.51,227.81,701.02
2024-02-09 14:01:17,1707487275,10.05,13.51,225.83,695.31
2024-02-09 14:01:19,1707487277,8.72,13.51,219.11,675.78
2024-02-09 14:01:21,1707487279,14.63,13.51,219.11,676.30
