Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 14:07:31,1707487649,41.55,12.97,381.12,373.19
2024-02-09 14:07:33,1707487651,1,13.56,0.00,0.00
2024-02-09 14:07:35,1707487653,0,13.56,0.00,0.00
2024-02-09 14:07:37,1707487655,0,13.57,0.00,0.00
2024-02-09 14:07:39,1707487657,0,13.57,0.00,0.00
2024-02-09 14:07:41,1707487659,1.52,13.57,0.00,0.00
2024-02-09 14:07:43,1707487661,0,13.57,0.00,0.00
2024-02-09 14:07:45,1707487663,0,13.57,0.00,0.00
2024-02-09 14:07:47,1707487665,0,13.57,0.00,0.00
2024-02-09 14:07:49,1707487667,1.51,13.58,201.70,487.54
2024-02-09 14:07:51,1707487669,44.33,13.87,302.85,842.26
2024-02-09 14:07:53,1707487671,36.36,14.12,275.50,841.56
2024-02-09 14:07:55,1707487673,10,14.71,282.46,860.12
2024-02-09 14:07:57,1707487675,8.16,14.71,276.06,842.56
2024-02-09 14:07:59,1707487677,14.57,15.17,272.50,832.42
2024-02-09 14:08:01,1707487679,8.16,15.17,272.02,830.78
2024-02-09 14:08:03,1707487681,8.12,15.16,259.52,791.42
2024-02-09 14:08:05,1707487683,7.25,15.16,263.80,806.44
2024-02-09 14:08:07,1707487685,11.71,15.15,261.50,800.86
2024-02-09 14:08:09,1707487687,8.21,15.15,256.29,785.27
2024-02-09 14:08:11,1707487689,13.37,15.14,253.68,781.34
2024-02-09 14:08:13,1707487691,11,15.24,251.15,770.73
2024-02-09 14:08:15,1707487693,10.5,15.24,250.49,767.76
2024-02-09 14:08:17,1707487695,11,15.23,248.90,762.73
2024-02-09 14:08:19,1707487697,8.81,15.23,246.67,756.38
2024-02-09 14:08:21,1707487699,10.2,15.23,266.18,816.06
2024-02-09 14:08:23,1707487701,8.29,15.23,264.59,808.17
2024-02-09 14:08:26,1707487703,30.35,15.36,263.41,804.46
2024-02-09 14:08:28,1707487706,10.45,15.36,261.04,800.67
2024-02-09 14:08:30,1707487708,7.77,15.51,259.85,797.09
2024-02-09 14:08:32,1707487710,10.05,15.61,259.45,795.62
