Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 15:03:26,1707491003,97.49,11.74,396.66,535.73
2024-02-09 15:03:28,1707491006,35.35,11.92,0.00,0.00
2024-02-09 15:03:30,1707491008,0,11.92,0.00,0.00
2024-02-09 15:03:32,1707491010,0,11.93,0.00,0.06
2024-02-09 15:03:34,1707491012,0.5,11.93,0.00,0.00
2024-02-09 15:03:36,1707491014,2.5,11.93,0.00,0.00
2024-02-09 15:03:38,1707491016,0,11.93,0.00,0.00
2024-02-09 15:03:40,1707491018,0,11.93,0.00,0.00
2024-02-09 15:03:42,1707491020,0,11.93,0.00,0.00
2024-02-09 15:03:44,1707491022,3.98,11.93,104.47,255.72
2024-02-09 15:03:46,1707491024,29.74,12.33,310.54,806.72
2024-02-09 15:03:48,1707491026,30.65,12.56,259.22,790.95
2024-02-09 15:03:50,1707491028,20.6,12.67,277.92,840.80
2024-02-09 15:03:52,1707491030,10.89,12.68,248.52,760.12
2024-02-09 15:03:54,1707491032,8.76,12.67,250.67,771.67
2024-02-09 15:03:56,1707491034,12.32,12.67,256.13,784.12
2024-02-09 15:03:58,1707491036,9.55,12.67,259.61,791.99
2024-02-09 15:04:00,1707491038,7.33,12.67,261.59,797.89
2024-02-09 15:04:02,1707491040,11.76,12.67,263.24,803.45
2024-02-09 15:04:04,1707491042,10.45,12.67,263.41,807.02
2024-02-09 15:04:06,1707491044,11.62,12.67,258.75,792.01
2024-02-09 15:04:08,1707491046,9.14,12.68,265.62,813.16
2024-02-09 15:04:10,1707491048,10,12.68,261.35,800.39
2024-02-09 15:04:12,1707491050,9.64,12.68,255.70,784.06
2024-02-09 15:04:14,1707491052,11.06,12.67,252.57,775.81
2024-02-09 15:04:16,1707491054,22.11,12.70,238.97,734.83
2024-02-09 15:04:18,1707491056,14,12.78,231.43,711.74
2024-02-09 15:04:20,1707491058,13.37,12.78,231.82,711.76
2024-02-09 15:04:22,1707491060,9.9,12.77,233.32,714.79
2024-02-09 15:04:24,1707491062,12.06,12.76,230.25,705.54
2024-02-09 15:04:26,1707491064,9.74,12.76,223.20,685.50
2024-02-09 15:04:28,1707491066,11.5,12.75,218.72,672.41
2024-02-09 15:04:30,1707491068,14.71,12.75,218.72,671.57
2024-02-09 15:04:32,1707491070,11.22,12.74,213.57,655.61
2024-02-09 15:04:34,1707491072,14.71,12.74,213.10,654.31
2024-02-09 15:04:36,1707491074,13,12.73,215.38,660.02
2024-02-09 15:04:38,1707491076,11.56,12.73,206.69,634.79
