Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 15:34:38,1707492876,73.04,11.80,395.98,386.52
2024-02-09 15:34:40,1707492878,30.05,11.89,0.00,0.00
2024-02-09 15:34:42,1707492880,0,11.89,0.00,0.00
2024-02-09 15:34:44,1707492882,0,11.90,0.00,0.00
2024-02-09 15:34:46,1707492884,0,11.90,0.00,0.00
2024-02-09 15:34:48,1707492886,2.48,11.90,0.00,0.00
2024-02-09 15:34:50,1707492888,1.49,11.90,0.00,0.00
2024-02-09 15:34:52,1707492890,0,11.91,1.28,0.27
2024-02-09 15:34:54,1707492892,0,11.91,0.00,0.00
2024-02-09 15:34:56,1707492894,0,11.91,28.65,45.28
2024-02-09 15:34:58,1707492896,64.18,11.94,208.53,471.87
2024-02-09 15:35:00,1707492898,39.39,12.49,135.26,412.93
2024-02-09 15:35:02,1707492900,46.73,13.56,135.26,412.93
2024-02-09 15:35:04,1707492902,25.89,13.65,137.64,420.01
2024-02-09 15:35:06,1707492904,20.5,13.86,137.64,420.01
2024-02-09 15:35:08,1707492906,17.5,13.86,138.03,421.33
2024-02-09 15:35:10,1707492908,16.58,13.96,139.28,424.82
2024-02-09 15:35:12,1707492910,16.33,14.20,148.32,451.96
2024-02-09 15:35:14,1707492912,18.05,14.29,140.07,428.00
2024-02-09 15:35:16,1707492914,16.5,14.50,151.72,463.42
2024-02-09 15:35:18,1707492916,17.59,14.74,142.78,437.23
2024-02-09 15:35:20,1707492918,13.33,14.76,143.40,439.04
2024-02-09 15:35:22,1707492920,14.72,14.76,149.84,458.92
2024-02-09 15:35:24,1707492922,12.31,14.76,157.25,480.64
2024-02-09 15:35:26,1707492924,15.84,14.76,155.51,477.60
2024-02-09 15:35:28,1707492926,15.84,14.78,181.46,553.08
2024-02-09 15:35:30,1707492928,23.41,14.82,197.36,599.56
2024-02-09 15:35:32,1707492930,11.62,14.93,203.29,619.83
2024-02-09 15:35:34,1707492932,12.44,14.93,204.48,624.88
2024-02-09 15:35:36,1707492934,10.31,14.93,209.62,641.55
2024-02-09 15:35:38,1707492936,12.5,14.92,222.28,678.61
2024-02-09 15:35:40,1707492938,11.11,14.92,229.06,698.81
2024-02-09 15:35:42,1707492940,11.44,14.92,240.39,735.98
2024-02-09 15:35:45,1707492942,8.16,14.93,270.13,821.95
2024-02-09 15:35:47,1707492945,9.05,14.93,270.92,825.67
2024-02-09 15:35:49,1707492947,8.54,14.92,264.59,810.04
2024-02-09 15:35:51,1707492949,11.54,14.92,258.75,791.64
2024-02-09 15:35:53,1707492951,8.59,14.91,251.70,774.82
2024-02-09 15:35:55,1707492953,9.9,14.91,268.95,823.83
2024-02-09 15:35:57,1707492955,8,14.91,270.45,827.80
2024-02-09 15:35:59,1707492957,8.54,14.91,278.43,848.81
2024-02-09 15:36:01,1707492959,7.14,14.91,279.07,853.62
2024-02-09 15:36:03,1707492961,9.95,14.90,288.72,883.33
2024-02-09 15:36:05,1707492963,9.31,14.90,288.72,882.04
2024-02-09 15:36:07,1707492965,5.61,14.90,289.91,886.97
2024-02-09 15:36:09,1707492967,6.63,14.89,289.27,886.72
2024-02-09 15:36:11,1707492969,5.1,14.90,279.23,857.65
2024-02-09 15:36:13,1707492971,7.96,14.90,281.27,863.26
2024-02-09 15:36:15,1707492973,6.12,14.89,280.42,859.35
2024-02-09 15:36:17,1707492975,7.11,14.89,280.42,859.67
2024-02-09 15:36:19,1707492977,8.08,14.89,278.90,855.01
2024-02-09 15:36:21,1707492979,8,14.89,277.71,851.79
2024-02-09 15:36:23,1707492981,7.58,14.90,275.65,844.10
2024-02-09 15:36:25,1707492983,8.96,14.90,260.24,800.59
2024-02-09 15:36:27,1707492985,9,14.90,260.24,800.39
2024-02-09 15:36:29,1707492987,9.64,14.90,260.24,797.88
2024-02-09 15:36:31,1707492989,9.05,14.89,260.37,797.75
2024-02-09 15:36:33,1707492991,10.55,14.89,257.48,789.71
