Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 16:33:53,1707496431,75.62,11.62,353.11,349.93
2024-02-09 16:33:55,1707496433,27,11.80,0.07,0.07
2024-02-09 16:33:57,1707496435,1.01,11.82,0.51,0.36
2024-02-09 16:33:59,1707496437,0,11.82,0.00,0.00
2024-02-09 16:34:01,1707496439,0.51,11.82,1.52,2.11
2024-02-09 16:34:03,1707496441,1.02,11.83,0.00,0.00
2024-02-09 16:34:05,1707496443,0.5,11.83,0.00,0.00
2024-02-09 16:34:08,1707496445,0,11.83,0.00,0.00
2024-02-09 16:34:10,1707496448,0,11.83,0.00,0.00
2024-02-09 16:34:12,1707496450,0,11.83,139.23,325.03
2024-02-09 16:34:14,1707496452,51.76,12.08,280.25,760.00
2024-02-09 16:34:16,1707496454,29.5,12.08,245.21,754.12
2024-02-09 16:34:18,1707496456,48.22,12.23,246.96,752.96
2024-02-09 16:34:20,1707496458,11.11,12.24,245.66,747.26
2024-02-09 16:34:22,1707496460,13.37,12.24,242.51,740.87
2024-02-09 16:34:24,1707496462,13.43,12.24,239.28,731.58
2024-02-09 16:34:26,1707496464,13.5,12.25,237.23,724.52
2024-02-09 16:34:28,1707496466,11.94,12.24,235.92,718.75
2024-02-09 16:34:30,1707496468,12.56,12.26,248.60,758.43
2024-02-09 16:34:32,1707496470,11.94,12.25,268.61,817.71
2024-02-09 16:34:34,1707496472,11.94,12.24,270.61,824.51
2024-02-09 16:34:36,1707496474,12.68,12.24,272.58,835.02
2024-02-09 16:34:38,1707496476,10.89,12.23,271.38,831.04
2024-02-09 16:34:40,1707496478,9.23,12.23,267.76,821.78
2024-02-09 16:34:42,1707496480,12.38,12.22,264.26,810.88
2024-02-09 16:34:44,1707496482,12.69,12.22,264.99,813.00
2024-02-09 16:34:46,1707496484,10.1,12.22,260.70,799.60
2024-02-09 16:34:48,1707496486,29.95,12.35,270.33,826.84
2024-02-09 16:34:50,1707496488,11.33,12.35,271.96,830.05
2024-02-09 16:34:52,1707496490,12.68,12.35,276.36,839.83
2024-02-09 16:34:54,1707496492,10.89,12.34,273.30,837.31
2024-02-09 16:34:56,1707496494,9.9,12.34,270.76,830.92
2024-02-09 16:34:58,1707496496,11.76,12.33,271.78,833.07
2024-02-09 16:35:00,1707496498,8.29,12.32,273.00,836.05
2024-02-09 16:35:02,1707496500,11.27,12.32,272.11,834.07
2024-02-09 16:35:04,1707496502,12,12.31,272.30,833.85
2024-02-09 16:35:06,1707496504,10.4,12.30,272.11,834.25
2024-02-09 16:35:08,1707496506,9.14,12.30,273.69,838.77
2024-02-09 16:35:10,1707496508,8.12,12.29,274.09,839.85
2024-02-09 16:35:12,1707496510,11.06,12.28,277.25,849.28
2024-02-09 16:35:14,1707496512,9.55,12.28,279.62,856.22
2024-02-09 16:35:16,1707496514,10,12.28,281.13,859.77
2024-02-09 16:35:18,1707496516,11.39,12.27,277.33,850.44
2024-02-09 16:35:20,1707496518,9.09,12.26,274.86,843.24
2024-02-09 16:35:22,1707496520,9.55,12.26,268.56,823.61
2024-02-09 16:35:24,1707496522,9.55,12.25,268.55,824.17
2024-02-09 16:35:26,1707496524,7.61,12.25,264.72,811.78
2024-02-09 16:35:29,1707496526,9,12.24,256.35,787.54
2024-02-09 16:35:31,1707496529,7.22,12.23,263.65,807.89
2024-02-09 16:35:33,1707496531,10.5,12.23,263.41,806.21
2024-02-09 16:35:35,1707496533,10.05,12.22,260.24,797.80
