Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 17:07:16,1707498434,26.63,10.58,223.19,257.84
2024-02-09 17:07:18,1707498436,35.2,10.81,147.20,162.97
2024-02-09 17:07:20,1707498438,7.54,10.96,40.13,22.25
2024-02-09 17:07:22,1707498440,9.05,11.37,47.42,26.17
2024-02-09 17:07:24,1707498442,10.1,11.84,51.44,28.37
2024-02-09 17:07:26,1707498444,10.95,12.41,64.72,35.73
2024-02-09 17:07:28,1707498446,15.27,13.29,0.00,0.00
2024-02-09 17:07:30,1707498448,0.5,13.30,0.00,0.00
2024-02-09 17:07:32,1707498450,0.5,13.30,0.00,0.00
2024-02-09 17:07:34,1707498452,36.18,13.38,102.05,227.70
2024-02-09 17:07:36,1707498454,28.57,13.41,176.31,450.21
2024-02-09 17:07:38,1707498456,50.77,13.59,192.41,539.83
2024-02-09 17:07:40,1707498458,25.25,13.59,176.24,523.87
2024-02-09 17:07:42,1707498460,19.4,13.59,171.00,508.14
2024-02-09 17:07:44,1707498462,16.58,13.60,165.40,492.16
2024-02-09 17:07:46,1707498464,15.1,13.60,163.11,485.31
2024-02-09 17:07:48,1707498466,18.27,13.59,163.41,484.64
2024-02-09 17:07:50,1707498468,20.51,13.57,161.53,479.07
2024-02-09 17:07:52,1707498470,20.51,13.23,172.52,510.96
2024-02-09 17:07:54,1707498472,23,12.88,175.27,519.29
2024-02-09 17:07:56,1707498474,24,12.22,174.66,519.89
2024-02-09 17:07:58,1707498476,22.96,11.87,174.42,519.52
2024-02-09 17:08:00,1707498478,18.27,11.86,177.78,528.70
2024-02-09 17:08:02,1707498480,16.15,11.84,179.61,533.87
2024-02-09 17:08:04,1707498482,16.33,11.84,182.38,542.45
2024-02-09 17:08:06,1707498484,15.9,11.83,185.56,551.29
2024-02-09 17:08:08,1707498486,36.5,11.93,185.89,553.12
2024-02-09 17:08:10,1707498488,16.75,11.91,185.64,553.42
2024-02-09 17:08:12,1707498490,15.31,11.91,182.33,543.35
2024-02-09 17:08:14,1707498492,17.82,11.89,179.48,535.60
2024-02-09 17:08:16,1707498494,18.54,11.88,174.42,521.22
2024-02-09 17:08:18,1707498496,16.5,11.86,170.07,508.21
