Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 12:07:59,1707480477,66.67,10.01,208.07,224.71
2024-02-09 12:08:01,1707480479,21.39,10.06,201.91,231.05
2024-02-09 12:08:03,1707480481,23.76,10.34,27.35,15.63
2024-02-09 12:08:05,1707480483,10.89,10.66,40.89,22.31
2024-02-09 12:08:07,1707480485,16,11.26,46.08,25.58
2024-02-09 12:08:09,1707480487,16.75,11.75,53.48,29.68
2024-02-09 12:08:11,1707480489,11.17,12.24,65.32,35.99
2024-02-09 12:08:13,1707480491,9.18,12.73,0.00,0.00
2024-02-09 12:08:15,1707480493,0.5,12.74,0.00,0.00
2024-02-09 12:08:17,1707480495,0,12.76,75.55,178.82
2024-02-09 12:08:19,1707480497,34.5,12.90,162.60,407.77
2024-02-09 12:08:21,1707480499,26.5,13.00,244.26,643.43
2024-02-09 12:08:23,1707480501,41.92,13.01,219.11,649.07
2024-02-09 12:08:25,1707480503,17.77,13.01,216.41,641.75
2024-02-09 12:08:27,1707480505,18.18,13.00,214.05,635.56
2024-02-09 12:08:29,1707480507,19.1,13.01,213.64,633.86
2024-02-09 12:08:31,1707480509,17.26,13.01,216.34,641.09
2024-02-09 12:08:33,1707480511,29.15,13.01,217.20,643.25
2024-02-09 12:08:35,1707480513,17.95,12.98,219.27,650.71
2024-02-09 12:08:37,1707480515,22,12.41,219.51,652.27
2024-02-09 12:08:39,1707480517,22.11,12.39,219.97,654.08
2024-02-09 12:08:41,1707480519,23.47,11.82,218.70,650.14
2024-02-09 12:08:43,1707480521,18.59,11.85,219.57,653.83
2024-02-09 12:08:45,1707480523,17.24,11.82,223.46,666.06
2024-02-09 12:08:47,1707480525,14.8,11.80,226.72,670.44
2024-02-09 12:08:50,1707480527,15.66,11.82,225.12,669.64
2024-02-09 12:08:52,1707480530,15.58,11.79,221.48,660.24
2024-02-09 12:08:54,1707480532,18.14,11.77,224.25,668.04
2024-02-09 12:08:56,1707480534,14.21,11.74,227.89,678.47
2024-02-09 12:08:58,1707480536,15.15,11.72,227.32,677.01
2024-02-09 12:09:00,1707480538,13.02,11.69,227.02,676.22
2024-02-09 12:09:02,1707480540,15.92,11.66,223.46,665.94
2024-02-09 12:09:04,1707480542,17,11.64,226.63,674.92
2024-02-09 12:09:06,1707480544,14.57,11.67,227.09,675.52
2024-02-09 12:09:08,1707480546,12.89,11.65,228.60,680.49
2024-02-09 12:09:10,1707480548,17.73,11.64,228.60,680.57
2024-02-09 12:09:12,1707480550,16.42,11.63,211.99,632.74
2024-02-09 12:09:14,1707480552,16.42,11.63,209.22,626.03
2024-02-09 12:09:16,1707480554,13.02,11.61,199.02,595.11
2024-02-09 12:09:18,1707480556,16.67,11.61,197.75,590.89
2024-02-09 12:09:20,1707480558,15.31,11.60,205.51,612.62
2024-02-09 12:09:22,1707480560,17.16,11.59,205.66,611.55
2024-02-09 12:09:24,1707480562,15.66,11.59,208.43,619.35
2024-02-09 12:09:26,1707480564,15.08,11.58,208.04,619.21
2024-02-09 12:09:28,1707480566,16,11.57,213.18,634.14
2024-02-09 12:09:30,1707480568,14.85,11.57,200.90,599.08
2024-02-09 12:09:32,1707480570,17.59,11.63,194.59,582.59
2024-02-09 12:09:34,1707480572,16.58,11.62,180.51,539.38
2024-02-09 12:09:36,1707480574,17.59,11.62,177.25,530.29
2024-02-09 12:09:38,1707480576,18.59,11.62,171.65,513.67
2024-02-09 12:09:40,1707480578,18.09,11.63,169.34,505.61
2024-02-09 12:09:42,1707480580,20.2,11.61,169.28,504.70
2024-02-09 12:09:44,1707480582,20,11.60,171.25,509.94
2024-02-09 12:09:46,1707480584,19.4,11.60,163.18,484.10
2024-02-09 12:09:48,1707480586,15.98,11.60,166.97,498.46
2024-02-09 12:09:50,1707480588,17.5,11.60,173.94,517.14
2024-02-09 12:09:52,1707480590,17.26,11.73,185.73,553.22
2024-02-09 12:09:54,1707480592,17.82,11.70,196.76,581.68
2024-02-09 12:09:56,1707480594,15.66,11.68,189.45,562.33
2024-02-09 12:09:58,1707480596,17.82,11.65,188.74,562.35
2024-02-09 12:10:00,1707480598,17.09,11.62,186.35,555.62
2024-02-09 12:10:02,1707480600,19.8,11.45,187.87,560.27
2024-02-09 12:10:05,1707480602,19.8,11.44,176.86,528.24
2024-02-09 12:10:07,1707480605,16.75,11.43,174.09,520.57
2024-02-09 12:10:09,1707480607,16.84,11.43,177.19,527.94
2024-02-09 12:10:11,1707480609,17.41,11.44,177.98,529.46
2024-02-09 12:10:13,1707480611,17.5,11.52,179.56,534.17
2024-02-09 12:10:15,1707480613,18.72,11.49,172.28,512.40
2024-02-09 12:10:17,1707480615,19.1,11.48,170.86,510.22
2024-02-09 12:10:19,1707480617,18.59,11.48,166.90,499.68
2024-02-09 12:10:21,1707480619,19.31,11.48,165.72,494.66
2024-02-09 12:10:23,1707480621,18.09,11.48,163.34,487.33
2024-02-09 12:10:25,1707480623,19.1,11.49,163.74,488.25
2024-02-09 12:10:27,1707480625,17.35,11.48,159.39,475.83
2024-02-09 12:10:29,1707480627,18,11.49,160.58,479.03
2024-02-09 12:10:31,1707480629,19.1,11.48,157.41,469.41
2024-02-09 12:10:33,1707480631,17.68,11.57,162.16,482.75
2024-02-09 12:10:35,1707480633,14.58,11.54,160.58,479.23
2024-02-09 12:10:37,1707480635,55.78,17.32,168.88,501.17
2024-02-09 12:10:39,1707480637,56.22,25.43,176.40,524.73
2024-02-09 12:10:41,1707480639,57.14,33.60,183.12,544.01
2024-02-09 12:10:43,1707480641,56.57,41.58,183.28,545.90
2024-02-09 12:10:45,1707480643,52.53,49.35,195.54,581.10
2024-02-09 12:10:47,1707480645,46.67,57.37,207.57,613.78
2024-02-09 12:10:49,1707480647,47.74,64.97,209.86,624.29
2024-02-09 12:10:52,1707480649,48.72,72.86,215.24,640.61
2024-02-09 12:10:54,1707480652,48.21,80.42,217.37,648.69
2024-02-09 12:10:56,1707480654,16.24,11.81,208.35,623.40
2024-02-09 12:10:58,1707480656,16.75,11.81,213.34,635.72
2024-02-09 12:11:00,1707480658,15.58,11.81,216.01,641.74
2024-02-09 12:11:02,1707480660,13.2,11.81,220.54,656.82
2024-02-09 12:11:04,1707480662,13.2,11.81,225.04,668.73
2024-02-09 12:11:06,1707480664,15.66,11.80,232.16,689.36
2024-02-09 12:11:08,1707480666,13.71,11.79,227.81,678.01
2024-02-09 12:11:10,1707480668,13.64,11.77,228.05,679.72
2024-02-09 12:11:12,1707480670,15.84,11.76,233.16,693.10
2024-02-09 12:11:14,1707480672,14.07,11.74,239.15,707.34
2024-02-09 12:11:16,1707480674,13.43,11.73,242.21,720.69
2024-02-09 12:11:18,1707480676,12.63,11.70,240.86,716.75
2024-02-09 12:11:20,1707480678,13.57,11.69,229.39,686.09
2024-02-09 12:11:22,1707480680,13.13,11.69,226.94,677.56
2024-02-09 12:11:24,1707480682,12.76,11.69,221.56,661.13
2024-02-09 12:11:26,1707480684,12.31,11.68,219.90,656.15
2024-02-09 12:11:28,1707480686,14,11.67,211.99,632.59
2024-02-09 12:11:30,1707480688,14.5,11.67,216.11,643.77
2024-02-09 12:11:32,1707480690,15.46,11.66,216.50,645.09
2024-02-09 12:11:34,1707480692,12.37,11.65,213.57,636.48
2024-02-09 12:11:36,1707480694,15.84,11.65,209.68,626.54
2024-02-09 12:11:38,1707480696,15.08,11.62,207.64,621.42
2024-02-09 12:11:40,1707480698,14.65,11.61,217.53,649.26
2024-02-09 12:11:42,1707480700,14.14,11.60,215.24,642.44
2024-02-09 12:11:44,1707480702,14.43,11.60,209.22,627.08
2024-02-09 12:11:46,1707480704,14.5,11.60,210.50,626.97
2024-02-09 12:11:48,1707480706,17.16,11.61,213.57,638.04
2024-02-09 12:11:50,1707480708,16.59,11.61,215.95,644.76
2024-02-09 12:11:52,1707480710,11.86,11.60,205.35,614.73
2024-02-09 12:11:55,1707480712,15,11.61,202.10,606.72
2024-02-09 12:11:57,1707480715,14.72,11.62,192.95,578.08
2024-02-09 12:11:59,1707480717,19.61,11.62,190.24,572.09
2024-02-09 12:12:01,1707480719,18.23,11.62,187.08,560.80
2024-02-09 12:12:03,1707480721,21.11,11.63,182.33,546.77
2024-02-09 12:12:05,1707480723,18.18,11.63,181.54,544.21
2024-02-09 12:12:07,1707480725,19.31,11.64,176.40,528.72
2024-02-09 12:12:09,1707480727,17.91,11.63,183.52,548.53
2024-02-09 12:12:11,1707480729,17.59,11.63,179.29,535.66
2024-02-09 12:12:13,1707480731,16.33,11.62,182.65,545.19
2024-02-09 12:12:15,1707480733,18.09,11.62,181.14,541.71
2024-02-09 12:12:17,1707480735,17.17,11.61,175.21,525.70
2024-02-09 12:12:19,1707480737,17.59,11.62,168.51,506.37
2024-02-09 12:12:21,1707480739,15.9,11.62,170.53,510.62
2024-02-09 12:12:23,1707480741,16.24,11.62,160.73,479.27
2024-02-09 12:12:25,1707480743,18.18,11.63,169.12,506.15
2024-02-09 12:12:27,1707480745,18.41,11.63,156.30,470.49
2024-02-09 12:12:29,1707480747,17.86,11.63,162.95,488.48
2024-02-09 12:12:31,1707480749,16.41,11.63,173.15,515.76
2024-02-09 12:12:33,1707480751,20.4,11.63,179.56,534.59
2024-02-09 12:12:35,1707480753,17.41,11.63,165.72,498.06
2024-02-09 12:12:37,1707480755,20.69,11.63,166.03,497.98
2024-02-09 12:12:39,1707480757,18.5,11.63,163.34,490.39
2024-02-09 12:12:41,1707480759,20.2,11.64,170.07,508.25
2024-02-09 12:12:43,1707480761,19.4,11.64,164.14,491.02
2024-02-09 12:12:45,1707480763,19.8,11.64,162.95,488.76
2024-02-09 12:12:47,1707480765,18.59,11.64,165.49,491.63
2024-02-09 12:12:49,1707480767,18.5,11.64,164.45,489.99
2024-02-09 12:12:51,1707480769,18.04,11.64,153.30,458.57
2024-02-09 12:12:53,1707480771,19.19,11.64,151.08,453.89
