Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 13:29:16,1707485354,97.01,9.51,254.36,335.13
2024-02-09 13:29:18,1707485356,26.26,10.14,225.18,229.87
2024-02-09 13:29:20,1707485358,41.58,10.25,32.49,21.64
2024-02-09 13:29:22,1707485360,6.6,10.54,42.92,23.36
2024-02-09 13:29:24,1707485362,9.33,11.00,49.05,26.96
2024-02-09 13:29:26,1707485364,9.23,11.56,52.05,28.70
2024-02-09 13:29:28,1707485366,17.44,12.35,59.31,32.57
2024-02-09 13:29:30,1707485368,8.12,12.58,0.00,0.00
2024-02-09 13:29:32,1707485370,1,12.60,1.40,1.93
2024-02-09 13:29:34,1707485372,1,12.62,32.08,67.95
2024-02-09 13:29:36,1707485374,40.49,12.77,116.87,282.25
2024-02-09 13:29:38,1707485376,28.93,12.78,170.40,435.37
2024-02-09 13:29:40,1707485378,46.8,12.96,143.65,436.26
2024-02-09 13:29:42,1707485380,22.11,13.02,144.36,438.76
2024-02-09 13:29:44,1707485382,16.33,13.01,145.06,441.87
2024-02-09 13:29:46,1707485384,18.81,12.99,141.42,431.42
2024-02-09 13:29:48,1707485386,16.75,12.97,151.89,458.07
2024-02-09 13:29:50,1707485388,14.06,12.96,152.79,461.95
2024-02-09 13:29:52,1707485390,22.82,12.94,158.79,481.55
2024-02-09 13:29:54,1707485392,21.94,12.29,159.15,484.97
2024-02-09 13:29:56,1707485394,18.88,12.27,160.81,492.47
2024-02-09 13:29:58,1707485396,16.75,11.61,167.46,510.52
2024-02-09 13:30:00,1707485398,17.5,11.59,174.27,528.28
2024-02-09 13:30:02,1707485400,14.8,11.57,180.30,546.36
2024-02-09 13:30:04,1707485402,12.12,11.54,173.00,528.28
2024-02-09 13:30:06,1707485404,16.5,11.52,175.21,537.37
2024-02-09 13:30:08,1707485406,11.34,11.50,176.32,539.52
2024-02-09 13:30:10,1707485408,13,11.49,176.66,537.88
2024-02-09 13:30:12,1707485410,30.1,11.60,175.91,537.39
2024-02-09 13:30:14,1707485412,10.77,11.58,190.40,579.37
2024-02-09 13:30:16,1707485414,13,11.56,192.69,586.13
2024-02-09 13:30:18,1707485416,13.93,11.54,194.33,593.04
2024-02-09 13:30:20,1707485418,12.94,11.52,195.91,598.72
2024-02-09 13:30:22,1707485420,13.37,11.51,194.27,594.47
2024-02-09 13:30:25,1707485422,10.2,11.50,195.98,599.57
2024-02-09 13:30:27,1707485425,11.11,11.54,197.44,603.52
2024-02-09 13:30:29,1707485427,11.11,11.54,195.54,598.42
2024-02-09 13:30:31,1707485429,8.25,11.52,196.80,602.36
2024-02-09 13:30:33,1707485431,11.44,11.52,197.19,602.88
2024-02-09 13:30:35,1707485433,11.06,11.51,191.50,586.86
2024-02-09 13:30:37,1707485435,11.44,11.51,187.63,576.28
2024-02-09 13:30:39,1707485437,11.22,11.56,188.97,580.39
2024-02-09 13:30:41,1707485439,11.56,11.56,193.64,591.32
2024-02-09 13:30:43,1707485441,11,11.56,188.64,577.06
2024-02-09 13:30:45,1707485443,15.5,11.58,184.58,565.17
2024-02-09 13:30:47,1707485445,12.87,11.57,182.25,558.99
2024-02-09 13:30:49,1707485447,10.31,11.57,181.46,550.40
2024-02-09 13:30:51,1707485449,14.14,11.58,176.97,540.33
2024-02-09 13:30:53,1707485451,13,11.57,179.56,548.94
2024-02-09 13:30:55,1707485453,14.22,11.56,178.77,546.28
2024-02-09 13:30:57,1707485455,15.35,11.56,182.88,558.82
2024-02-09 13:30:59,1707485457,13,11.56,177.50,543.45
2024-02-09 13:31:01,1707485459,11.56,11.56,182.72,560.07
2024-02-09 13:31:03,1707485461,11.22,11.56,182.88,558.83
2024-02-09 13:31:05,1707485463,13.43,11.58,183.46,560.16
2024-02-09 13:31:07,1707485465,12.56,11.57,180.98,554.35
2024-02-09 13:31:09,1707485467,12.63,11.57,177.35,544.17
2024-02-09 13:31:11,1707485469,13,11.56,173.71,533.13
2024-02-09 13:31:13,1707485471,12.94,11.56,175.61,537.33
2024-02-09 13:31:15,1707485473,15.69,11.56,175.67,537.01
2024-02-09 13:31:17,1707485475,9.95,11.61,169.67,522.35
2024-02-09 13:31:19,1707485477,12.56,11.61,172.12,527.45
2024-02-09 13:31:21,1707485479,15.61,11.61,172.12,525.84
2024-02-09 13:31:23,1707485481,15.42,11.63,177.12,538.79
2024-02-09 13:31:25,1707485483,12.63,11.62,177.09,541.06
2024-02-09 13:31:27,1707485485,11.4,11.61,165.56,508.61
