Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 14:22:25,1707488543,29.76,10.27,216.35,243.12
2024-02-09 14:22:27,1707488545,24.29,10.31,231.30,265.27
2024-02-09 14:22:29,1707488547,9,10.55,36.68,20.15
2024-02-09 14:22:31,1707488549,8.08,11.00,44.44,24.40
2024-02-09 14:22:34,1707488551,12.56,11.63,47.47,26.38
2024-02-09 14:22:36,1707488554,8.67,12.08,51.69,28.37
2024-02-09 14:22:38,1707488556,13.43,12.68,61.89,34.09
2024-02-09 14:22:40,1707488558,2.01,12.98,2.10,2.52
2024-02-09 14:22:42,1707488560,0,13.02,0.00,0.00
2024-02-09 14:22:44,1707488562,22.61,13.07,61.74,135.75
2024-02-09 14:22:46,1707488564,18.46,13.06,112.10,299.81
2024-02-09 14:22:48,1707488566,41.12,13.22,170.83,473.56
2024-02-09 14:22:50,1707488568,23.98,13.22,147.11,463.57
2024-02-09 14:22:52,1707488570,11.94,13.27,141.34,451.09
2024-02-09 14:22:54,1707488572,11.62,13.27,141.26,450.56
2024-02-09 14:22:56,1707488574,13.3,13.28,141.20,449.59
2024-02-09 14:22:58,1707488576,12.56,13.28,130.36,417.65
2024-02-09 14:23:00,1707488578,18.27,13.28,126.56,406.40
2024-02-09 14:23:02,1707488580,18.72,13.26,127.51,408.15
2024-02-09 14:23:04,1707488582,16.16,12.60,125.77,402.39
2024-02-09 14:23:06,1707488584,15.15,12.58,122.28,392.63
2024-02-09 14:23:08,1707488586,18.18,11.92,119.36,383.07
2024-02-09 14:23:10,1707488588,11.22,11.91,119.19,381.15
2024-02-09 14:23:12,1707488590,11.79,11.89,116.99,374.18
2024-02-09 14:23:14,1707488592,13.93,11.87,115.39,369.14
2024-02-09 14:23:16,1707488594,15.23,11.85,114.86,367.24
2024-02-09 14:23:18,1707488596,14,11.83,115.80,370.21
2024-02-09 14:23:20,1707488598,14.85,11.81,118.49,378.15
2024-02-09 14:23:22,1707488600,14.85,11.80,120.31,383.27
2024-02-09 14:23:24,1707488602,13.02,11.78,119.76,382.39
