Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 14:43:05,1707489783,90.86,9.32,226.32,328.12
2024-02-09 14:43:07,1707489785,19.61,10.06,215.63,238.96
2024-02-09 14:43:09,1707489787,35.47,10.38,73.79,72.41
2024-02-09 14:43:11,1707489789,11.76,10.65,42.73,23.36
2024-02-09 14:43:14,1707489791,17.26,11.36,47.16,25.91
2024-02-09 14:43:16,1707489794,12.06,11.83,50.55,28.11
2024-02-09 14:43:18,1707489796,11.56,12.33,63.15,34.94
2024-02-09 14:43:20,1707489798,14.43,12.91,0.19,0.10
2024-02-09 14:43:22,1707489800,0.99,12.93,0.00,0.00
2024-02-09 14:43:24,1707489802,0,12.94,25.74,53.69
2024-02-09 14:43:26,1707489804,15.42,12.96,69.78,157.38
2024-02-09 14:43:28,1707489806,22.11,12.98,111.36,273.65
2024-02-09 14:43:30,1707489808,22.44,13.21,76.48,262.36
2024-02-09 14:43:32,1707489810,25.91,13.33,76.65,264.45
2024-02-09 14:43:34,1707489812,38.5,13.33,78.79,271.51
2024-02-09 14:43:36,1707489814,7.81,13.33,80.21,275.65
2024-02-09 14:43:38,1707489816,8.81,13.37,77.84,269.33
2024-02-09 14:43:40,1707489818,11.79,13.36,80.05,276.58
2024-02-09 14:43:42,1707489820,10.31,13.35,81.86,281.29
2024-02-09 14:43:44,1707489822,14.14,12.70,81.95,283.06
2024-02-09 14:43:46,1707489824,14.5,12.69,83.21,289.14
2024-02-09 14:43:48,1707489826,15.27,12.04,84.56,291.83
2024-02-09 14:43:50,1707489828,12.44,11.72,85.44,291.70
2024-02-09 14:43:52,1707489830,9.23,11.71,83.85,290.99
2024-02-09 14:43:54,1707489832,10.55,11.71,85.22,293.57
2024-02-09 14:43:56,1707489834,8.72,11.71,82.74,287.55
2024-02-09 14:43:58,1707489836,8.63,11.69,81.00,282.28
2024-02-09 14:44:00,1707489838,14.21,11.68,82.42,285.86
2024-02-09 14:44:02,1707489840,26.77,11.70,81.16,281.28
2024-02-09 14:44:04,1707489842,11,11.69,81.63,282.92
2024-02-09 14:44:06,1707489844,8.72,11.67,80.37,278.92
2024-02-09 14:44:08,1707489846,9.69,11.66,80.53,279.47
2024-02-09 14:44:10,1707489848,11,11.65,80.51,279.78
2024-02-09 14:44:12,1707489850,10.05,11.63,83.45,288.29
2024-02-09 14:44:14,1707489852,9.64,11.61,82.74,285.68
2024-02-09 14:44:16,1707489854,11.5,11.65,80.68,280.61
2024-02-09 14:44:18,1707489856,7.77,11.64,84.71,292.73
2024-02-09 14:44:20,1707489858,10.95,11.64,86.05,294.84
2024-02-09 14:44:22,1707489860,10.29,11.64,85.48,295.91
2024-02-09 14:44:24,1707489862,11.5,11.68,88.74,306.14
2024-02-09 14:44:26,1707489864,6.7,11.67,85.90,297.71
2024-02-09 14:44:28,1707489866,9.09,11.66,89.07,308.77
2024-02-09 14:44:30,1707489868,10.15,11.65,88.75,306.14
2024-02-09 14:44:32,1707489870,8.16,11.66,87.49,304.09
2024-02-09 14:44:34,1707489872,10.55,11.65,91.18,311.69
2024-02-09 14:44:36,1707489874,10.78,11.68,85.27,296.75
2024-02-09 14:44:39,1707489877,10,11.67,85.27,297.41
2024-02-09 14:44:41,1707489879,7.65,11.67,82.90,288.20
2024-02-09 14:44:43,1707489881,10.34,11.66,82.74,287.99
2024-02-09 14:44:45,1707489883,11.5,11.66,81.63,284.29
2024-02-09 14:44:47,1707489885,11.44,11.65,81.32,282.42
2024-02-09 14:44:49,1707489887,9.18,11.66,83.85,289.85
2024-02-09 14:44:51,1707489889,10.05,11.67,86.06,294.13
2024-02-09 14:44:53,1707489891,8.5,11.67,87.01,300.51
2024-02-09 14:44:55,1707489893,10.05,11.72,86.54,299.06
2024-02-09 14:44:57,1707489895,9.9,11.72,85.75,297.48
2024-02-09 14:44:59,1707489897,10,11.72,85.27,296.29
2024-02-09 14:45:01,1707489899,12.56,11.72,83.53,289.39
2024-02-09 14:45:03,1707489901,9.18,11.71,81.14,282.59
2024-02-09 14:45:05,1707489903,10.05,11.70,81.95,284.91
2024-02-09 14:45:07,1707489905,10.2,11.72,82.01,284.27
2024-02-09 14:45:09,1707489907,8.25,11.72,80.57,278.88
2024-02-09 14:45:11,1707489909,7.61,11.90,80.37,278.65
2024-02-09 14:45:13,1707489911,7.69,11.88,78.73,272.88
2024-02-09 14:45:15,1707489913,9.55,11.88,78.22,272.29
2024-02-09 14:45:17,1707489915,9.6,11.92,78.15,271.11
2024-02-09 14:45:19,1707489917,12.32,11.91,77.20,268.78
2024-02-09 14:45:21,1707489919,10.5,11.60,76.89,267.30
2024-02-09 14:45:23,1707489921,7.65,11.59,76.57,265.88
2024-02-09 14:45:25,1707489923,12.68,11.59,74.20,258.49
2024-02-09 14:45:27,1707489925,7.25,11.59,73.41,256.65
2024-02-09 14:45:29,1707489927,9.55,11.59,73.25,255.01
