Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 15:20:11,1707492009,20.71,10.67,255.98,287.22
2024-02-09 15:20:13,1707492011,22.84,11.04,27.07,15.07
2024-02-09 15:20:15,1707492013,9.5,11.30,43.27,23.82
2024-02-09 15:20:17,1707492015,10.95,11.64,47.50,26.17
2024-02-09 15:20:19,1707492017,11.82,12.06,52.72,28.96
2024-02-09 15:20:21,1707492019,11.5,12.52,56.66,31.31
2024-02-09 15:20:23,1707492021,17.09,13.12,0.56,0.41
2024-02-09 15:20:25,1707492023,0,13.13,0.00,0.00
2024-02-09 15:20:27,1707492025,0.51,13.14,13.97,24.33
2024-02-09 15:20:29,1707492027,15.5,13.41,44.97,91.33
2024-02-09 15:20:31,1707492029,17.33,13.41,72.94,157.14
2024-02-09 15:20:33,1707492031,14.65,13.40,38.21,132.01
2024-02-09 15:20:35,1707492033,18.45,13.60,38.92,134.54
2024-02-09 15:20:37,1707492035,12.63,13.59,39.39,136.39
2024-02-09 15:20:39,1707492037,14.36,13.59,40.26,139.12
2024-02-09 15:20:41,1707492039,30.35,13.61,41.13,142.12
2024-02-09 15:20:43,1707492041,11.39,13.61,41.53,143.56
2024-02-09 15:20:45,1707492043,13.43,13.60,42.64,147.44
2024-02-09 15:20:47,1707492045,23,13.28,43.82,151.83
2024-02-09 15:20:49,1707492047,11.11,12.94,44.85,155.46
2024-02-09 15:20:51,1707492049,15.58,12.29,44.62,150.59
2024-02-09 15:20:53,1707492051,10.89,11.96,44.14,152.93
2024-02-09 15:20:55,1707492053,9,11.95,44.38,153.88
2024-02-09 15:20:57,1707492055,8.08,11.94,43.74,151.94
2024-02-09 15:20:59,1707492057,4.64,11.93,43.66,151.35
2024-02-09 15:21:01,1707492059,11.71,11.92,40.97,142.03
2024-02-09 15:21:03,1707492061,6.67,11.91,40.50,140.44
2024-02-09 15:21:05,1707492063,26.37,12.00,39.55,137.29
2024-02-09 15:21:07,1707492065,9.41,11.68,40.50,140.46
2024-02-09 15:21:09,1707492067,6.67,11.69,40.42,140.18
2024-02-09 15:21:11,1707492069,9.41,11.69,40.42,139.99
2024-02-09 15:21:13,1707492071,6.63,11.69,40.50,140.46
2024-02-09 15:21:16,1707492073,6.12,11.69,40.74,141.54
2024-02-09 15:21:18,1707492076,6.67,11.69,40.97,143.07
2024-02-09 15:21:20,1707492078,7.11,11.69,42.40,147.04
2024-02-09 15:21:22,1707492080,7.04,11.69,41.84,145.12
2024-02-09 15:21:24,1707492082,9.31,11.69,40.82,141.60
2024-02-09 15:21:26,1707492084,7.58,11.69,40.18,139.35
2024-02-09 15:21:28,1707492086,9.85,11.69,41.61,144.16
2024-02-09 15:21:30,1707492088,7.96,11.69,40.26,139.63
2024-02-09 15:21:32,1707492090,7.11,11.69,39.23,136.06
2024-02-09 15:21:34,1707492092,6.09,11.69,39.71,137.71
2024-02-09 15:21:36,1707492094,10.29,11.70,39.31,136.34
2024-02-09 15:21:38,1707492096,8.91,11.70,38.52,133.73
2024-02-09 15:21:40,1707492098,20.1,11.69,39.16,135.79
2024-02-09 15:21:42,1707492100,8.42,11.70,39.23,136.07
2024-02-09 15:21:44,1707492102,9.41,11.69,40.66,140.42
2024-02-09 15:21:46,1707492104,7.92,11.69,40.58,140.73
2024-02-09 15:21:48,1707492106,11.27,11.69,41.37,143.08
2024-02-09 15:21:50,1707492108,9.36,11.70,42.81,144.23
2024-02-09 15:21:52,1707492110,8.37,11.70,41.84,145.53
2024-02-09 15:21:54,1707492112,7.5,11.70,40.34,139.91
2024-02-09 15:21:56,1707492114,7.96,11.70,40.34,139.91
2024-02-09 15:21:58,1707492116,9.76,11.70,40.50,140.45
2024-02-09 15:22:00,1707492118,5.13,11.70,39.63,137.44
2024-02-09 15:22:02,1707492120,10.34,11.70,40.03,138.17
2024-02-09 15:22:04,1707492122,8.42,11.70,38.76,134.42
2024-02-09 15:22:06,1707492124,5.1,11.71,37.73,131.27
2024-02-09 15:22:08,1707492126,8.96,11.71,37.89,131.47
2024-02-09 15:22:10,1707492128,7.61,11.70,37.73,130.85
2024-02-09 15:22:12,1707492130,8.46,11.75,36.78,127.56
2024-02-09 15:22:14,1707492132,11.94,11.74,36.43,123.62
2024-02-09 15:22:16,1707492134,5.7,11.73,34.73,120.49
2024-02-09 15:22:18,1707492136,8.54,11.73,34.25,118.78
2024-02-09 15:22:20,1707492138,8.46,11.73,34.88,120.98
2024-02-09 15:22:22,1707492140,10.84,11.93,34.83,120.41
2024-02-09 15:22:24,1707492142,7.54,11.93,34.33,119.06
2024-02-09 15:22:26,1707492144,6.63,11.93,34.96,121.06
2024-02-09 15:22:28,1707492146,9.55,11.93,35.20,122.07
2024-02-09 15:22:30,1707492148,8.04,11.93,37.65,130.63
2024-02-09 15:22:32,1707492150,6.63,12.07,38.76,134.40
2024-02-09 15:22:34,1707492152,6.06,12.06,39.08,135.50
2024-02-09 15:22:36,1707492154,6.57,12.05,39.79,137.97
2024-02-09 15:22:39,1707492156,7.04,12.04,38.68,134.12
2024-02-09 15:22:41,1707492159,8,12.03,39.16,135.64
2024-02-09 15:22:43,1707492161,8.08,12.02,38.60,133.85
2024-02-09 15:22:45,1707492163,7.11,12.01,37.89,131.38
2024-02-09 15:22:47,1707492165,6.53,12.00,37.81,131.11
2024-02-09 15:22:49,1707492167,6.5,11.99,37.26,129.19
2024-02-09 15:22:51,1707492169,8.04,11.98,37.74,126.72
2024-02-09 15:22:53,1707492171,10.73,11.97,38.36,133.03
2024-02-09 15:22:55,1707492173,7.04,11.96,38.05,131.94
2024-02-09 15:22:57,1707492175,7.04,11.95,36.94,129.57
2024-02-09 15:22:59,1707492177,6.57,11.94,37.26,129.19
2024-02-09 15:23:01,1707492179,5.67,11.93,36.47,126.45
2024-02-09 15:23:03,1707492181,8.96,12.05,39.39,136.60
2024-02-09 15:23:05,1707492183,5.13,12.04,39.95,138.52
2024-02-09 15:23:07,1707492185,6.5,11.74,41.76,142.47
2024-02-09 15:23:09,1707492187,8.46,11.75,39.71,137.69
2024-02-09 15:23:11,1707492189,7.65,11.74,39.87,138.24
2024-02-09 15:23:13,1707492191,8,11.74,39.16,135.77
2024-02-09 15:23:15,1707492193,8.46,11.74,38.52,134.42
2024-02-09 15:23:17,1707492195,5.64,11.74,37.57,130.29
2024-02-09 15:23:19,1707492197,8.46,11.75,36.39,126.17
2024-02-09 15:23:21,1707492199,7.58,11.74,37.20,128.75
2024-02-09 15:23:23,1707492201,5.13,11.74,38.76,134.40
2024-02-09 15:23:25,1707492203,10.24,11.75,38.76,134.40
2024-02-09 15:23:27,1707492205,6.03,11.75,38.60,133.85
2024-02-09 15:23:29,1707492207,4.64,11.76,38.84,134.68
2024-02-09 15:23:31,1707492209,9.71,11.75,39.08,135.25
2024-02-09 15:23:33,1707492211,6.06,11.75,39.71,137.70
2024-02-09 15:23:35,1707492213,6.09,11.75,40.26,139.61
2024-02-09 15:23:37,1707492215,8.37,11.75,41.69,144.55
2024-02-09 15:23:39,1707492217,7.61,11.74,41.84,144.84
2024-02-09 15:23:41,1707492219,5.58,11.75,42.32,146.75
2024-02-09 15:23:43,1707492221,8.42,11.75,42.24,146.47
2024-02-09 15:23:45,1707492223,6.5,11.75,44.38,154.01
2024-02-09 15:23:47,1707492225,5.05,11.75,44.85,156.00
2024-02-09 15:23:49,1707492227,6.47,11.75,44.85,156.08
2024-02-09 15:23:51,1707492229,5.1,11.75,44.86,151.75
2024-02-09 15:23:53,1707492231,6.53,11.75,44.06,153.19
2024-02-09 15:23:55,1707492233,6,11.75,44.93,156.22
2024-02-09 15:23:57,1707492235,3.57,11.75,43.74,152.23
2024-02-09 15:23:59,1707492237,3.57,11.74,45.01,155.79
2024-02-09 15:24:01,1707492239,7.04,11.75,41.45,143.93
2024-02-09 15:24:04,1707492241,6.06,11.75,40.34,140.40
2024-02-09 15:24:06,1707492244,6.09,11.75,40.03,139.30
2024-02-09 15:24:08,1707492246,10.78,11.75,39.31,136.83
2024-02-09 15:24:10,1707492248,5.58,11.75,40.58,141.23
2024-02-09 15:24:12,1707492250,8.82,11.75,40.18,139.85
2024-02-09 15:24:14,1707492252,7.04,11.75,40.50,141.02
2024-02-09 15:24:16,1707492254,5.58,11.75,39.95,139.03
2024-02-09 15:24:18,1707492256,9.41,11.75,41.29,143.71
2024-02-09 15:24:20,1707492258,4.17,11.76,41.84,145.63
2024-02-09 15:24:22,1707492260,6.15,11.75,42.64,148.19
2024-02-09 15:24:24,1707492262,6,11.75,40.34,140.40
2024-02-09 15:24:26,1707492264,6.06,11.75,41.05,142.49
2024-02-09 15:24:28,1707492266,6.53,11.75,40.90,142.33
2024-02-09 15:24:30,1707492268,3.61,11.75,42.01,145.82
2024-02-09 15:24:32,1707492270,6.53,11.75,41.69,144.76
2024-02-09 15:24:34,1707492272,5.53,11.75,39.95,139.03
2024-02-09 15:24:36,1707492274,8.46,11.76,40.03,139.30
2024-02-09 15:24:38,1707492276,6.53,11.75,39.16,136.27
2024-02-09 15:24:40,1707492278,6.97,11.75,38.60,134.35
2024-02-09 15:24:42,1707492280,6.06,11.75,39.23,136.55
2024-02-09 15:24:44,1707492282,6.53,11.75,39.95,138.90
2024-02-09 15:24:46,1707492284,7.43,11.75,40.58,141.23
2024-02-09 15:24:48,1707492286,7.14,11.76,40.34,140.40
2024-02-09 15:24:50,1707492288,8,11.76,41.62,140.67
2024-02-09 15:24:52,1707492290,7.5,11.76,41.69,145.08
2024-02-09 15:24:54,1707492292,6.47,11.76,42.00,146.18
2024-02-09 15:24:56,1707492294,7,11.76,40.34,140.40
2024-02-09 15:24:58,1707492296,6.53,11.76,40.34,140.40
2024-02-09 15:25:00,1707492298,6.5,11.76,40.50,140.95
2024-02-09 15:25:02,1707492300,6.06,11.75,40.26,140.13
2024-02-09 15:25:04,1707492302,7,11.77,41.69,145.08
2024-02-09 15:25:06,1707492304,6.97,11.76,39.39,137.10
2024-02-09 15:25:08,1707492306,5.58,11.76,38.84,135.17
2024-02-09 15:25:10,1707492308,7.54,11.76,37.42,130.22
2024-02-09 15:25:12,1707492310,7.54,11.76,38.68,134.62
2024-02-09 15:25:14,1707492312,6.53,11.76,36.78,128.01
2024-02-09 15:25:16,1707492314,7,11.76,36.86,128.29
2024-02-09 15:25:18,1707492316,10.05,11.76,34.73,120.86
2024-02-09 15:25:20,1707492318,6.09,11.75,34.25,119.20
2024-02-09 15:25:22,1707492320,9.76,11.76,34.36,119.31
2024-02-09 15:25:24,1707492322,6.06,11.76,35.52,123.61
2024-02-09 15:25:26,1707492324,6.6,11.75,34.33,119.48
2024-02-09 15:25:28,1707492326,7.46,11.76,34.17,118.93
2024-02-09 15:25:31,1707492328,7.04,11.76,34.09,118.65
2024-02-09 15:25:33,1707492331,8.5,11.76,35.60,124.44
2024-02-09 15:25:35,1707492333,8,11.76,37.65,131.03
2024-02-09 15:25:37,1707492335,5.1,11.76,39.08,135.98
2024-02-09 15:25:39,1707492337,7.88,11.75,39.95,138.62
2024-02-09 15:25:41,1707492339,7,11.76,39.79,138.46
2024-02-09 15:25:43,1707492341,5.61,11.75,38.60,134.33
2024-02-09 15:25:45,1707492343,8.37,11.76,39.16,136.26
2024-02-09 15:25:47,1707492345,5.1,11.77,38.60,134.33
2024-02-09 15:25:49,1707492347,6.57,11.76,40.03,139.16
2024-02-09 15:25:51,1707492349,6.06,11.77,40.35,136.25
2024-02-09 15:25:53,1707492351,5.1,11.77,36.47,127.02
2024-02-09 15:25:55,1707492353,7.46,11.77,36.47,126.90
2024-02-09 15:25:57,1707492355,6.53,11.77,38.36,133.50
2024-02-09 15:25:59,1707492357,6.5,11.77,38.21,132.96
2024-02-09 15:26:01,1707492359,8.37,11.77,37.26,129.65
2024-02-09 15:26:03,1707492361,7.5,11.77,37.02,128.19
2024-02-09 15:26:05,1707492363,6.03,11.77,39.16,136.06
2024-02-09 15:26:07,1707492365,7.5,11.77,39.08,135.98
2024-02-09 15:26:09,1707492367,5.61,11.77,39.95,139.01
2024-02-09 15:26:11,1707492369,6.53,11.77,39.87,138.73
2024-02-09 15:26:13,1707492371,7,11.77,39.87,138.73
2024-02-09 15:26:15,1707492373,6.09,11.77,39.16,136.26
2024-02-09 15:26:17,1707492375,8.5,11.77,39.71,136.16
2024-02-09 15:26:19,1707492377,8.87,11.77,38.76,134.88
