Time,Unix Time,CPU Utilization (%),RAM Utilization (%),rxKBs,txKBs
2024-02-09 16:18:11,1707495489,27.5,10.40,156.53,233.76
2024-02-09 16:18:13,1707495491,5.5,10.63,39.39,21.71
2024-02-09 16:18:15,1707495493,8.54,11.08,45.92,25.39
2024-02-09 16:18:17,1707495495,13.64,11.78,48.90,26.97
2024-02-09 16:18:19,1707495497,13.78,12.24,52.92,29.16
2024-02-09 16:18:21,1707495499,11.73,12.75,65.29,36.19
2024-02-09 16:18:23,1707495501,0,13.07,0.10,0.10
2024-02-09 16:18:25,1707495503,0,13.08,0.60,0.32
2024-02-09 16:18:27,1707495505,6.44,13.10,13.61,11.43
2024-02-09 16:18:29,1707495507,13.11,13.11,4.66,4.94
2024-02-09 16:18:31,1707495509,14.36,13.10,0.00,0.00
2024-02-09 16:18:33,1707495511,2.02,13.10,0.00,0.00
2024-02-09 16:18:35,1707495513,4.41,13.16,5.71,4.32
2024-02-09 16:18:37,1707495515,8.96,13.25,21.98,20.43
2024-02-09 16:18:39,1707495517,8.25,13.26,6.66,7.05
2024-02-09 16:18:41,1707495519,5.94,13.26,0.00,0.00
2024-02-09 16:18:43,1707495521,7.04,13.26,0.00,0.00
2024-02-09 16:18:45,1707495523,6.03,13.26,13.55,13.25
2024-02-09 16:18:47,1707495525,6.6,12.61,20.72,21.56
2024-02-09 16:18:49,1707495527,10.15,12.65,14.28,16.30
2024-02-09 16:18:51,1707495529,7.14,12.00,1.28,0.27
2024-02-09 16:18:53,1707495531,2.01,11.99,0.00,0.00
2024-02-09 16:18:55,1707495533,5.85,11.99,15.17,15.10
2024-02-09 16:18:57,1707495535,3.52,11.98,20.60,21.63
2024-02-09 16:18:59,1707495537,2.56,11.98,13.71,15.91
2024-02-09 16:19:01,1707495539,4.02,11.97,0.00,0.00
2024-02-09 16:19:03,1707495541,3,11.96,0.00,0.00
2024-02-09 16:19:05,1707495543,4,11.96,15.66,15.60
2024-02-09 16:19:07,1707495545,4.04,11.95,22.32,24.81
2024-02-09 16:19:09,1707495547,5.5,11.94,13.21,15.40
2024-02-09 16:19:11,1707495549,4.02,11.94,0.00,0.00
2024-02-09 16:19:13,1707495551,1.53,11.93,0.00,0.00
2024-02-09 16:19:16,1707495554,4.48,11.93,15.88,15.88
2024-02-09 16:19:18,1707495556,3.54,11.92,33.25,37.52
2024-02-09 16:19:20,1707495558,5.5,11.91,14.06,16.52
2024-02-09 16:19:22,1707495560,5.45,11.91,0.05,0.00
2024-02-09 16:19:24,1707495562,4.46,11.90,0.00,0.00
2024-02-09 16:19:26,1707495564,3.52,11.89,16.81,16.94
2024-02-09 16:19:28,1707495566,4.06,11.89,32.12,35.92
2024-02-09 16:19:30,1707495568,5.97,11.88,14.88,17.23
2024-02-09 16:19:32,1707495570,6.4,11.87,0.00,0.00
2024-02-09 16:19:34,1707495572,3.54,11.87,0.00,0.00
2024-02-09 16:19:36,1707495574,6.34,11.86,17.03,17.08
2024-02-09 16:19:38,1707495576,5.5,11.86,30.62,34.55
2024-02-09 16:19:40,1707495578,4.08,11.85,20.28,27.38
2024-02-09 16:19:42,1707495580,5.45,11.84,0.00,0.00
2024-02-09 16:19:44,1707495582,3.06,11.84,0.00,0.00
2024-02-09 16:19:46,1707495584,3.54,11.83,24.17,24.90
2024-02-09 16:19:48,1707495586,6,11.82,20.21,24.05
2024-02-09 16:19:50,1707495588,6.03,11.82,25.20,31.65
2024-02-09 16:19:52,1707495590,3.55,11.81,1.28,0.27
2024-02-09 16:19:54,1707495592,6.6,11.85,0.00,0.00
2024-02-09 16:19:56,1707495594,5,11.85,22.76,23.93
2024-02-09 16:19:58,1707495596,5.03,11.84,31.70,36.97
2024-02-09 16:20:00,1707495598,5.94,11.84,24.07,30.39
2024-02-09 16:20:02,1707495600,3.06,11.83,0.00,0.00
2024-02-09 16:20:04,1707495602,4.52,11.69,0.00,0.00
2024-02-09 16:20:06,1707495604,4.64,11.70,18.93,21.38
2024-02-09 16:20:08,1707495606,4.08,11.69,40.19,44.31
2024-02-09 16:20:10,1707495608,8.54,11.68,20.68,26.51
2024-02-09 16:20:12,1707495610,4,11.68,0.00,0.00
2024-02-09 16:20:14,1707495612,5.5,11.77,0.00,0.00
2024-02-09 16:20:16,1707495614,6.47,11.76,11.63,12.79
2024-02-09 16:20:18,1707495616,7.46,11.76,40.78,45.16
2024-02-09 16:20:20,1707495618,8.74,11.75,13.66,18.75
2024-02-09 16:20:22,1707495620,4.95,11.75,0.00,0.00
2024-02-09 16:20:24,1707495622,4.48,11.74,0.00,0.00
2024-02-09 16:20:26,1707495624,6.06,11.73,10.73,12.14
2024-02-09 16:20:28,1707495626,3.59,11.73,41.69,46.80
2024-02-09 16:20:30,1707495628,2.58,11.72,14.02,18.53
2024-02-09 16:20:32,1707495630,3.05,11.72,0.00,0.00
2024-02-09 16:20:34,1707495632,2.54,11.71,0.00,0.00
2024-02-09 16:20:36,1707495634,5.94,11.70,11.64,12.92
2024-02-09 16:20:38,1707495636,6.47,11.70,38.63,43.36
2024-02-09 16:20:40,1707495638,5.91,11.69,13.29,17.52
2024-02-09 16:20:43,1707495640,4,11.68,0.00,0.00
2024-02-09 16:20:45,1707495643,4.57,11.88,0.00,0.00
2024-02-09 16:20:47,1707495645,5.03,11.87,12.00,13.09
2024-02-09 16:20:49,1707495647,6.47,11.87,27.49,29.87
2024-02-09 16:20:51,1707495649,6.37,11.86,12.07,16.39
2024-02-09 16:20:53,1707495651,3.02,11.86,1.28,0.27
2024-02-09 16:20:55,1707495653,1.02,11.86,0.00,0.00
2024-02-09 16:20:57,1707495655,4.52,11.86,12.27,12.98
2024-02-09 16:20:59,1707495657,3.08,11.86,28.04,30.23
2024-02-09 16:21:01,1707495659,3.52,11.85,11.05,15.37
2024-02-09 16:21:03,1707495661,4.46,11.85,0.00,0.00
2024-02-09 16:21:05,1707495663,2.53,11.84,0.00,0.00
2024-02-09 16:21:07,1707495665,5.45,11.84,13.21,14.34
2024-02-09 16:21:09,1707495667,7,11.83,26.98,28.68
2024-02-09 16:21:11,1707495669,4.5,11.83,0.00,0.00
2024-02-09 16:21:13,1707495671,5.94,11.87,0.00,0.00
2024-02-09 16:21:15,1707495673,3.52,11.87,2.31,2.66
2024-02-09 16:21:17,1707495675,5.47,11.89,18.34,19.24
2024-02-09 16:21:19,1707495677,5,11.88,26.79,28.19
2024-02-09 16:21:21,1707495679,3.06,11.88,0.00,0.00
2024-02-09 16:21:23,1707495681,2.53,11.88,0.11,0.11
2024-02-09 16:21:25,1707495683,3,11.87,3.91,3.35
2024-02-09 16:21:27,1707495685,5.45,11.86,19.15,20.06
2024-02-09 16:21:29,1707495687,4.04,11.86,7.39,8.30
2024-02-09 16:21:31,1707495689,5.47,11.85,0.00,0.00
2024-02-09 16:21:33,1707495691,1.02,11.85,0.00,0.00
2024-02-09 16:21:35,1707495693,3.96,11.85,8.74,7.18
2024-02-09 16:21:37,1707495695,3.52,11.85,19.49,20.84
2024-02-09 16:21:39,1707495697,4.98,11.84,8.55,9.74
2024-02-09 16:21:41,1707495699,5,11.84,0.00,0.00
2024-02-09 16:21:43,1707495701,4.46,11.83,1.52,2.11
2024-02-09 16:21:45,1707495703,2.03,11.83,15.33,14.30
2024-02-09 16:21:47,1707495705,4.04,11.83,20.14,21.62
2024-02-09 16:21:49,1707495707,5.53,11.82,13.32,15.59
2024-02-09 16:21:51,1707495709,2.55,11.83,1.28,0.27
2024-02-09 16:21:53,1707495711,3.5,11.83,0.00,0.00
2024-02-09 16:21:55,1707495713,2.51,11.83,15.97,15.08
2024-02-09 16:21:57,1707495715,4.95,11.82,20.60,20.75
2024-02-09 16:21:59,1707495717,5,11.82,13.05,15.37
2024-02-09 16:22:01,1707495719,6.83,11.82,0.00,0.00
2024-02-09 16:22:03,1707495721,1.52,11.82,0.00,0.00
2024-02-09 16:22:05,1707495723,2.02,11.81,16.11,15.30
2024-02-09 16:22:07,1707495725,4,11.82,24.98,25.38
2024-02-09 16:22:10,1707495727,7.46,11.82,12.92,15.46
2024-02-09 16:22:12,1707495730,6.06,11.91,0.00,0.00
2024-02-09 16:22:14,1707495732,2.53,11.91,2.25,2.57
2024-02-09 16:22:16,1707495734,3.09,11.92,16.33,15.43
2024-02-09 16:22:18,1707495736,2.55,11.92,33.21,35.47
2024-02-09 16:22:20,1707495738,4.06,11.92,14.12,16.49
2024-02-09 16:22:22,1707495740,5.91,11.91,0.00,0.00
2024-02-09 16:22:24,1707495742,5.39,11.90,0.00,0.00
2024-02-09 16:22:26,1707495744,4.98,11.90,18.92,17.84
2024-02-09 16:22:28,1707495746,3.55,11.90,32.47,34.67
2024-02-09 16:22:30,1707495748,4.57,11.89,14.42,16.93
2024-02-09 16:22:32,1707495750,4.04,11.89,0.00,0.00
2024-02-09 16:22:34,1707495752,5.45,11.88,0.00,0.00
2024-02-09 16:22:36,1707495754,2.04,11.87,18.96,18.73
2024-02-09 16:22:38,1707495756,5.05,11.87,31.89,34.08
2024-02-09 16:22:40,1707495758,4.06,11.86,25.03,31.80
2024-02-09 16:22:42,1707495760,2.54,11.86,0.00,0.00
2024-02-09 16:22:44,1707495762,4,11.85,0.00,0.00
2024-02-09 16:22:46,1707495764,4.48,11.84,25.17,25.29
2024-02-09 16:22:48,1707495766,5.03,11.84,23.31,27.25
2024-02-09 16:22:50,1707495768,2.56,11.83,24.57,30.94
2024-02-09 16:22:52,1707495770,3.52,11.84,1.28,0.27
2024-02-09 16:22:54,1707495772,5.45,11.83,0.00,0.00
2024-02-09 16:22:56,1707495774,4.5,11.83,21.57,21.94
2024-02-09 16:22:58,1707495776,4.08,11.83,39.13,43.13
2024-02-09 16:23:00,1707495778,5,11.82,24.50,30.37
2024-02-09 16:23:02,1707495780,4.52,11.82,0.00,0.00
2024-02-09 16:23:04,1707495782,3.03,11.81,0.00,0.00
2024-02-09 16:23:06,1707495784,4.1,11.82,17.36,19.06
2024-02-09 16:23:08,1707495786,5.94,11.82,39.90,44.54
2024-02-09 16:23:10,1707495788,5.47,11.82,16.35,21.03
2024-02-09 16:23:12,1707495790,2.54,11.82,0.00,0.00
2024-02-09 16:23:14,1707495792,4.48,11.82,2.06,2.46
2024-02-09 16:23:16,1707495794,5.5,11.82,11.17,12.53
2024-02-09 16:23:18,1707495796,5.47,11.82,41.19,46.02
2024-02-09 16:23:20,1707495798,3.08,11.81,14.04,18.09
2024-02-09 16:23:22,1707495800,4.48,11.81,0.00,0.00
2024-02-09 16:23:24,1707495802,4.95,11.81,0.00,0.00
2024-02-09 16:23:26,1707495804,4.06,11.80,10.79,12.14
2024-02-09 16:23:28,1707495806,5.47,11.81,41.55,43.98
2024-02-09 16:23:30,1707495808,4.06,11.82,13.83,17.75
2024-02-09 16:23:32,1707495810,2.54,11.81,0.00,0.00
2024-02-09 16:23:34,1707495812,4,11.81,0.00,0.00
2024-02-09 16:23:37,1707495814,6,11.80,11.38,12.53
2024-02-09 16:23:39,1707495817,4.57,11.80,34.94,35.89
2024-02-09 16:23:41,1707495819,4.04,11.79,12.70,16.58
2024-02-09 16:23:43,1707495821,2.51,11.79,0.00,0.00
2024-02-09 16:23:45,1707495823,4,11.78,0.00,0.00
2024-02-09 16:23:47,1707495825,4.52,11.78,12.06,13.09
2024-02-09 16:23:49,1707495827,6,11.79,29.32,31.84
2024-02-09 16:23:51,1707495829,5.53,11.80,11.89,15.69
2024-02-09 16:23:53,1707495831,2.53,11.80,1.28,0.27
2024-02-09 16:23:55,1707495833,2.54,11.79,0.00,0.00
2024-02-09 16:23:57,1707495835,4.95,11.79,12.58,13.54
2024-02-09 16:23:59,1707495837,5,11.80,29.57,32.01
2024-02-09 16:24:01,1707495839,3.54,11.81,7.01,7.92
2024-02-09 16:24:03,1707495841,1.52,11.80,0.00,0.00
2024-02-09 16:24:05,1707495843,1.52,11.80,0.00,0.00
2024-02-09 16:24:07,1707495845,4.5,11.80,15.78,15.50
2024-02-09 16:24:09,1707495847,6.97,11.80,25.42,26.21
2024-02-09 16:24:11,1707495849,4.5,11.80,0.00,0.00
2024-02-09 16:24:13,1707495851,1.52,11.79,0.00,0.00
2024-02-09 16:24:15,1707495853,2.02,11.79,3.66,4.01
2024-02-09 16:24:17,1707495855,5.03,11.82,20.76,21.58
2024-02-09 16:24:19,1707495857,5.5,11.83,15.74,16.09
2024-02-09 16:24:21,1707495859,5.03,11.83,0.00,0.00
