Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-11 15:57:42,1694447861,0.5,6.14
2023-09-11 15:57:43,1694447862,0,6.14
2023-09-11 15:57:44,1694447863,66.67,6.83
2023-09-11 15:57:45,1694447864,96,7.28
2023-09-11 15:57:46,1694447865,94.47,7.74
2023-09-11 15:57:48,1694447867,54.46,7.97
2023-09-11 15:57:49,1694447868,1,7.97
2023-09-11 15:57:50,1694447869,0,7.97
2023-09-11 15:57:51,1694447870,0,7.97
2023-09-11 15:57:52,1694447871,2.5,7.97
2023-09-11 15:57:53,1694447872,0.99,7.97
2023-09-11 15:57:54,1694447873,0,7.97
2023-09-11 15:57:55,1694447874,33.99,7.97
2023-09-11 15:57:56,1694447875,65.17,8.08
2023-09-11 15:57:57,1694447876,70.65,8.09
2023-09-11 15:57:58,1694447877,65.1,8.09
2023-09-11 15:57:59,1694447878,58.46,8.12
2023-09-11 15:58:00,1694447879,28.78,8.22
2023-09-11 15:58:01,1694447880,24.38,8.22
2023-09-11 15:58:02,1694447881,22.16,8.23
2023-09-11 15:58:03,1694447882,25.49,8.23
2023-09-11 15:58:04,1694447883,23.74,8.23
2023-09-11 15:58:05,1694447884,23.5,8.24
2023-09-11 15:58:06,1694447885,20.73,8.24
2023-09-11 15:58:07,1694447886,24.62,8.25
2023-09-11 15:58:08,1694447887,21.54,8.25
2023-09-11 15:58:09,1694447888,22.45,8.25
2023-09-11 15:58:10,1694447889,20.73,8.30
2023-09-11 15:58:11,1694447890,23.23,8.31
2023-09-11 15:58:12,1694447891,25,8.31
2023-09-11 15:58:13,1694447892,24.62,8.32
2023-09-11 15:58:14,1694447893,22,8.32
2023-09-11 15:58:15,1694447894,22.45,8.33
2023-09-11 15:58:16,1694447895,19.49,8.33
2023-09-11 15:58:17,1694447896,19.17,8.33
2023-09-11 15:58:18,1694447897,23.27,8.33
2023-09-11 15:58:19,1694447898,19.59,8.33
2023-09-11 15:58:20,1694447899,17.37,8.33
2023-09-11 15:58:21,1694447900,19.39,8.33
2023-09-11 15:58:22,1694447901,22.11,8.33
2023-09-11 15:58:23,1694447902,24.76,8.34
2023-09-11 15:58:24,1694447903,22.39,8.34
2023-09-11 15:58:25,1694447904,20.3,8.34
2023-09-11 15:58:26,1694447905,22.11,8.34
2023-09-11 15:58:27,1694447906,22.28,8.35
2023-09-11 15:58:28,1694447907,21.03,8.36
2023-09-11 15:58:29,1694447908,20,8.36
2023-09-11 15:58:30,1694447909,19.9,8.36
2023-09-11 15:58:31,1694447910,20.71,8.36
2023-09-11 15:58:32,1694447911,24.26,8.37
2023-09-11 15:58:33,1694447912,21.13,8.37
2023-09-11 15:58:34,1694447913,19.15,8.37
2023-09-11 15:58:35,1694447914,21.32,8.38
2023-09-11 15:58:36,1694447915,25.48,8.38
2023-09-11 15:58:37,1694447916,23,8.38
2023-09-11 15:58:38,1694447917,21.21,8.39
2023-09-11 15:58:39,1694447918,17.89,8.39
2023-09-11 15:58:40,1694447919,21.5,8.39
2023-09-11 15:58:41,1694447920,19.59,8.40
2023-09-11 15:58:42,1694447921,20.81,8.40
2023-09-11 15:58:43,1694447922,21.89,8.41
2023-09-11 15:58:44,1694447923,22.22,8.41
2023-09-11 15:58:45,1694447924,24.88,8.41
2023-09-11 15:58:46,1694447925,23,8.42
2023-09-11 15:58:47,1694447926,24.63,8.42
2023-09-11 15:58:48,1694447927,20.41,8.42
2023-09-11 15:58:49,1694447928,13.27,8.43
2023-09-11 15:58:50,1694447929,22.28,8.43
2023-09-11 15:58:51,1694447930,21.72,8.43
2023-09-11 15:58:52,1694447931,20.6,8.44
2023-09-11 15:58:53,1694447932,20.2,8.44
2023-09-11 15:58:54,1694447933,22.34,8.44
2023-09-11 15:58:55,1694447934,23.76,8.45
2023-09-11 15:58:56,1694447935,21.21,8.45
2023-09-11 15:58:57,1694447936,20,8.45
2023-09-11 15:58:58,1694447937,19.37,8.46
2023-09-11 15:58:59,1694447938,22.34,8.46
2023-09-11 15:59:00,1694447939,25.37,8.15
2023-09-11 15:59:01,1694447940,21.29,8.16
2023-09-11 15:59:02,1694447941,15.51,8.16
2023-09-11 15:59:04,1694447942,20.71,8.16
2023-09-11 15:59:05,1694447944,19.6,8.17
2023-09-11 15:59:06,1694447945,17.95,8.18
2023-09-11 15:59:07,1694447946,17.19,8.18
2023-09-11 15:59:08,1694447947,25.59,8.18
2023-09-11 15:59:09,1694447948,19.39,8.18
2023-09-11 15:59:10,1694447949,21.5,8.19
2023-09-11 15:59:11,1694447950,20.6,8.19
2023-09-11 15:59:12,1694447951,20.5,8.19
2023-09-11 15:59:13,1694447952,21.67,8.20
2023-09-11 15:59:14,1694447953,21.95,8.20
2023-09-11 15:59:15,1694447954,20,8.20
2023-09-11 15:59:16,1694447955,19.29,8.20
2023-09-11 15:59:17,1694447956,19.19,8.21
2023-09-11 15:59:18,1694447957,15.98,8.21
2023-09-11 15:59:19,1694447958,16.33,8.21
2023-09-11 15:59:20,1694447959,16.92,8.21
2023-09-11 15:59:21,1694447960,15.23,8.22
2023-09-11 15:59:22,1694447961,15.46,8.22
2023-09-11 15:59:23,1694447962,21.29,8.22
2023-09-11 15:59:24,1694447963,20.2,8.27
2023-09-11 15:59:25,1694447964,21.78,8.28
2023-09-11 15:59:26,1694447965,25.73,8.28
2023-09-11 15:59:27,1694447966,18.56,8.29
2023-09-11 15:59:28,1694447967,19.59,8.29
2023-09-11 15:59:29,1694447968,22,8.29
2023-09-11 15:59:30,1694447969,21.54,8.29
2023-09-11 15:59:31,1694447970,23.53,8.30
2023-09-11 15:59:32,1694447971,22.5,8.31
2023-09-11 15:59:33,1694447972,20.21,8.31
2023-09-11 15:59:34,1694447973,23.08,8.56
2023-09-11 15:59:35,1694447974,21.32,8.57
2023-09-11 15:59:36,1694447975,20.51,8.57
2023-09-11 15:59:37,1694447976,21.83,8.57
2023-09-11 15:59:38,1694447977,22.39,8.58
2023-09-11 15:59:39,1694447978,24.14,8.58
2023-09-11 15:59:40,1694447979,18.95,8.58
2023-09-11 15:59:41,1694447980,22.34,8.58
2023-09-11 15:59:42,1694447981,21.03,8.59
2023-09-11 15:59:43,1694447982,22.61,8.59
2023-09-11 15:59:44,1694447983,20.81,8.64
2023-09-11 15:59:45,1694447984,18.32,8.65
2023-09-11 15:59:46,1694447985,20.6,8.65
2023-09-11 15:59:47,1694447986,20.73,8.65
2023-09-11 15:59:48,1694447987,20.31,8.65
2023-09-11 15:59:49,1694447988,23.5,8.66
2023-09-11 15:59:50,1694447989,13.2,8.66
2023-09-11 15:59:51,1694447990,22.11,8.66
2023-09-11 15:59:52,1694447991,23.38,8.67
2023-09-11 15:59:53,1694447992,20.41,8.67
2023-09-11 15:59:54,1694447993,23.38,8.67
2023-09-11 15:59:55,1694447994,22.39,8.68
2023-09-11 15:59:56,1694447995,22.22,8.36
2023-09-11 15:59:57,1694447996,23,8.36
2023-09-11 15:59:58,1694447997,24.63,8.37
2023-09-11 15:59:59,1694447998,23.76,8.37
2023-09-11 16:00:00,1694447999,25.87,8.38
2023-09-11 16:00:01,1694448000,24.87,8.38
2023-09-11 16:00:02,1694448001,29.27,8.39
2023-09-11 16:00:03,1694448002,26.96,8.39
2023-09-11 16:00:04,1694448003,26.87,8.40
2023-09-11 16:00:05,1694448004,24.88,8.43
2023-09-11 16:00:06,1694448005,25.89,8.43
2023-09-11 16:00:07,1694448006,28.99,8.44
2023-09-11 16:00:08,1694448007,28.16,8.44
2023-09-11 16:00:09,1694448008,25.98,8.45
2023-09-11 16:00:10,1694448009,28.16,8.45
2023-09-11 16:00:11,1694448010,26.11,8.15
2023-09-11 16:00:12,1694448011,27.09,8.16
2023-09-11 16:00:13,1694448012,25.12,8.16
2023-09-11 16:00:14,1694448013,21.76,8.17
2023-09-11 16:00:15,1694448014,23.74,8.23
2023-09-11 16:00:16,1694448015,25,8.24
2023-09-11 16:00:17,1694448016,23.23,8.24
2023-09-11 16:00:18,1694448017,27.54,8.24
2023-09-11 16:00:20,1694448018,21.65,8.25
2023-09-11 16:00:21,1694448020,24.75,8.25
2023-09-11 16:00:22,1694448021,21.94,8.25
2023-09-11 16:00:23,1694448022,25,8.25
2023-09-11 16:00:24,1694448023,21.83,8.26
2023-09-11 16:00:25,1694448024,20.62,8.26
2023-09-11 16:00:26,1694448025,25.73,8.27
2023-09-11 16:00:27,1694448026,23.62,8.27
2023-09-11 16:00:28,1694448027,22.73,8.27
2023-09-11 16:00:29,1694448028,25.74,8.28
2023-09-11 16:00:30,1694448029,24.14,8.28
2023-09-11 16:00:31,1694448030,20.73,8.29
2023-09-11 16:00:32,1694448031,24.38,8.29
2023-09-11 16:00:33,1694448032,23.32,8.34
2023-09-11 16:00:34,1694448033,26.83,8.35
2023-09-11 16:00:35,1694448034,21.03,8.35
2023-09-11 16:00:36,1694448035,22.05,8.35
2023-09-11 16:00:37,1694448036,23.47,8.36
2023-09-11 16:00:38,1694448037,23.62,8.36
2023-09-11 16:00:39,1694448038,22.22,8.36
2023-09-11 16:00:40,1694448039,22.22,8.37
2023-09-11 16:00:41,1694448040,26.21,8.37
2023-09-11 16:00:42,1694448041,24.02,8.38
2023-09-11 16:00:43,1694448042,22.22,8.38
2023-09-11 16:00:44,1694448043,21.5,8.38
2023-09-11 16:00:45,1694448044,22.34,8.39
2023-09-11 16:00:46,1694448045,21.21,8.39
2023-09-11 16:00:47,1694448046,22.22,8.39
2023-09-11 16:00:48,1694448047,25.96,8.40
2023-09-11 16:00:49,1694448048,21.13,8.40
2023-09-11 16:00:50,1694448049,22.11,8.40
2023-09-11 16:00:51,1694448050,22.55,8.41
2023-09-11 16:00:52,1694448051,19.17,8.41
2023-09-11 16:00:53,1694448052,22.73,8.41
2023-09-11 16:00:54,1694448053,24,8.41
2023-09-11 16:00:55,1694448054,24.26,8.41
2023-09-11 16:00:56,1694448055,19.9,8.42
2023-09-11 16:00:57,1694448056,22.16,8.43
2023-09-11 16:00:58,1694448057,25.12,8.43
2023-09-11 16:00:59,1694448058,21.76,8.43
2023-09-11 16:01:00,1694448059,26.87,8.44
2023-09-11 16:01:01,1694448060,24.63,8.44
2023-09-11 16:01:02,1694448061,26.73,8.44
2023-09-11 16:01:03,1694448062,26.6,8.45
2023-09-11 16:01:04,1694448063,26.24,8.45
2023-09-11 16:01:05,1694448064,23.76,8.13
2023-09-11 16:01:06,1694448065,18.62,8.15
2023-09-11 16:01:07,1694448066,22.73,8.15
2023-09-11 16:01:08,1694448067,23.5,8.16
2023-09-11 16:01:09,1694448068,25.85,8.17
2023-09-11 16:01:10,1694448069,24.62,8.17
2023-09-11 16:01:11,1694448070,31.92,8.18
2023-09-11 16:01:12,1694448071,29.47,8.19
2023-09-11 16:01:13,1694448072,29.33,8.19
2023-09-11 16:01:14,1694448073,26.47,8.19
2023-09-11 16:01:15,1694448074,25.37,8.19
2023-09-11 16:01:16,1694448075,24,8.20
2023-09-11 16:01:17,1694448076,28.85,8.20
2023-09-11 16:01:18,1694448077,26.47,8.21
2023-09-11 16:01:19,1694448078,21.35,8.21
2023-09-11 16:01:20,1694448079,23,8.21
2023-09-11 16:01:21,1694448080,21.24,8.22
2023-09-11 16:01:22,1694448081,20.42,8.22
2023-09-11 16:01:23,1694448082,25.37,8.22
