Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-11 15:38:51,1694446730,99.51,9.22
2023-09-11 15:38:52,1694446731,100,10.35
2023-09-11 15:38:53,1694446732,100,13.01
2023-09-11 15:38:54,1694446733,18.69,13.09
2023-09-11 15:38:55,1694446734,0,13.09
2023-09-11 15:38:56,1694446735,0,13.09
2023-09-11 15:38:57,1694446736,0,13.09
2023-09-11 15:38:58,1694446737,0,13.09
2023-09-11 15:38:59,1694446738,0,13.09
2023-09-11 15:39:00,1694446739,51.74,13.10
2023-09-11 15:39:01,1694446740,88.94,13.14
2023-09-11 15:39:02,1694446741,90.21,13.29
2023-09-11 15:39:03,1694446742,92.39,13.38
2023-09-11 15:39:04,1694446743,87.5,13.45
2023-09-11 15:39:05,1694446744,88.94,13.48
2023-09-11 15:39:06,1694446745,88.21,13.51
2023-09-11 15:39:07,1694446746,84,13.55
2023-09-11 15:39:08,1694446747,87.69,13.59
2023-09-11 15:39:09,1694446748,87.19,13.62
2023-09-11 15:39:10,1694446749,85.57,13.66
2023-09-11 15:39:11,1694446750,68.81,13.68
2023-09-11 15:39:12,1694446751,56.35,13.39
2023-09-11 15:39:13,1694446752,57.71,13.40
2023-09-11 15:39:14,1694446753,54.97,13.43
2023-09-11 15:39:15,1694446754,52.82,13.44
2023-09-11 15:39:16,1694446755,55.15,13.45
2023-09-11 15:39:17,1694446756,53.81,13.46
2023-09-11 15:39:18,1694446757,55.15,13.49
2023-09-11 15:39:19,1694446758,52.36,13.51
2023-09-11 15:39:20,1694446759,53.4,13.52
2023-09-11 15:39:21,1694446760,53.4,13.55
2023-09-11 15:39:22,1694446761,52.88,13.56
2023-09-11 15:39:23,1694446762,55.84,13.26
2023-09-11 15:39:24,1694446763,54.31,13.26
2023-09-11 15:39:25,1694446764,55.22,13.27
2023-09-11 15:39:26,1694446765,54.4,13.29
2023-09-11 15:39:27,1694446766,54.97,13.31
2023-09-11 15:39:28,1694446767,56.78,13.33
2023-09-11 15:39:29,1694446768,57.14,13.34
2023-09-11 15:39:30,1694446769,55.28,13.36
2023-09-11 15:39:31,1694446770,57.58,13.38
2023-09-11 15:39:32,1694446771,54.17,13.40
2023-09-11 15:39:34,1694446772,56.85,13.41
2023-09-11 15:39:35,1694446774,51.81,13.42
2023-09-11 15:39:36,1694446775,56.65,13.43
2023-09-11 15:39:37,1694446776,52.28,13.44
2023-09-11 15:39:38,1694446777,52.11,13.45
2023-09-11 15:39:39,1694446778,53.19,13.47
