Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-11 15:02:31,1694444550,0.5,6.26
2023-09-11 15:02:32,1694444551,0,6.26
2023-09-11 15:02:33,1694444552,0,6.26
2023-09-11 15:02:34,1694444553,46.73,7.00
2023-09-11 15:02:35,1694444554,99.5,8.34
2023-09-11 15:02:36,1694444555,100,9.60
2023-09-11 15:02:37,1694444556,48.51,10.11
2023-09-11 15:02:38,1694444557,0.5,10.11
2023-09-11 15:02:39,1694444558,0,10.11
2023-09-11 15:02:41,1694444559,0.5,10.11
2023-09-11 15:02:42,1694444561,0,10.12
2023-09-11 15:02:43,1694444562,0,10.12
2023-09-11 15:02:44,1694444563,0.5,10.12
2023-09-11 15:02:45,1694444564,5.58,10.12
2023-09-11 15:02:46,1694444565,89.85,10.13
2023-09-11 15:02:47,1694444566,89.95,10.77
2023-09-11 15:02:48,1694444567,90.5,11.22
2023-09-11 15:02:49,1694444568,90.05,11.50
2023-09-11 15:02:50,1694444569,89.39,11.90
2023-09-11 15:02:51,1694444570,88.94,12.08
2023-09-11 15:02:52,1694444571,87.8,12.10
2023-09-11 15:02:53,1694444572,87.88,12.11
2023-09-11 15:02:54,1694444573,86.15,12.14
2023-09-11 15:02:55,1694444574,83.33,12.16
2023-09-11 15:02:56,1694444575,76.02,12.19
2023-09-11 15:02:57,1694444576,53.72,12.21
2023-09-11 15:02:58,1694444577,55.56,12.23
2023-09-11 15:02:59,1694444578,56.44,12.25
2023-09-11 15:03:00,1694444579,61.69,12.25
2023-09-11 15:03:01,1694444580,56.19,12.25
2023-09-11 15:03:02,1694444581,53.4,11.95
2023-09-11 15:03:03,1694444582,57.71,11.97
2023-09-11 15:03:04,1694444583,57.21,11.99
2023-09-11 15:03:05,1694444584,55.96,12.01
2023-09-11 15:03:06,1694444585,56.65,12.03
2023-09-11 15:03:07,1694444586,57.07,12.04
2023-09-11 15:03:08,1694444587,55.94,12.04
2023-09-11 15:03:09,1694444588,54.21,12.06
2023-09-11 15:03:10,1694444589,57.81,12.08
2023-09-11 15:03:11,1694444590,59.22,12.10
2023-09-11 15:03:12,1694444591,58.08,12.11
2023-09-11 15:03:13,1694444592,54.79,12.13
2023-09-11 15:03:14,1694444593,55.9,12.14
2023-09-11 15:03:15,1694444594,59.3,12.16
2023-09-11 15:03:16,1694444595,56.65,12.16
2023-09-11 15:03:17,1694444596,55.61,11.86
2023-09-11 15:03:18,1694444597,58.33,11.89
2023-09-11 15:03:19,1694444598,57.21,11.90
2023-09-11 15:03:20,1694444599,57.22,11.93
2023-09-11 15:03:21,1694444600,57.71,11.94
2023-09-11 15:03:22,1694444601,60.59,11.96
2023-09-11 15:03:23,1694444602,55.15,11.98
2023-09-11 15:03:24,1694444603,55.15,12.01
2023-09-11 15:03:25,1694444604,57.29,12.03
2023-09-11 15:03:26,1694444605,53.76,12.05
2023-09-11 15:03:27,1694444606,58.13,12.07
2023-09-11 15:03:28,1694444607,54.73,12.08
2023-09-11 15:03:29,1694444608,61.08,12.10
2023-09-11 15:03:30,1694444609,60.29,12.12
2023-09-11 15:03:31,1694444610,58.17,12.14
2023-09-11 15:03:32,1694444611,58.82,12.15
2023-09-11 15:03:33,1694444612,60.68,12.16
2023-09-11 15:03:34,1694444613,57.5,12.18
2023-09-11 15:03:35,1694444614,56.48,12.19
2023-09-11 15:03:37,1694444615,58.5,12.20
2023-09-11 15:03:38,1694444617,67.18,11.90
2023-09-11 15:03:39,1694444618,58.16,11.93
2023-09-11 15:03:40,1694444619,54.01,11.95
