Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-11 14:03:38,1694441017,0,6.41
2023-09-11 14:03:39,1694441018,11.5,6.50
2023-09-11 14:03:40,1694441019,99.5,7.15
2023-09-11 14:03:41,1694441020,90.05,7.33
2023-09-11 14:03:42,1694441021,48.74,7.42
2023-09-11 14:03:43,1694441022,0.5,7.42
2023-09-11 14:03:44,1694441023,0.5,7.42
2023-09-11 14:03:45,1694441024,0.5,7.42
2023-09-11 14:03:46,1694441025,2.51,7.42
2023-09-11 14:03:47,1694441026,0,7.42
2023-09-11 14:03:48,1694441027,0.5,7.42
2023-09-11 14:03:49,1694441028,1,7.42
2023-09-11 14:03:50,1694441029,47.74,7.48
2023-09-11 14:03:51,1694441030,52.91,7.48
2023-09-11 14:03:52,1694441031,43.88,7.74
2023-09-11 14:03:53,1694441032,39.59,7.74
2023-09-11 14:03:54,1694441033,45.64,7.86
2023-09-11 14:03:55,1694441034,28.93,7.92
2023-09-11 14:03:56,1694441035,14.29,7.98
2023-09-11 14:03:57,1694441036,15.92,7.98
2023-09-11 14:03:58,1694441037,13.78,7.98
2023-09-11 14:03:59,1694441038,16.67,7.98
2023-09-11 14:04:00,1694441039,18.93,7.98
2023-09-11 14:04:01,1694441040,13.4,7.98
2023-09-11 14:04:02,1694441041,13.71,7.98
2023-09-11 14:04:03,1694441042,11.46,7.99
2023-09-11 14:04:04,1694441043,15.08,7.99
2023-09-11 14:04:05,1694441044,12.95,7.99
2023-09-11 14:04:06,1694441045,12.95,7.99
2023-09-11 14:04:07,1694441046,17.56,8.04
2023-09-11 14:04:08,1694441047,16.58,8.14
2023-09-11 14:04:09,1694441048,17.59,8.14
2023-09-11 14:04:10,1694441049,11.17,8.14
2023-09-11 14:04:11,1694441050,14.65,8.14
2023-09-11 14:04:12,1694441051,15.23,8.14
2023-09-11 14:04:13,1694441052,17.33,8.15
2023-09-11 14:04:14,1694441053,18.88,8.15
2023-09-11 14:04:15,1694441054,14,8.15
2023-09-11 14:04:16,1694441055,11.98,8.15
2023-09-11 14:04:17,1694441056,12.82,8.15
2023-09-11 14:04:19,1694441057,16.33,8.15
2023-09-11 14:04:20,1694441059,13.85,8.15
2023-09-11 14:04:21,1694441060,14.65,8.15
2023-09-11 14:04:22,1694441061,15.08,8.15
2023-09-11 14:04:23,1694441062,16.33,8.15
2023-09-11 14:04:24,1694441063,13.71,8.15
2023-09-11 14:04:25,1694441064,19.7,8.15
2023-09-11 14:04:26,1694441065,16.92,8.15
2023-09-11 14:04:27,1694441066,15.42,8.15
2023-09-11 14:04:28,1694441067,12.89,8.15
2023-09-11 14:04:29,1694441068,15.5,8.16
2023-09-11 14:04:30,1694441069,15.08,8.16
2023-09-11 14:04:31,1694441070,10.99,8.16
2023-09-11 14:04:32,1694441071,15,8.16
2023-09-11 14:04:33,1694441072,12.89,8.16
2023-09-11 14:04:34,1694441073,14.57,8.17
2023-09-11 14:04:35,1694441074,14.36,8.17
2023-09-11 14:04:36,1694441075,15.92,8.18
2023-09-11 14:04:37,1694441076,14.65,8.19
2023-09-11 14:04:38,1694441077,14.21,8.19
2023-09-11 14:04:39,1694441078,14.72,8.19
2023-09-11 14:04:40,1694441079,13.99,8.20
2023-09-11 14:04:41,1694441080,14.57,8.20
2023-09-11 14:04:42,1694441081,16.34,8.20
2023-09-11 14:04:43,1694441082,14.21,8.20
2023-09-11 14:04:44,1694441083,13.27,8.20
2023-09-11 14:04:45,1694441084,16.75,8.20
2023-09-11 14:04:46,1694441085,15.69,8.20
2023-09-11 14:04:47,1694441086,11.98,8.20
2023-09-11 14:04:48,1694441087,12.89,8.20
2023-09-11 14:04:49,1694441088,13.78,8.20
2023-09-11 14:04:50,1694441089,15.31,8.20
2023-09-11 14:04:51,1694441090,14.21,8.20
2023-09-11 14:04:52,1694441091,16.26,8.20
2023-09-11 14:04:53,1694441092,13.78,8.20
2023-09-11 14:04:54,1694441093,15.92,8.20
2023-09-11 14:04:55,1694441094,13.85,8.20
2023-09-11 14:04:56,1694441095,14.29,8.20
2023-09-11 14:04:57,1694441096,13.47,8.20
2023-09-11 14:04:58,1694441097,15.5,8.20
2023-09-11 14:04:59,1694441098,15.08,8.20
2023-09-11 14:05:00,1694441099,18.84,8.20
2023-09-11 14:05:01,1694441100,15.74,8.20
2023-09-11 14:05:02,1694441101,15.92,8.20
2023-09-11 14:05:03,1694441102,12.95,8.20
2023-09-11 14:05:04,1694441103,15.92,8.21
2023-09-11 14:05:05,1694441104,13.78,8.21
2023-09-11 14:05:06,1694441105,16.42,8.21
2023-09-11 14:05:07,1694441106,15.15,8.21
2023-09-11 14:05:08,1694441107,12.95,8.21
2023-09-11 14:05:09,1694441108,12.89,8.21
2023-09-11 14:05:10,1694441109,16.67,8.21
2023-09-11 14:05:11,1694441110,16,8.21
2023-09-11 14:05:12,1694441111,15.08,8.21
2023-09-11 14:05:13,1694441112,12.44,8.21
2023-09-11 14:05:14,1694441113,15.58,8.22
2023-09-11 14:05:15,1694441114,17,8.22
2023-09-11 14:05:16,1694441115,16.58,8.22
2023-09-11 14:05:17,1694441116,13.78,8.22
2023-09-11 14:05:18,1694441117,16.08,8.22
2023-09-11 14:05:19,1694441118,13.85,8.22
2023-09-11 14:05:20,1694441119,15.74,8.22
2023-09-11 14:05:21,1694441120,17.24,8.22
2023-09-11 14:05:22,1694441121,13.4,8.22
2023-09-11 14:05:23,1694441122,16,8.22
2023-09-11 14:05:24,1694441123,15.58,8.23
2023-09-11 14:05:25,1694441124,16.42,8.23
2023-09-11 14:05:26,1694441125,16.42,8.38
2023-09-11 14:05:27,1694441126,15.15,8.38
2023-09-11 14:05:28,1694441127,17.16,8.38
2023-09-11 14:05:29,1694441128,14.29,8.38
