Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-11 15:47:23,1694447242,5.97,6.31
2023-09-11 15:47:24,1694447243,41.92,6.84
2023-09-11 15:47:25,1694447244,9,6.94
2023-09-11 15:47:26,1694447245,5.45,7.05
2023-09-11 15:47:27,1694447246,0.5,7.08
2023-09-11 15:47:28,1694447247,0,7.08
2023-09-11 15:47:29,1694447248,0,7.09
2023-09-11 15:47:30,1694447249,0,7.09
2023-09-11 15:47:31,1694447250,0,7.09
2023-09-11 15:47:32,1694447251,0,7.09
2023-09-11 15:47:33,1694447252,0,7.09
2023-09-11 15:47:34,1694447253,38.38,7.28
2023-09-11 15:47:35,1694447254,90.1,7.88
2023-09-11 15:47:36,1694447255,88.94,8.40
2023-09-11 15:47:37,1694447256,85,8.42
2023-09-11 15:47:38,1694447257,70.77,8.42
2023-09-11 15:47:39,1694447258,56.22,8.40
2023-09-11 15:47:40,1694447259,53.65,8.38
2023-09-11 15:47:41,1694447260,53.27,8.36
2023-09-11 15:47:42,1694447261,52.91,8.34
2023-09-11 15:47:43,1694447262,54.31,8.35
2023-09-11 15:47:44,1694447263,55.67,8.35
2023-09-11 15:47:45,1694447264,56.72,8.36
2023-09-11 15:47:46,1694447265,57.14,8.37
2023-09-11 15:47:47,1694447266,55.33,8.39
2023-09-11 15:47:48,1694447267,55.72,8.40
2023-09-11 15:47:49,1694447268,54.36,8.41
2023-09-11 15:47:50,1694447269,54.69,8.42
2023-09-11 15:47:51,1694447270,54.68,8.43
2023-09-11 15:47:52,1694447271,54.04,8.44
2023-09-11 15:47:53,1694447272,53.12,8.46
2023-09-11 15:47:54,1694447273,54.5,8.47
2023-09-11 15:47:55,1694447274,54.82,8.44
2023-09-11 15:47:56,1694447275,54.82,8.08
2023-09-11 15:47:57,1694447276,63.73,8.07
2023-09-11 15:47:58,1694447277,54.31,8.09
2023-09-11 15:47:59,1694447278,55.22,8.09
2023-09-11 15:48:00,1694447279,53.27,8.10
2023-09-11 15:48:01,1694447280,53.57,8.12
2023-09-11 15:48:02,1694447281,51.85,8.13
2023-09-11 15:48:03,1694447282,56.46,8.14
2023-09-11 15:48:04,1694447283,55.77,8.16
2023-09-11 15:48:05,1694447284,53.37,8.17
2023-09-11 15:48:06,1694447285,53.81,8.19
2023-09-11 15:48:07,1694447286,51.34,8.20
2023-09-11 15:48:08,1694447287,52.08,8.22
2023-09-11 15:48:09,1694447288,52.82,8.23
2023-09-11 15:48:10,1694447289,50,8.24
2023-09-11 15:48:11,1694447290,54.64,8.26
2023-09-11 15:48:12,1694447291,54.08,8.27
2023-09-11 15:48:13,1694447292,52.88,8.29
2023-09-11 15:48:14,1694447293,52.66,8.30
2023-09-11 15:48:15,1694447294,54.64,8.31
2023-09-11 15:48:16,1694447295,54.04,8.31
2023-09-11 15:48:17,1694447296,54.17,8.33
2023-09-11 15:48:18,1694447297,54.17,8.34
2023-09-11 15:48:19,1694447298,53.65,8.36
2023-09-11 15:48:20,1694447299,52.82,8.37
2023-09-11 15:48:21,1694447300,51.87,8.39
2023-09-11 15:48:22,1694447301,52.28,8.40
2023-09-11 15:48:23,1694447302,54.82,8.11
2023-09-11 15:48:24,1694447303,52.85,8.11
2023-09-11 15:48:25,1694447304,52.85,8.13
2023-09-11 15:48:27,1694447305,55.05,8.14
2023-09-11 15:48:28,1694447307,53.93,8.17
2023-09-11 15:48:29,1694447308,67.37,8.19
2023-09-11 15:48:30,1694447309,53.23,8.20
2023-09-11 15:48:31,1694447310,48.94,8.22
2023-09-11 15:48:32,1694447311,50.52,8.24
2023-09-11 15:48:33,1694447312,48.95,8.26
2023-09-11 15:48:34,1694447313,51,8.29
2023-09-11 15:48:35,1694447314,49.74,8.31
2023-09-11 15:48:36,1694447315,53,8.33
2023-09-11 15:48:37,1694447316,51.52,8.34
2023-09-11 15:48:38,1694447317,48.13,8.37
2023-09-11 15:48:39,1694447318,48.65,8.38
2023-09-11 15:48:40,1694447319,51.74,8.41
2023-09-11 15:48:41,1694447320,60.42,9.60
2023-09-11 15:48:42,1694447321,83.33,13.36
2023-09-11 15:48:43,1694447322,80.83,17.26
2023-09-11 15:48:44,1694447323,82.56,21.16
2023-09-11 15:48:45,1694447324,82.56,24.76
2023-09-11 15:48:46,1694447325,84.18,28.44
2023-09-11 15:48:47,1694447326,82.99,31.57
2023-09-11 15:48:48,1694447327,81.96,35.31
2023-09-11 15:48:49,1694447328,84.16,38.97
2023-09-11 15:48:50,1694447329,83.84,42.36
2023-09-11 15:48:51,1694447330,83.16,46.05
2023-09-11 15:48:52,1694447331,84.02,50.23
2023-09-11 15:48:53,1694447332,80.63,53.70
2023-09-11 15:48:54,1694447333,84.62,57.39
2023-09-11 15:48:55,1694447334,81.87,60.81
2023-09-11 15:48:56,1694447335,85.05,64.58
2023-09-11 15:48:57,1694447336,87.37,67.59
2023-09-11 15:48:58,1694447337,91.37,70.58
2023-09-11 15:48:59,1694447338,89.74,74.05
2023-09-11 15:49:00,1694447339,87.94,51.63
2023-09-11 15:49:01,1694447340,73.58,8.07
2023-09-11 15:49:02,1694447341,51.52,8.07
2023-09-11 15:49:03,1694447342,50.26,8.06
2023-09-11 15:49:04,1694447343,50,8.04
2023-09-11 15:49:05,1694447344,51.26,8.04
2023-09-11 15:49:06,1694447345,51.81,8.03
2023-09-11 15:49:07,1694447346,51.02,8.02
2023-09-11 15:49:08,1694447347,50.26,8.00
2023-09-11 15:49:09,1694447348,50.79,7.99
2023-09-11 15:49:10,1694447349,47.8,7.98
2023-09-11 15:49:11,1694447350,48.95,7.98
2023-09-11 15:49:12,1694447351,51.53,7.97
2023-09-11 15:49:13,1694447352,48.94,7.98
2023-09-11 15:49:14,1694447353,50.79,8.00
2023-09-11 15:49:16,1694447354,53,8.01
2023-09-11 15:49:17,1694447356,51.28,8.03
2023-09-11 15:49:18,1694447357,49.22,8.05
2023-09-11 15:49:19,1694447358,49.74,8.07
2023-09-11 15:49:20,1694447359,50,8.09
2023-09-11 15:49:21,1694447360,51.27,8.10
2023-09-11 15:49:22,1694447361,48.4,7.80
2023-09-11 15:49:23,1694447362,50.26,7.82
2023-09-11 15:49:24,1694447363,48.9,7.84
2023-09-11 15:49:25,1694447364,50.79,7.86
2023-09-11 15:49:26,1694447365,52.85,7.87
2023-09-11 15:49:27,1694447366,53.96,7.89
2023-09-11 15:49:28,1694447367,53.06,7.91
2023-09-11 15:49:29,1694447368,53.12,7.93
2023-09-11 15:49:30,1694447369,69.74,7.94
2023-09-11 15:49:31,1694447370,51.85,7.95
2023-09-11 15:49:32,1694447371,53.06,7.97
2023-09-11 15:49:33,1694447372,50.79,7.99
2023-09-11 15:49:34,1694447373,55.94,8.01
2023-09-11 15:49:35,1694447374,51.83,8.03
2023-09-11 15:49:36,1694447375,54.5,8.04
2023-09-11 15:49:37,1694447376,52.31,8.06
2023-09-11 15:49:38,1694447377,48.89,8.08
2023-09-11 15:49:39,1694447378,51.81,8.10
2023-09-11 15:49:40,1694447379,52.79,8.11
2023-09-11 15:49:41,1694447380,52.11,8.12
2023-09-11 15:49:42,1694447381,53.09,8.14
2023-09-11 15:49:43,1694447382,52.53,7.85
2023-09-11 15:49:44,1694447383,51.32,7.87
2023-09-11 15:49:45,1694447384,52.41,7.89
2023-09-11 15:49:46,1694447385,53.12,7.90
2023-09-11 15:49:47,1694447386,55.45,7.92
2023-09-11 15:49:48,1694447387,54.36,7.94
2023-09-11 15:49:49,1694447388,51.08,7.95
2023-09-11 15:49:50,1694447389,53.37,7.97
2023-09-11 15:49:51,1694447390,54.12,7.98
2023-09-11 15:49:52,1694447391,54.08,8.00
2023-09-11 15:49:53,1694447392,53.81,8.02
2023-09-11 15:49:54,1694447393,53.33,8.02
2023-09-11 15:49:55,1694447394,54.5,8.04
2023-09-11 15:49:56,1694447395,54.4,8.05
2023-09-11 15:49:57,1694447396,54.31,8.07
2023-09-11 15:49:58,1694447397,54.55,8.09
2023-09-11 15:49:59,1694447398,53.37,8.13
2023-09-11 15:50:00,1694447399,52.36,8.11
2023-09-11 15:50:01,1694447400,66.18,8.12
2023-09-11 15:50:02,1694447401,51.34,8.14
2023-09-11 15:50:03,1694447402,56.44,8.15
2023-09-11 15:50:04,1694447403,55.61,8.17
2023-09-11 15:50:05,1694447404,52.66,8.17
2023-09-11 15:50:06,1694447405,54.77,8.19
2023-09-11 15:50:07,1694447406,55.05,7.90
2023-09-11 15:50:08,1694447407,55.5,7.91
2023-09-11 15:50:09,1694447408,56.63,8.04
2023-09-11 15:50:10,1694447409,57.14,8.03
2023-09-11 15:50:11,1694447410,52.88,8.03
2023-09-11 15:50:12,1694447411,53.85,8.03
2023-09-11 15:50:13,1694447412,54.17,8.04
2023-09-11 15:50:14,1694447413,54.4,8.06
2023-09-11 15:50:15,1694447414,53.44,8.07
2023-09-11 15:50:16,1694447415,55.61,8.09
2023-09-11 15:50:17,1694447416,51.87,8.11
2023-09-11 15:50:18,1694447417,53.44,8.12
2023-09-11 15:50:19,1694447418,53.09,8.13
2023-09-11 15:50:20,1694447419,53.4,8.15
2023-09-11 15:50:21,1694447420,53.93,8.17
2023-09-11 15:50:22,1694447421,54.17,8.18
2023-09-11 15:50:23,1694447422,53.89,8.20
2023-09-11 15:50:24,1694447423,55.84,8.20
2023-09-11 15:50:25,1694447424,55.28,8.22
2023-09-11 15:50:26,1694447425,54.92,8.23
2023-09-11 15:50:27,1694447426,56.93,8.25
2023-09-11 15:50:28,1694447427,53.37,8.26
2023-09-11 15:50:29,1694447428,54.69,7.96
2023-09-11 15:50:31,1694447429,56.72,7.98
2023-09-11 15:50:32,1694447431,53.61,7.99
2023-09-11 15:50:33,1694447432,73.44,8.01
2023-09-11 15:50:34,1694447433,54.64,8.02
2023-09-11 15:50:35,1694447434,54.74,8.03
2023-09-11 15:50:36,1694447435,55.67,8.05
2023-09-11 15:50:37,1694447436,54.69,8.07
2023-09-11 15:50:38,1694447437,56.12,8.08
2023-09-11 15:50:39,1694447438,54.82,8.09
2023-09-11 15:50:40,1694447439,51.04,8.16
2023-09-11 15:50:41,1694447440,52.79,8.16
2023-09-11 15:50:42,1694447441,51.05,8.18
2023-09-11 15:50:43,1694447442,52.06,8.19
2023-09-11 15:50:44,1694447443,51.05,8.21
2023-09-11 15:50:45,1694447444,51.06,8.23
2023-09-11 15:50:46,1694447445,53.3,8.25
2023-09-11 15:50:47,1694447446,54.95,8.27
2023-09-11 15:50:48,1694447447,52.79,8.28
2023-09-11 15:50:49,1694447448,51.31,8.30
2023-09-11 15:50:50,1694447449,54.04,8.33
2023-09-11 15:50:51,1694447450,53.61,8.34
2023-09-11 15:50:52,1694447451,50.54,8.05
2023-09-11 15:50:53,1694447452,52.79,8.07
2023-09-11 15:50:54,1694447453,51.32,8.09
2023-09-11 15:50:55,1694447454,53.03,8.10
2023-09-11 15:50:56,1694447455,51.32,8.12
2023-09-11 15:50:57,1694447456,53.85,8.14
2023-09-11 15:50:58,1694447457,53.65,8.16
2023-09-11 15:50:59,1694447458,55.1,8.18
2023-09-11 15:51:00,1694447459,52.85,8.19
2023-09-11 15:51:01,1694447460,52.11,8.22
2023-09-11 15:51:02,1694447461,54.55,8.23
2023-09-11 15:51:03,1694447462,51.61,8.25
2023-09-11 15:51:04,1694447463,75.37,8.27
2023-09-11 15:51:05,1694447464,53.23,8.29
2023-09-11 15:51:06,1694447465,52.63,8.31
2023-09-11 15:51:07,1694447466,54.04,8.32
2023-09-11 15:51:08,1694447467,54.31,8.34
2023-09-11 15:51:09,1694447468,53.33,8.36
2023-09-11 15:51:10,1694447469,52.88,8.37
2023-09-11 15:51:11,1694447470,52.6,8.07
2023-09-11 15:51:12,1694447471,54.64,8.09
2023-09-11 15:51:13,1694447472,53.65,8.11
2023-09-11 15:51:14,1694447473,56.93,8.12
2023-09-11 15:51:15,1694447474,53.81,8.14
2023-09-11 15:51:16,1694447475,53.37,8.16
2023-09-11 15:51:17,1694447476,53.33,8.18
2023-09-11 15:51:18,1694447477,55.56,8.20
2023-09-11 15:51:19,1694447478,53.16,8.21
2023-09-11 15:51:20,1694447479,55.05,8.22
2023-09-11 15:51:21,1694447480,53.65,8.24
2023-09-11 15:51:22,1694447481,54.64,8.25
2023-09-11 15:51:23,1694447482,52.88,8.27
2023-09-11 15:51:24,1694447483,54.82,8.28
2023-09-11 15:51:25,1694447484,53.77,8.29
2023-09-11 15:51:26,1694447485,53.09,8.31
2023-09-11 15:51:27,1694447486,53.33,8.33
2023-09-11 15:51:28,1694447487,53.93,8.33
2023-09-11 15:51:29,1694447488,53.65,8.35
2023-09-11 15:51:30,1694447489,50.55,8.35
2023-09-11 15:51:31,1694447490,54.82,8.37
2023-09-11 15:51:32,1694447491,55.61,8.38
2023-09-11 15:51:33,1694447492,53.4,8.40
2023-09-11 15:51:34,1694447493,54.04,8.41
2023-09-11 15:51:35,1694447494,77.32,8.42
2023-09-11 15:51:36,1694447495,45.36,8.13
