Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-11 15:38:52,1694446731,29.15,12.67
2023-09-11 15:38:53,1694446732,10.1,12.68
2023-09-11 15:38:54,1694446733,0,12.69
2023-09-11 15:38:55,1694446734,0,12.69
2023-09-11 15:38:56,1694446735,0,12.69
2023-09-11 15:38:57,1694446736,0,12.69
2023-09-11 15:38:58,1694446737,0,12.69
2023-09-11 15:38:59,1694446738,7.96,12.69
2023-09-11 15:39:00,1694446739,83.25,12.71
2023-09-11 15:39:01,1694446740,99,13.08
2023-09-11 15:39:02,1694446741,98.48,13.81
2023-09-11 15:39:04,1694446743,98.48,13.98
2023-09-11 15:39:05,1694446744,97.47,14.03
2023-09-11 15:39:06,1694446745,97.47,14.04
2023-09-11 15:39:07,1694446746,97.47,14.13
2023-09-11 15:39:08,1694446747,92.89,14.14
2023-09-11 15:39:09,1694446748,93.03,14.15
2023-09-11 15:39:10,1694446749,93.43,14.16
2023-09-11 15:39:11,1694446750,92.82,14.16
2023-09-11 15:39:12,1694446751,92.78,14.17
2023-09-11 15:39:13,1694446752,93.85,14.18
2023-09-11 15:39:14,1694446753,93.47,14.19
2023-09-11 15:39:15,1694446754,92.35,14.20
2023-09-11 15:39:16,1694446755,94,14.20
2023-09-11 15:39:17,1694446756,93.72,14.21
2023-09-11 15:39:18,1694446757,95.48,14.23
2023-09-11 15:39:19,1694446758,93.6,14.24
2023-09-11 15:39:20,1694446759,93.97,14.25
2023-09-11 15:39:21,1694446760,94.36,14.26
2023-09-11 15:39:22,1694446761,94.03,14.27
2023-09-11 15:39:23,1694446762,93.47,14.28
2023-09-11 15:39:24,1694446763,94.95,14.29
2023-09-11 15:39:25,1694446764,93.43,14.30
2023-09-11 15:39:26,1694446765,94,14.32
2023-09-11 15:39:27,1694446766,93.91,14.33
2023-09-11 15:39:28,1694446767,93.5,14.34
2023-09-11 15:39:29,1694446768,94.53,14.35
2023-09-11 15:39:30,1694446769,92.93,14.37
2023-09-11 15:39:31,1694446770,91.79,14.38
2023-09-11 15:39:32,1694446771,91.84,14.38
2023-09-11 15:39:33,1694446772,92.78,14.07
2023-09-11 15:39:34,1694446773,93.85,14.09
2023-09-11 15:39:35,1694446774,91.92,14.10
2023-09-11 15:39:36,1694446775,91.88,14.11
2023-09-11 15:39:37,1694446776,91,14.13
2023-09-11 15:39:38,1694446777,93.43,14.14
2023-09-11 15:39:39,1694446778,91.92,14.15
2023-09-11 15:39:40,1694446779,93.43,14.16
2023-09-11 15:39:41,1694446780,91.92,14.17
2023-09-11 15:39:42,1694446781,91.24,14.19
2023-09-11 15:39:43,1694446782,91.33,14.20
2023-09-11 15:39:44,1694446783,93.88,14.22
2023-09-11 15:39:45,1694446784,93.4,14.23
2023-09-11 15:39:46,1694446785,99.5,14.24
2023-09-11 15:39:47,1694446786,95.02,14.25
2023-09-11 15:39:48,1694446787,92.89,14.26
2023-09-11 15:39:49,1694446788,94.92,14.27
2023-09-11 15:39:50,1694446789,93.81,14.29
2023-09-11 15:39:51,1694446790,92.96,14.29
2023-09-11 15:39:52,1694446791,93.3,14.30
2023-09-11 15:39:53,1694446792,92.89,14.31
2023-09-11 15:39:54,1694446793,92.04,14.32
2023-09-11 15:39:55,1694446794,92.86,14.34
2023-09-11 15:39:56,1694446795,91.37,14.35
2023-09-11 15:39:57,1694446796,92.93,14.36
2023-09-11 15:39:59,1694446797,94.92,14.38
2023-09-11 15:40:00,1694446799,93.47,14.39
2023-09-11 15:40:01,1694446800,94.36,14.40
2023-09-11 15:40:02,1694446801,95.36,14.11
2023-09-11 15:40:03,1694446802,93.03,14.13
2023-09-11 15:40:04,1694446803,92.93,14.15
2023-09-11 15:40:05,1694446804,93.43,14.16
2023-09-11 15:40:06,1694446805,94.5,14.17
2023-09-11 15:40:07,1694446806,95,14.19
2023-09-11 15:40:08,1694446807,92.35,14.20
2023-09-11 15:40:09,1694446808,93.94,14.21
2023-09-11 15:40:10,1694446809,92.46,14.22
2023-09-11 15:40:11,1694446810,92.39,14.23
2023-09-11 15:40:12,1694446811,95.43,14.25
2023-09-11 15:40:13,1694446812,95.38,14.26
2023-09-11 15:40:14,1694446813,94.42,14.27
2023-09-11 15:40:15,1694446814,94,14.29
2023-09-11 15:40:16,1694446815,93.94,14.30
2023-09-11 15:40:17,1694446816,92.86,14.32
2023-09-11 15:40:18,1694446817,94.95,14.33
2023-09-11 15:40:19,1694446818,93.37,14.34
2023-09-11 15:40:20,1694446819,92.82,14.36
2023-09-11 15:40:21,1694446820,93.94,14.37
2023-09-11 15:40:22,1694446821,94.39,14.38
2023-09-11 15:40:23,1694446822,93.53,14.40
2023-09-11 15:40:24,1694446823,93.33,14.41
2023-09-11 15:40:25,1694446824,94.39,14.11
2023-09-11 15:40:26,1694446825,94.39,14.12
2023-09-11 15:40:27,1694446826,93.5,14.14
2023-09-11 15:40:28,1694446827,92.89,14.15
2023-09-11 15:40:29,1694446828,96.43,14.17
2023-09-11 15:40:30,1694446829,94.9,14.18
2023-09-11 15:40:31,1694446830,94.85,14.20
2023-09-11 15:40:32,1694446831,92.75,14.21
2023-09-11 15:40:33,1694446832,91.58,14.22
2023-09-11 15:40:34,1694446833,90,14.22
2023-09-11 15:40:35,1694446834,91.37,14.23
2023-09-11 15:40:36,1694446835,89.95,14.24
2023-09-11 15:40:37,1694446836,90.21,14.26
2023-09-11 15:40:38,1694446837,89.3,14.26
2023-09-11 15:40:39,1694446838,91.28,14.27
2023-09-11 15:40:40,1694446839,90.45,14.27
2023-09-11 15:40:41,1694446840,90.59,14.27
2023-09-11 15:40:42,1694446841,88.89,14.29
2023-09-11 15:40:43,1694446842,90.5,14.31
2023-09-11 15:40:44,1694446843,90.77,14.33
2023-09-11 15:40:45,1694446844,88.83,14.33
2023-09-11 15:40:46,1694446845,89.47,14.34
2023-09-11 15:40:47,1694446846,89.69,14.35
2023-09-11 15:40:48,1694446847,91.33,14.37
2023-09-11 15:40:49,1694446848,91.05,14.37
2023-09-11 15:40:50,1694446849,89.45,14.38
2023-09-11 15:40:51,1694446850,89,14.40
2023-09-11 15:40:53,1694446851,91.5,14.41
2023-09-11 15:40:54,1694446853,91.41,14.42
2023-09-11 15:40:55,1694446854,90.21,14.12
2023-09-11 15:40:56,1694446855,90.82,14.13
2023-09-11 15:40:57,1694446856,89.16,14.14
2023-09-11 15:40:58,1694446857,90.16,14.16
2023-09-11 15:40:59,1694446858,89.23,14.17
2023-09-11 15:41:00,1694446859,89.64,14.18
2023-09-11 15:41:01,1694446860,91.96,14.19
2023-09-11 15:41:02,1694446861,90.36,14.22
2023-09-11 15:41:03,1694446862,90.26,14.22
