Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-11 15:20:20,1694445619,20.81,6.87
2023-09-11 15:20:21,1694445620,97.46,10.55
2023-09-11 15:20:22,1694445621,30.81,11.64
2023-09-11 15:20:23,1694445622,20,11.86
2023-09-11 15:20:24,1694445623,10.89,11.94
2023-09-11 15:20:25,1694445624,0,11.94
2023-09-11 15:20:26,1694445625,0,11.94
2023-09-11 15:20:27,1694445626,0,11.94
2023-09-11 15:20:28,1694445627,0,11.94
2023-09-11 15:20:29,1694445628,0,11.94
2023-09-11 15:20:30,1694445629,0.5,11.94
2023-09-11 15:20:31,1694445630,20.5,11.96
2023-09-11 15:20:32,1694445631,69.9,12.16
2023-09-11 15:20:33,1694445632,92.93,12.55
2023-09-11 15:20:34,1694445633,99.49,12.92
2023-09-11 15:20:35,1694445634,99.5,13.01
2023-09-11 15:20:36,1694445635,99,13.11
2023-09-11 15:20:37,1694445636,98.48,13.12
2023-09-11 15:20:38,1694445637,94.36,13.14
2023-09-11 15:20:39,1694445638,94.42,13.15
2023-09-11 15:20:40,1694445639,93.81,13.16
2023-09-11 15:20:41,1694445640,93.85,13.17
2023-09-11 15:20:42,1694445641,93.88,13.19
2023-09-11 15:20:43,1694445642,92.46,13.19
2023-09-11 15:20:44,1694445643,94.9,13.20
2023-09-11 15:20:46,1694445645,90.95,13.22
2023-09-11 15:20:47,1694445646,94.92,13.24
2023-09-11 15:20:48,1694445647,92.89,13.25
2023-09-11 15:20:49,1694445648,93.97,13.25
2023-09-11 15:20:50,1694445649,94.97,13.27
2023-09-11 15:20:51,1694445650,93.43,13.28
2023-09-11 15:20:52,1694445651,94.97,13.29
2023-09-11 15:20:53,1694445652,94.47,13.30
2023-09-11 15:20:54,1694445653,93.4,13.32
2023-09-11 15:20:55,1694445654,93.56,13.32
2023-09-11 15:20:56,1694445655,93.94,13.02
2023-09-11 15:20:57,1694445656,94.33,13.04
2023-09-11 15:20:58,1694445657,93.53,13.05
2023-09-11 15:20:59,1694445658,93.94,13.05
2023-09-11 15:21:00,1694445659,94.95,13.06
2023-09-11 15:21:01,1694445660,95.48,13.07
2023-09-11 15:21:02,1694445661,94.95,13.09
2023-09-11 15:21:03,1694445662,92.27,13.10
2023-09-11 15:21:04,1694445663,94.87,13.11
2023-09-11 15:21:05,1694445664,94.36,13.13
2023-09-11 15:21:06,1694445665,93.91,13.14
2023-09-11 15:21:07,1694445666,92.96,13.15
2023-09-11 15:21:08,1694445667,93.43,13.16
2023-09-11 15:21:09,1694445668,94.44,13.17
2023-09-11 15:21:10,1694445669,93.91,13.18
2023-09-11 15:21:11,1694445670,93.47,13.20
2023-09-11 15:21:12,1694445671,93.47,13.21
2023-09-11 15:21:13,1694445672,93.37,13.22
2023-09-11 15:21:14,1694445673,94.44,13.23
2023-09-11 15:21:15,1694445674,94.47,13.24
2023-09-11 15:21:16,1694445675,92.5,13.25
2023-09-11 15:21:17,1694445676,94.42,13.26
2023-09-11 15:21:18,1694445677,92.82,13.27
2023-09-11 15:21:19,1694445678,96.46,13.35
2023-09-11 15:21:20,1694445679,95.02,13.36
2023-09-11 15:21:21,1694445680,92.82,13.37
2023-09-11 15:21:22,1694445681,92.27,13.39
2023-09-11 15:21:23,1694445682,91.88,13.40
