Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-11 14:03:39,1694441018,8.46,6.18
2023-09-11 14:03:40,1694441019,41.5,6.78
2023-09-11 14:03:41,1694441020,9.36,6.92
2023-09-11 14:03:42,1694441021,5,7.07
2023-09-11 14:03:43,1694441022,0,7.07
2023-09-11 14:03:44,1694441023,0,7.07
2023-09-11 14:03:45,1694441024,0,7.07
2023-09-11 14:03:46,1694441025,0.5,7.07
2023-09-11 14:03:47,1694441026,0,7.07
2023-09-11 14:03:48,1694441027,0,7.07
2023-09-11 14:03:49,1694441028,0,7.08
2023-09-11 14:03:50,1694441029,29.08,7.21
2023-09-11 14:03:51,1694441030,75.9,7.58
2023-09-11 14:03:52,1694441031,50,7.66
2023-09-11 14:03:53,1694441032,64.1,7.86
2023-09-11 14:03:54,1694441033,45.18,7.86
2023-09-11 14:03:55,1694441034,30.69,8.04
2023-09-11 14:03:56,1694441035,34.83,8.03
2023-09-11 14:03:57,1694441036,32.31,8.04
2023-09-11 14:03:58,1694441037,34.5,8.04
2023-09-11 14:03:59,1694441038,35.29,8.05
2023-09-11 14:04:00,1694441039,33.84,8.06
2023-09-11 14:04:01,1694441040,32.12,8.07
2023-09-11 14:04:02,1694441041,29.03,8.08
2023-09-11 14:04:03,1694441042,31.05,8.08
2023-09-11 14:04:04,1694441043,33.16,8.09
2023-09-11 14:04:05,1694441044,34.01,8.10
2023-09-11 14:04:06,1694441045,31.61,8.12
2023-09-11 14:04:07,1694441046,33.33,8.12
2023-09-11 14:04:08,1694441047,35.78,8.13
2023-09-11 14:04:09,1694441048,30.53,8.13
2023-09-11 14:04:10,1694441049,32.29,8.14
2023-09-11 14:04:11,1694441050,31.94,8.12
2023-09-11 14:04:12,1694441051,32.47,8.09
2023-09-11 14:04:13,1694441052,35.92,8.06
2023-09-11 14:04:14,1694441053,33.16,8.06
2023-09-11 14:04:15,1694441054,43.98,8.06
2023-09-11 14:04:16,1694441055,32.47,8.07
2023-09-11 14:04:17,1694441056,32.99,8.07
2023-09-11 14:04:18,1694441057,35.32,8.08
2023-09-11 14:04:19,1694441058,32.82,8.09
2023-09-11 14:04:20,1694441059,32.99,8.10
2023-09-11 14:04:21,1694441060,33.5,8.11
2023-09-11 14:04:22,1694441061,31.22,8.12
2023-09-11 14:04:23,1694441062,34.67,8.12
2023-09-11 14:04:24,1694441063,29.41,8.13
2023-09-11 14:04:25,1694441064,32.99,8.14
2023-09-11 14:04:26,1694441065,31.61,8.15
2023-09-11 14:04:27,1694441066,34.5,8.16
2023-09-11 14:04:28,1694441067,33.67,8.16
2023-09-11 14:04:29,1694441068,34.85,8.17
2023-09-11 14:04:30,1694441069,31.96,8.18
2023-09-11 14:04:31,1694441070,30.69,7.88
2023-09-11 14:04:32,1694441071,34.33,7.88
2023-09-11 14:04:33,1694441072,34.34,7.89
2023-09-11 14:04:34,1694441073,35.15,7.90
2023-09-11 14:04:35,1694441074,34.33,7.90
2023-09-11 14:04:36,1694441075,29.57,7.91
2023-09-11 14:04:37,1694441076,31.41,7.92
2023-09-11 14:04:38,1694441077,34.67,7.93
2023-09-11 14:04:39,1694441078,34.18,7.94
2023-09-11 14:04:40,1694441079,31.02,7.94
2023-09-11 14:04:41,1694441080,35.47,7.95
2023-09-11 14:04:42,1694441081,34.5,7.96
2023-09-11 14:04:43,1694441082,31.41,7.97
2023-09-11 14:04:44,1694441083,36.54,7.97
2023-09-11 14:04:45,1694441084,31.41,7.98
2023-09-11 14:04:46,1694441085,49.5,7.99
2023-09-11 14:04:47,1694441086,34.34,8.00
2023-09-11 14:04:48,1694441087,35.18,8.01
2023-09-11 14:04:49,1694441088,33.33,8.01
2023-09-11 14:04:50,1694441089,31.58,8.02
2023-09-11 14:04:51,1694441090,35.15,8.03
2023-09-11 14:04:52,1694441091,31.77,8.03
2023-09-11 14:04:53,1694441092,35.96,8.04
2023-09-11 14:04:54,1694441093,32.29,8.06
2023-09-11 14:04:55,1694441094,33.16,8.06
2023-09-11 14:04:56,1694441095,37.8,8.06
2023-09-11 14:04:58,1694441096,32.12,8.07
2023-09-11 14:04:59,1694441098,31.05,8.08
2023-09-11 14:05:00,1694441099,33.16,8.09
2023-09-11 14:05:01,1694441100,32.99,8.09
2023-09-11 14:05:02,1694441101,35.96,8.10
2023-09-11 14:05:03,1694441102,35.47,8.11
2023-09-11 14:05:04,1694441103,32.82,8.12
2023-09-11 14:05:05,1694441104,33.16,8.12
2023-09-11 14:05:06,1694441105,31.25,8.13
2023-09-11 14:05:07,1694441106,33.16,8.13
2023-09-11 14:05:08,1694441107,32.82,8.14
2023-09-11 14:05:09,1694441108,33.84,8.15
