Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-19 21:03:34,1695157413,0,5.95
2023-09-19 21:03:35,1695157414,0,5.95
2023-09-19 21:03:36,1695157415,1.49,5.95
2023-09-19 21:03:37,1695157416,1,5.95
2023-09-19 21:03:38,1695157417,0,5.95
2023-09-19 21:03:39,1695157418,1,5.95
2023-09-19 21:03:40,1695157419,0,5.95
2023-09-19 21:03:41,1695157420,0,5.95
2023-09-19 21:03:42,1695157421,0,5.95
2023-09-19 21:03:43,1695157422,0,5.95
2023-09-19 21:03:44,1695157423,41.5,6.92
2023-09-19 21:03:45,1695157424,24.62,7.25
2023-09-19 21:03:46,1695157425,0.5,7.25
2023-09-19 21:03:47,1695157426,0,7.25
2023-09-19 21:03:48,1695157427,0,7.25
2023-09-19 21:03:49,1695157428,0.5,7.27
2023-09-19 21:03:50,1695157429,0,7.28
2023-09-19 21:03:51,1695157430,0.5,7.28
2023-09-19 21:03:52,1695157431,0,7.28
2023-09-19 21:03:53,1695157432,0,7.28
2023-09-19 21:03:54,1695157433,0,7.28
2023-09-19 21:03:55,1695157434,93.53,7.40
2023-09-19 21:03:56,1695157435,89.95,7.74
2023-09-19 21:03:57,1695157436,88,7.81
2023-09-19 21:03:58,1695157437,82.18,7.86
2023-09-19 21:03:59,1695157438,61.31,7.88
2023-09-19 21:04:00,1695157439,56.72,7.89
2023-09-19 21:04:01,1695157440,55.78,7.90
2023-09-19 21:04:02,1695157441,54.17,7.90
2023-09-19 21:04:03,1695157442,54.08,7.91
2023-09-19 21:04:04,1695157443,52.58,7.91
2023-09-19 21:04:05,1695157444,53.65,7.91
2023-09-19 21:04:06,1695157445,54.45,7.92
2023-09-19 21:04:07,1695157446,52.06,7.92
2023-09-19 21:04:08,1695157447,53.5,7.92
2023-09-19 21:04:09,1695157448,54.82,7.92
2023-09-19 21:04:10,1695157449,52.79,7.92
2023-09-19 21:04:11,1695157450,53.69,7.93
2023-09-19 21:04:12,1695157451,52.22,7.93
2023-09-19 21:04:13,1695157452,51.08,7.94
2023-09-19 21:04:14,1695157453,52.79,7.94
2023-09-19 21:04:15,1695157454,53,7.95
2023-09-19 21:04:16,1695157455,52.06,7.97
2023-09-19 21:04:17,1695157456,53.61,7.98
2023-09-19 21:04:18,1695157457,52.26,7.99
2023-09-19 21:04:19,1695157458,52.55,8.01
2023-09-19 21:04:20,1695157459,54.19,8.01
2023-09-19 21:04:21,1695157460,53.61,8.02
2023-09-19 21:04:22,1695157461,53.61,8.04
2023-09-19 21:04:23,1695157462,55.5,8.05
2023-09-19 21:04:24,1695157463,54.77,8.06
2023-09-19 21:04:25,1695157464,51.81,8.07
2023-09-19 21:04:26,1695157465,52.88,8.08
2023-09-19 21:04:27,1695157466,54.64,8.09
2023-09-19 21:04:28,1695157467,51.79,7.79
2023-09-19 21:04:29,1695157468,55.77,7.80
2023-09-19 21:04:30,1695157469,55.56,7.81
2023-09-19 21:04:31,1695157470,55.61,7.82
2023-09-19 21:04:32,1695157471,53,7.83
2023-09-19 21:04:33,1695157472,52.55,7.84
2023-09-19 21:04:34,1695157473,55.28,7.86
2023-09-19 21:04:35,1695157474,54.04,7.86
2023-09-19 21:04:36,1695157475,54.36,7.87
2023-09-19 21:04:37,1695157476,58,7.88
2023-09-19 21:04:38,1695157477,52.85,7.89
2023-09-19 21:04:39,1695157478,52.33,7.90
2023-09-19 21:04:40,1695157479,53.81,7.91
2023-09-19 21:04:41,1695157480,52.55,7.92
2023-09-19 21:04:42,1695157481,54.82,7.93
2023-09-19 21:04:43,1695157482,55.33,7.94
2023-09-19 21:04:44,1695157483,52.04,7.94
2023-09-19 21:04:46,1695157484,54.04,7.96
2023-09-19 21:04:47,1695157486,53.03,7.97
2023-09-19 21:04:48,1695157487,49.21,7.98
2023-09-19 21:04:49,1695157488,53.33,8.00
2023-09-19 21:04:50,1695157489,50.26,8.00
2023-09-19 21:04:51,1695157490,50,8.01
2023-09-19 21:04:52,1695157491,51.81,8.02
2023-09-19 21:04:53,1695157492,51.03,8.04
2023-09-19 21:04:54,1695157493,54.36,8.04
2023-09-19 21:04:55,1695157494,52.06,8.05
2023-09-19 21:04:56,1695157495,56.78,8.06
2023-09-19 21:04:57,1695157496,55.67,8.07
2023-09-19 21:04:58,1695157497,53.3,8.08
2023-09-19 21:04:59,1695157498,53.3,8.09
2023-09-19 21:05:00,1695157499,50.25,8.10
2023-09-19 21:05:01,1695157500,52.06,7.80
2023-09-19 21:05:02,1695157501,51.31,7.81
2023-09-19 21:05:03,1695157502,51.5,7.81
2023-09-19 21:05:04,1695157503,53.73,7.82
2023-09-19 21:05:05,1695157504,53.57,7.84
2023-09-19 21:05:06,1695157505,51.83,7.85
2023-09-19 21:05:07,1695157506,52.28,7.86
2023-09-19 21:05:08,1695157507,49.74,7.87
2023-09-19 21:05:09,1695157508,51.55,7.88
2023-09-19 21:05:10,1695157509,55.05,7.89
2023-09-19 21:05:11,1695157510,52.55,7.90
2023-09-19 21:05:12,1695157511,56.1,7.91
2023-09-19 21:05:13,1695157512,52.45,7.92
2023-09-19 21:05:14,1695157513,51.31,7.93
2023-09-19 21:05:15,1695157514,53.06,7.94
