Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-19 20:48:36,1695156515,0,5.98
2023-09-19 20:48:37,1695156516,58.67,6.76
2023-09-19 20:48:38,1695156517,21.67,6.87
2023-09-19 20:48:39,1695156518,10.55,6.98
2023-09-19 20:48:40,1695156519,0,6.99
2023-09-19 20:48:41,1695156520,0.5,6.99
2023-09-19 20:48:42,1695156521,0,6.99
2023-09-19 20:48:43,1695156522,0,6.99
2023-09-19 20:48:44,1695156523,0,6.99
2023-09-19 20:48:45,1695156524,0,6.99
2023-09-19 20:48:46,1695156525,0,6.99
2023-09-19 20:48:47,1695156526,23.38,7.28
2023-09-19 20:48:48,1695156527,33.67,7.39
2023-09-19 20:48:49,1695156528,34.65,7.50
2023-09-19 20:48:50,1695156529,18,7.55
2023-09-19 20:48:51,1695156530,16.24,7.56
2023-09-19 20:48:52,1695156531,13.5,7.56
2023-09-19 20:48:53,1695156532,11.68,7.61
2023-09-19 20:48:54,1695156533,7.25,7.61
2023-09-19 20:48:55,1695156534,10.55,7.61
2023-09-19 20:48:56,1695156535,11.5,7.61
2023-09-19 20:48:57,1695156536,31.03,7.61
2023-09-19 20:48:58,1695156537,28.22,7.67
2023-09-19 20:48:59,1695156538,23.27,7.77
2023-09-19 20:49:00,1695156539,10.95,7.77
2023-09-19 20:49:01,1695156540,10,7.78
2023-09-19 20:49:02,1695156541,10.4,7.79
2023-09-19 20:49:03,1695156542,9.55,7.78
2023-09-19 20:49:04,1695156543,11.27,7.78
2023-09-19 20:49:05,1695156544,9.55,7.84
2023-09-19 20:49:06,1695156545,10.45,7.94
2023-09-19 20:49:08,1695156546,10.95,8.04
2023-09-19 20:49:09,1695156548,12,8.09
2023-09-19 20:49:10,1695156549,12.75,8.08
2023-09-19 20:49:11,1695156550,8.54,8.07
2023-09-19 20:49:12,1695156551,9.5,8.07
2023-09-19 20:49:13,1695156552,14.29,8.06
2023-09-19 20:49:14,1695156553,8.16,8.05
2023-09-19 20:49:15,1695156554,9.05,8.04
2023-09-19 20:49:16,1695156555,8.54,8.04
2023-09-19 20:49:17,1695156556,9.09,8.03
2023-09-19 20:49:18,1695156557,10.5,8.02
2023-09-19 20:49:19,1695156558,10,8.02
2023-09-19 20:49:20,1695156559,8.59,8.02
2023-09-19 20:49:21,1695156560,9.41,8.02
2023-09-19 20:49:22,1695156561,9.45,8.01
2023-09-19 20:49:23,1695156562,10.4,8.01
2023-09-19 20:49:24,1695156563,8.59,8.01
2023-09-19 20:49:25,1695156564,8.12,8.01
2023-09-19 20:49:26,1695156565,8.12,8.00
2023-09-19 20:49:27,1695156566,8.5,8.00
2023-09-19 20:49:28,1695156567,9.45,7.99
2023-09-19 20:49:29,1695156568,9.5,7.99
2023-09-19 20:49:30,1695156569,9.45,7.98
2023-09-19 20:49:31,1695156570,9.41,7.98
2023-09-19 20:49:32,1695156571,9,7.98
2023-09-19 20:49:33,1695156572,8.5,7.98
2023-09-19 20:49:34,1695156573,8.54,7.99
2023-09-19 20:49:35,1695156574,9.5,7.99
2023-09-19 20:49:36,1695156575,9.55,7.99
2023-09-19 20:49:37,1695156576,9.9,7.99
2023-09-19 20:49:38,1695156577,10.45,7.99
2023-09-19 20:49:39,1695156578,9.95,7.99
2023-09-19 20:49:40,1695156579,9,7.99
2023-09-19 20:49:41,1695156580,9.05,7.99
2023-09-19 20:49:42,1695156581,8.63,7.99
2023-09-19 20:49:43,1695156582,11.11,7.99
2023-09-19 20:49:44,1695156583,10.89,7.99
2023-09-19 20:49:45,1695156584,10,8.00
2023-09-19 20:49:46,1695156585,8.59,8.00
2023-09-19 20:49:47,1695156586,7.65,8.00
2023-09-19 20:49:48,1695156587,12.38,8.00
2023-09-19 20:49:49,1695156588,8.21,8.00
2023-09-19 20:49:50,1695156589,9.95,8.00
2023-09-19 20:49:51,1695156590,8.08,8.00
2023-09-19 20:49:52,1695156591,9.05,8.00
2023-09-19 20:49:53,1695156592,9.05,8.00
2023-09-19 20:49:54,1695156593,8.54,8.00
2023-09-19 20:49:55,1695156594,10.34,8.01
2023-09-19 20:49:56,1695156595,9.05,8.02
2023-09-19 20:49:57,1695156596,9.05,8.01
2023-09-19 20:49:58,1695156597,9,8.02
2023-09-19 20:49:59,1695156598,9.5,8.02
2023-09-19 20:50:00,1695156599,8.59,8.02
2023-09-19 20:50:01,1695156600,9.95,8.02
2023-09-19 20:50:02,1695156601,9,8.03
2023-09-19 20:50:03,1695156602,10.84,8.02
