Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-19 18:44:43,1695149082,0,6.23
2023-09-19 18:44:44,1695149083,13,6.26
2023-09-19 18:44:45,1695149084,4.04,6.27
2023-09-19 18:44:46,1695149085,4.5,6.27
2023-09-19 18:44:47,1695149086,4.02,6.28
2023-09-19 18:44:48,1695149087,4.5,6.29
2023-09-19 18:44:49,1695149088,3.03,6.35
2023-09-19 18:44:50,1695149089,8.5,6.46
2023-09-19 18:44:51,1695149090,4.5,6.47
2023-09-19 18:44:52,1695149091,3.03,6.48
2023-09-19 18:44:53,1695149092,6.03,6.48
2023-09-19 18:44:54,1695149093,3,6.48
2023-09-19 18:44:55,1695149094,3,6.50
2023-09-19 18:44:56,1695149095,1.01,6.51
2023-09-19 18:44:57,1695149096,2.51,6.51
2023-09-19 18:44:58,1695149097,4.46,6.53
2023-09-19 18:44:59,1695149098,11.17,6.58
2023-09-19 18:45:00,1695149099,2.49,6.60
2023-09-19 18:45:01,1695149100,2.02,6.66
2023-09-19 18:45:02,1695149101,4,6.66
2023-09-19 18:45:03,1695149102,1.52,6.67
2023-09-19 18:45:04,1695149103,3.5,6.67
2023-09-19 18:45:05,1695149104,9,6.67
2023-09-19 18:45:06,1695149105,1.51,6.73
2023-09-19 18:45:07,1695149106,4.55,6.79
2023-09-19 18:45:08,1695149107,8,6.79
2023-09-19 18:45:09,1695149108,2.53,6.79
2023-09-19 18:45:10,1695149109,1.51,6.84
2023-09-19 18:45:11,1695149110,3.5,6.84
2023-09-19 18:45:12,1695149111,11.56,6.94
2023-09-19 18:45:13,1695149112,6.47,6.94
2023-09-19 18:45:14,1695149113,2.99,6.95
2023-09-19 18:45:15,1695149114,2.99,7.00
2023-09-19 18:45:16,1695149115,2,7.00
2023-09-19 18:45:17,1695149116,15.08,7.02
2023-09-19 18:45:18,1695149117,3.5,7.02
2023-09-19 18:45:19,1695149118,2.51,7.07
2023-09-19 18:45:20,1695149119,4.46,7.17
2023-09-19 18:45:21,1695149120,2,7.17
2023-09-19 18:45:22,1695149121,2,7.17
2023-09-19 18:45:23,1695149122,3.03,7.18
2023-09-19 18:45:24,1695149123,5.53,7.18
2023-09-19 18:45:25,1695149124,7.07,7.18
2023-09-19 18:45:26,1695149125,3.5,7.18
2023-09-19 18:45:27,1695149126,2,7.18
2023-09-19 18:45:28,1695149127,2.5,7.19
2023-09-19 18:45:29,1695149128,3.47,7.19
2023-09-19 18:45:30,1695149129,3.48,7.19
2023-09-19 18:45:31,1695149130,2.53,7.19
2023-09-19 18:45:32,1695149131,2.53,7.19
2023-09-19 18:45:33,1695149132,6.44,7.19
2023-09-19 18:45:34,1695149133,4.02,7.19
2023-09-19 18:45:35,1695149134,4.5,7.20
2023-09-19 18:45:36,1695149135,1.52,7.20
2023-09-19 18:45:37,1695149136,4.55,7.20
2023-09-19 18:45:38,1695149137,2.5,7.20
2023-09-19 18:45:39,1695149138,2.51,7.20
2023-09-19 18:45:40,1695149139,2.01,7.21
2023-09-19 18:45:41,1695149140,3,7.21
2023-09-19 18:45:42,1695149141,7.04,7.27
2023-09-19 18:45:43,1695149142,2.5,7.28
2023-09-19 18:45:44,1695149143,2.53,7.28
2023-09-19 18:45:45,1695149144,4.04,7.28
2023-09-19 18:45:46,1695149145,3.52,7.33
2023-09-19 18:45:47,1695149146,2.02,7.39
2023-09-19 18:45:48,1695149147,2.53,7.39
2023-09-19 18:45:49,1695149148,1.5,7.40
2023-09-19 18:45:50,1695149149,5,7.45
2023-09-19 18:45:51,1695149150,2,7.45
2023-09-19 18:45:52,1695149151,1.51,7.45
2023-09-19 18:45:53,1695149152,2.5,7.50
2023-09-19 18:45:54,1695149153,1.51,7.51
2023-09-19 18:45:55,1695149154,2.01,7.56
2023-09-19 18:45:56,1695149155,3,7.61
2023-09-19 18:45:57,1695149156,5.5,7.71
2023-09-19 18:45:58,1695149157,2,7.71
2023-09-19 18:45:59,1695149158,2.53,7.71
2023-09-19 18:46:00,1695149159,2.01,7.72
2023-09-19 18:46:01,1695149160,2.49,7.72
2023-09-19 18:46:03,1695149161,2.49,7.72
2023-09-19 18:46:04,1695149163,7.58,7.72
2023-09-19 18:46:05,1695149164,5.53,7.72
2023-09-19 18:46:06,1695149165,5.5,7.73
2023-09-19 18:46:07,1695149166,2.02,7.88
2023-09-19 18:46:08,1695149167,18.91,7.88
2023-09-19 18:46:09,1695149168,2.5,7.88
2023-09-19 18:46:10,1695149169,3.48,7.88
2023-09-19 18:46:11,1695149170,3.03,7.88
2023-09-19 18:46:12,1695149171,2.51,7.88
2023-09-19 18:46:13,1695149172,2.5,7.88
2023-09-19 18:46:14,1695149173,2.51,7.88
2023-09-19 18:46:15,1695149174,2.49,7.88
2023-09-19 18:46:16,1695149175,1.01,7.89
2023-09-19 18:46:17,1695149176,2,8.00
2023-09-19 18:46:18,1695149177,2,8.00
2023-09-19 18:46:19,1695149178,5.91,8.00
2023-09-19 18:46:20,1695149179,4.02,8.00
2023-09-19 18:46:21,1695149180,2.01,8.00
2023-09-19 18:46:22,1695149181,2.99,8.00
2023-09-19 18:46:23,1695149182,2,8.00
2023-09-19 18:46:24,1695149183,4.98,8.01
2023-09-19 18:46:25,1695149184,1.51,8.01
2023-09-19 18:46:26,1695149185,4.52,8.16
2023-09-19 18:46:27,1695149186,2.53,8.16
2023-09-19 18:46:28,1695149187,1.51,8.17
2023-09-19 18:46:29,1695149188,2.01,8.17
2023-09-19 18:46:30,1695149189,3.47,8.17
2023-09-19 18:46:31,1695149190,3.48,8.17
2023-09-19 18:46:32,1695149191,1.02,8.17
2023-09-19 18:46:33,1695149192,4.52,8.17
2023-09-19 18:46:34,1695149193,4.41,8.17
2023-09-19 18:46:35,1695149194,2.99,8.17
2023-09-19 18:46:36,1695149195,1.52,8.17
2023-09-19 18:46:37,1695149196,1.52,8.17
2023-09-19 18:46:38,1695149197,2.01,8.17
2023-09-19 18:46:39,1695149198,2.99,8.17
2023-09-19 18:46:40,1695149199,2.02,8.17
2023-09-19 18:46:41,1695149200,3.47,8.17
2023-09-19 18:46:42,1695149201,3.47,8.18
2023-09-19 18:46:43,1695149202,1.51,8.18
2023-09-19 18:46:44,1695149203,3.48,8.18
2023-09-19 18:46:45,1695149204,2.99,8.18
2023-09-19 18:46:46,1695149205,2.02,8.18
2023-09-19 18:46:47,1695149206,2.02,8.18
2023-09-19 18:46:48,1695149207,5.47,8.29
2023-09-19 18:46:49,1695149208,2.99,8.29
2023-09-19 18:46:50,1695149209,3,8.29
2023-09-19 18:46:51,1695149210,4,8.29
2023-09-19 18:46:52,1695149211,2.54,8.29
2023-09-19 18:46:53,1695149212,3,8.29
2023-09-19 18:46:54,1695149213,3.47,8.29
2023-09-19 18:46:55,1695149214,5,8.29
2023-09-19 18:46:56,1695149215,2.5,8.29
2023-09-19 18:46:57,1695149216,2.54,8.29
2023-09-19 18:46:58,1695149217,2.03,8.30
2023-09-19 18:46:59,1695149218,2.53,8.30
2023-09-19 18:47:00,1695149219,2.01,8.30
2023-09-19 18:47:01,1695149220,1.01,8.30
2023-09-19 18:47:02,1695149221,2.04,8.32
2023-09-19 18:47:03,1695149222,3.48,8.32
2023-09-19 18:47:04,1695149223,3.48,8.33
2023-09-19 18:47:05,1695149224,3,8.33
2023-09-19 18:47:06,1695149225,3,8.33
2023-09-19 18:47:07,1695149226,2.51,8.33
2023-09-19 18:47:08,1695149227,2.51,8.34
2023-09-19 18:47:09,1695149228,2.53,8.35
2023-09-19 18:47:10,1695149229,4,8.36
2023-09-19 18:47:11,1695149230,2.99,8.37
2023-09-19 18:47:12,1695149231,7.54,8.37
2023-09-19 18:47:13,1695149232,4.5,8.38
2023-09-19 18:47:14,1695149233,4,8.38
2023-09-19 18:47:15,1695149234,6.4,8.38
2023-09-19 18:47:16,1695149235,5.03,8.38
2023-09-19 18:47:17,1695149236,4.02,8.38
2023-09-19 18:47:18,1695149237,4,8.38
2023-09-19 18:47:19,1695149238,4,8.43
2023-09-19 18:47:20,1695149239,5.05,8.44
2023-09-19 18:47:21,1695149240,2.03,8.45
2023-09-19 18:47:22,1695149241,4.43,8.45
2023-09-19 18:47:23,1695149242,10.5,8.45
2023-09-19 18:47:24,1695149243,2.01,8.45
2023-09-19 18:47:25,1695149244,2.53,8.45
2023-09-19 18:47:26,1695149245,3.5,8.45
2023-09-19 18:47:27,1695149246,2.53,8.46
2023-09-19 18:47:28,1695149247,3.03,8.47
2023-09-19 18:47:29,1695149248,2.49,8.48
2023-09-19 18:47:30,1695149249,3.02,8.48
2023-09-19 18:47:31,1695149250,5.08,8.48
2023-09-19 18:47:32,1695149251,6.47,8.49
2023-09-19 18:47:34,1695149252,2.51,8.49
2023-09-19 18:47:35,1695149254,2.51,8.49
2023-09-19 18:47:36,1695149255,3,8.50
2023-09-19 18:47:37,1695149256,2.51,8.50
2023-09-19 18:47:38,1695149257,3.52,8.50
2023-09-19 18:47:39,1695149258,3.52,8.50
2023-09-19 18:47:40,1695149259,4,8.51
2023-09-19 18:47:41,1695149260,3.5,8.51
2023-09-19 18:47:42,1695149261,3,8.51
2023-09-19 18:47:43,1695149262,5.05,8.57
2023-09-19 18:47:44,1695149263,4.48,8.57
2023-09-19 18:47:45,1695149264,1.53,8.57
2023-09-19 18:47:46,1695149265,3.02,8.57
2023-09-19 18:47:47,1695149266,3.5,8.58
2023-09-19 18:47:48,1695149267,4.5,8.58
2023-09-19 18:47:49,1695149268,5,8.58
2023-09-19 18:47:50,1695149269,3.48,8.58
2023-09-19 18:47:51,1695149270,3.98,8.60
2023-09-19 18:47:52,1695149271,4.52,8.60
2023-09-19 18:47:53,1695149272,3.52,8.60
2023-09-19 18:47:54,1695149273,4,8.61
2023-09-19 18:47:55,1695149274,17,8.77
2023-09-19 18:47:56,1695149275,6.12,8.78
2023-09-19 18:47:57,1695149276,7.58,8.78
2023-09-19 18:47:58,1695149277,11.94,8.81
2023-09-19 18:47:59,1695149278,2.53,8.82
2023-09-19 18:48:00,1695149279,3.02,8.82
2023-09-19 18:48:01,1695149280,2.02,8.82
2023-09-19 18:48:02,1695149281,4.93,8.83
2023-09-19 18:48:03,1695149282,20.3,8.83
2023-09-19 18:48:04,1695149283,5,8.83
2023-09-19 18:48:05,1695149284,3.03,8.84
2023-09-19 18:48:06,1695149285,4.48,8.85
2023-09-19 18:48:07,1695149286,4.98,8.84
2023-09-19 18:48:08,1695149287,4.48,8.85
2023-09-19 18:48:09,1695149288,3,8.85
2023-09-19 18:48:10,1695149289,4.52,8.85
2023-09-19 18:48:11,1695149290,3.54,8.86
2023-09-19 18:48:12,1695149291,2.04,8.86
2023-09-19 18:48:13,1695149292,3.02,8.87
