Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-14 15:28:31,1694705310,0,6.39
2023-09-14 15:28:32,1694705311,16,6.43
2023-09-14 15:28:33,1694705312,3.5,6.43
2023-09-14 15:28:34,1694705313,2.54,6.44
2023-09-14 15:28:35,1694705314,1.52,6.45
2023-09-14 15:28:36,1694705315,6.03,6.52
2023-09-14 15:28:37,1694705316,2.01,6.52
2023-09-14 15:28:38,1694705317,2.49,6.57
2023-09-14 15:28:39,1694705318,2.03,6.57
2023-09-14 15:28:40,1694705319,1.52,6.57
2023-09-14 15:28:41,1694705320,3.5,6.58
2023-09-14 15:28:42,1694705321,2,6.58
2023-09-14 15:28:43,1694705322,2.51,6.59
2023-09-14 15:28:44,1694705323,1.99,6.59
2023-09-14 15:28:45,1694705324,2.49,6.60
2023-09-14 15:28:46,1694705325,2.5,6.60
2023-09-14 15:28:47,1694705326,11.33,6.72
2023-09-14 15:28:48,1694705327,0.51,6.72
2023-09-14 15:28:49,1694705328,1.51,6.72
2023-09-14 15:28:50,1694705329,2,6.73
2023-09-14 15:28:51,1694705330,2.01,6.79
2023-09-14 15:28:52,1694705331,6.5,6.81
2023-09-14 15:28:53,1694705332,2,6.87
2023-09-14 15:28:54,1694705333,1.01,6.87
2023-09-14 15:28:55,1694705334,2.5,6.87
2023-09-14 15:28:56,1694705335,8.5,6.88
2023-09-14 15:28:57,1694705336,2.99,6.93
2023-09-14 15:28:58,1694705337,0.5,6.94
2023-09-14 15:28:59,1694705338,2.01,6.99
2023-09-14 15:29:00,1694705339,1.99,6.99
2023-09-14 15:29:01,1694705340,2.49,7.00
2023-09-14 15:29:02,1694705341,2,7.05
2023-09-14 15:29:03,1694705342,1.5,7.05
2023-09-14 15:29:04,1694705343,1.5,6.74
2023-09-14 15:29:05,1694705344,0.51,6.75
2023-09-14 15:29:06,1694705345,2.5,6.81
2023-09-14 15:29:07,1694705346,2.48,6.81
2023-09-14 15:29:08,1694705347,1.99,6.82
2023-09-14 15:29:09,1694705348,1.52,6.83
2023-09-14 15:29:10,1694705349,1.52,6.88
2023-09-14 15:29:11,1694705350,6,6.89
2023-09-14 15:29:12,1694705351,1.5,6.94
2023-09-14 15:29:13,1694705352,7.5,6.97
2023-09-14 15:29:14,1694705353,1,6.97
2023-09-14 15:29:15,1694705354,0.5,6.97
2023-09-14 15:29:16,1694705355,1.01,6.98
2023-09-14 15:29:17,1694705356,3.98,7.08
2023-09-14 15:29:18,1694705357,3.48,7.08
2023-09-14 15:29:19,1694705358,2,7.09
2023-09-14 15:29:20,1694705359,0.51,7.11
2023-09-14 15:29:21,1694705360,2.96,7.11
2023-09-14 15:29:22,1694705361,0.51,7.11
2023-09-14 15:29:23,1694705362,0.51,7.11
2023-09-14 15:29:24,1694705363,2.96,7.11
2023-09-14 15:29:25,1694705364,0.51,7.12
2023-09-14 15:29:26,1694705365,1.51,7.13
2023-09-14 15:29:27,1694705366,2.01,7.13
2023-09-14 15:29:29,1694705367,1,7.14
2023-09-14 15:29:30,1694705369,0,7.14
2023-09-14 15:29:31,1694705370,1.01,7.15
2023-09-14 15:29:32,1694705371,2.01,7.15
2023-09-14 15:29:33,1694705372,2,7.16
2023-09-14 15:29:34,1694705373,1.51,7.16
2023-09-14 15:29:35,1694705374,3.02,7.16
2023-09-14 15:29:36,1694705375,1.51,7.16
2023-09-14 15:29:37,1694705376,3.02,7.17
2023-09-14 15:29:38,1694705377,1,7.17
2023-09-14 15:29:39,1694705378,1.01,7.18
2023-09-14 15:29:40,1694705379,0.51,7.18
2023-09-14 15:29:41,1694705380,1.51,7.18
2023-09-14 15:29:42,1694705381,1.5,7.19
