Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-14 09:54:51,1694685290,0,6.12
2023-09-14 09:54:52,1694685291,0,6.12
2023-09-14 09:54:53,1694685292,63,6.62
2023-09-14 09:54:54,1694685293,59.6,6.99
2023-09-14 09:54:55,1694685294,45.73,7.28
2023-09-14 09:54:56,1694685295,25.5,7.39
2023-09-14 09:54:57,1694685296,18.18,7.60
2023-09-14 09:54:58,1694685297,15.58,7.70
2023-09-14 09:54:59,1694685298,20.71,7.84
2023-09-14 09:55:00,1694685299,17.09,7.93
2023-09-14 09:55:01,1694685300,17.26,8.04
2023-09-14 09:55:02,1694685301,19.5,8.43
2023-09-14 09:55:03,1694685302,14.07,8.53
2023-09-14 09:55:04,1694685303,9.14,8.63
2023-09-14 09:55:05,1694685304,17.77,8.84
2023-09-14 09:55:06,1694685305,12.63,8.93
2023-09-14 09:55:07,1694685306,9.14,9.05
2023-09-14 09:55:08,1694685307,17.09,9.33
2023-09-14 09:55:09,1694685308,10.61,9.64
2023-09-14 09:55:10,1694685309,11.68,9.84
2023-09-14 09:55:11,1694685310,17.77,9.94
2023-09-14 09:55:12,1694685311,16.08,10.08
2023-09-14 09:55:13,1694685312,14.07,10.16
2023-09-14 09:55:14,1694685313,23.5,10.44
2023-09-14 09:55:15,1694685314,38.12,10.57
2023-09-14 09:55:16,1694685315,9.45,10.61
2023-09-14 09:55:17,1694685316,10.1,10.70
2023-09-14 09:55:18,1694685317,7.96,10.75
2023-09-14 09:55:19,1694685318,33.17,10.84
2023-09-14 09:55:20,1694685319,11.5,10.95
2023-09-14 09:55:21,1694685320,25.76,11.03
2023-09-14 09:55:22,1694685321,10.71,11.08
2023-09-14 09:55:23,1694685322,22.89,11.21
2023-09-14 09:55:24,1694685323,14.5,11.29
2023-09-14 09:55:26,1694685324,13,11.36
2023-09-14 09:55:27,1694685326,22.11,11.42
2023-09-14 09:55:28,1694685327,21.11,11.69
2023-09-14 09:55:29,1694685328,18.18,11.96
2023-09-14 09:55:30,1694685329,20.2,12.33
2023-09-14 09:55:31,1694685330,13.07,12.68
2023-09-14 09:55:32,1694685331,14.07,13.02
2023-09-14 09:55:33,1694685332,11.94,13.40
2023-09-14 09:55:34,1694685333,9.95,13.72
2023-09-14 09:55:35,1694685334,9,14.08
2023-09-14 09:55:36,1694685335,9.5,14.30
2023-09-14 09:55:37,1694685336,23.74,14.79
2023-09-14 09:55:38,1694685337,12.87,14.87
2023-09-14 09:55:39,1694685338,10.2,14.94
2023-09-14 09:55:40,1694685339,7.5,15.00
2023-09-14 09:55:41,1694685340,6.57,15.04
2023-09-14 09:55:42,1694685341,6.6,15.09
2023-09-14 09:55:43,1694685342,9.09,15.15
2023-09-14 09:55:44,1694685343,20.4,15.22
2023-09-14 09:55:45,1694685344,10,15.29
2023-09-14 09:55:46,1694685345,9.95,15.34
2023-09-14 09:55:47,1694685346,9.95,15.41
2023-09-14 09:55:48,1694685347,9.14,15.47
2023-09-14 09:55:49,1694685348,9.09,15.53
2023-09-14 09:55:50,1694685349,17.5,15.60
2023-09-14 09:55:51,1694685350,36.5,15.80
2023-09-14 09:55:52,1694685351,11.06,15.85
2023-09-14 09:55:53,1694685352,9.5,15.92
2023-09-14 09:55:54,1694685353,10.78,15.99
2023-09-14 09:55:55,1694685354,10.4,16.04
2023-09-14 09:55:56,1694685355,18.91,16.10
2023-09-14 09:55:57,1694685356,10,16.16
2023-09-14 09:55:58,1694685357,9.09,16.22
2023-09-14 09:55:59,1694685358,9.6,16.28
2023-09-14 09:56:00,1694685359,20.1,16.34
2023-09-14 09:56:01,1694685360,13.93,16.41
2023-09-14 09:56:02,1694685361,50.5,16.71
2023-09-14 09:56:03,1694685362,9.6,16.82
2023-09-14 09:56:04,1694685363,12.38,16.87
2023-09-14 09:56:05,1694685364,8.08,16.92
2023-09-14 09:56:06,1694685365,19.4,16.98
