Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-14 09:25:35,1694683534,0,6.34
2023-09-14 09:25:36,1694683535,40.3,6.53
2023-09-14 09:25:37,1694683536,24.75,6.65
2023-09-14 09:25:38,1694683537,21.11,6.85
2023-09-14 09:25:39,1694683538,24.5,7.05
2023-09-14 09:25:40,1694683539,36.82,7.21
2023-09-14 09:25:41,1694683540,12,7.31
2023-09-14 09:25:42,1694683541,11.88,7.35
2023-09-14 09:25:43,1694683542,8.08,7.38
2023-09-14 09:25:44,1694683543,7.58,7.41
2023-09-14 09:25:45,1694683544,7.54,7.44
2023-09-14 09:25:46,1694683545,10.55,7.58
2023-09-14 09:25:47,1694683546,7,7.62
2023-09-14 09:25:48,1694683547,8,7.67
2023-09-14 09:25:49,1694683548,8,7.71
2023-09-14 09:25:50,1694683549,9.14,7.75
2023-09-14 09:25:51,1694683550,9.55,7.79
2023-09-14 09:25:52,1694683551,9.9,7.93
2023-09-14 09:25:53,1694683552,6.03,7.98
2023-09-14 09:25:54,1694683553,10,8.02
2023-09-14 09:25:55,1694683554,6.09,8.08
2023-09-14 09:25:56,1694683555,5.5,8.11
2023-09-14 09:25:57,1694683556,8.91,8.16
2023-09-14 09:25:58,1694683557,10.4,8.30
2023-09-14 09:26:00,1694683558,8.54,8.44
2023-09-14 09:26:01,1694683560,13.64,8.64
2023-09-14 09:26:02,1694683561,6.5,8.67
2023-09-14 09:26:03,1694683562,6.53,8.71
2023-09-14 09:26:04,1694683563,4.55,8.75
2023-09-14 09:26:05,1694683564,4.5,8.80
2023-09-14 09:26:06,1694683565,6.5,8.83
2023-09-14 09:26:07,1694683566,7.14,8.98
2023-09-14 09:26:08,1694683567,6.53,9.02
2023-09-14 09:26:09,1694683568,4,9.06
2023-09-14 09:26:10,1694683569,4.06,9.10
2023-09-14 09:26:11,1694683570,5.5,9.14
2023-09-14 09:26:12,1694683571,9.45,9.22
2023-09-14 09:26:13,1694683572,6.53,9.25
2023-09-14 09:26:14,1694683573,6.06,9.36
2023-09-14 09:26:15,1694683574,7.07,9.39
2023-09-14 09:26:16,1694683575,8.59,9.43
2023-09-14 09:26:17,1694683576,27.36,9.72
2023-09-14 09:26:18,1694683577,3.05,9.74
2023-09-14 09:26:19,1694683578,5,9.75
2023-09-14 09:26:20,1694683579,5.03,9.89
2023-09-14 09:26:21,1694683580,5.47,9.92
2023-09-14 09:26:22,1694683581,16.08,9.95
2023-09-14 09:26:23,1694683582,7,9.99
2023-09-14 09:26:24,1694683583,3.52,10.02
2023-09-14 09:26:25,1694683584,5.56,10.11
2023-09-14 09:26:26,1694683585,4.43,10.14
2023-09-14 09:26:27,1694683586,6.93,10.16
2023-09-14 09:26:28,1694683587,3.52,10.19
2023-09-14 09:26:29,1694683588,3.05,10.21
2023-09-14 09:26:30,1694683589,14.85,10.28
2023-09-14 09:26:31,1694683590,6.97,10.32
2023-09-14 09:26:32,1694683591,7.04,10.35
2023-09-14 09:26:33,1694683592,4.59,10.37
2023-09-14 09:26:34,1694683593,6,10.40
2023-09-14 09:26:35,1694683594,3.02,10.43
2023-09-14 09:26:36,1694683595,4.98,10.46
2023-09-14 09:26:37,1694683596,5.03,10.49
2023-09-14 09:26:38,1694683597,11.11,10.59
2023-09-14 09:26:39,1694683598,4.52,10.68
2023-09-14 09:26:40,1694683599,5.94,10.70
2023-09-14 09:26:41,1694683600,15.5,10.72
2023-09-14 09:26:42,1694683601,6,10.75
2023-09-14 09:26:43,1694683602,4.52,10.78
2023-09-14 09:26:44,1694683603,7.07,10.81
2023-09-14 09:26:45,1694683604,13.86,10.84
2023-09-14 09:26:46,1694683605,9.09,11.03
2023-09-14 09:26:47,1694683606,18.09,11.08
2023-09-14 09:26:48,1694683607,13.57,11.13
2023-09-14 09:26:49,1694683608,6.57,11.17
2023-09-14 09:26:50,1694683609,5.97,11.21
2023-09-14 09:26:51,1694683610,4.98,11.24
2023-09-14 09:26:52,1694683611,5.53,11.28
2023-09-14 09:26:53,1694683612,15.5,11.32
2023-09-14 09:26:54,1694683613,5.13,11.50
2023-09-14 09:26:55,1694683614,5.47,11.54
2023-09-14 09:26:56,1694683615,6.03,11.57
2023-09-14 09:26:57,1694683616,7.5,11.60
2023-09-14 09:26:58,1694683617,4.08,11.63
2023-09-14 09:26:59,1694683618,4.52,11.65
2023-09-14 09:27:00,1694683619,10.1,11.68
2023-09-14 09:27:01,1694683620,7.92,11.83
2023-09-14 09:27:02,1694683621,4.57,11.96
2023-09-14 09:27:03,1694683622,5.56,12.09
2023-09-14 09:27:04,1694683623,20.4,12.23
2023-09-14 09:27:05,1694683624,6.53,12.27
2023-09-14 09:27:06,1694683625,3.03,12.31
2023-09-14 09:27:07,1694683626,9.31,12.36
2023-09-14 09:27:08,1694683627,6.97,12.42
2023-09-14 09:27:09,1694683628,6.5,12.46
2023-09-14 09:27:10,1694683629,5.5,12.49
2023-09-14 09:27:11,1694683630,6.47,12.52
2023-09-14 09:27:12,1694683631,5,12.55
2023-09-14 09:27:13,1694683632,6,12.57
2023-09-14 09:27:14,1694683633,3.54,12.61
2023-09-14 09:27:15,1694683634,4.5,12.63
2023-09-14 09:27:17,1694683635,6.37,12.66
2023-09-14 09:27:18,1694683637,5,12.69
2023-09-14 09:27:19,1694683638,34.8,12.74
2023-09-14 09:27:20,1694683639,6.97,12.86
2023-09-14 09:27:21,1694683640,5.05,13.00
2023-09-14 09:27:22,1694683641,8.96,13.03
2023-09-14 09:27:23,1694683642,6.06,13.05
2023-09-14 09:27:24,1694683643,6.97,13.07
2023-09-14 09:27:25,1694683644,8.08,13.10
2023-09-14 09:27:26,1694683645,3.03,13.13
2023-09-14 09:27:27,1694683646,3.55,13.16
2023-09-14 09:27:28,1694683647,5.47,13.19
