Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-14 11:58:08,1694692687,0.5,6.15
2023-09-14 11:58:09,1694692688,45.77,6.32
2023-09-14 11:58:10,1694692689,21.11,6.51
2023-09-14 11:58:11,1694692690,26.5,6.72
2023-09-14 11:58:12,1694692691,31.34,6.95
2023-09-14 11:58:13,1694692692,19,7.10
2023-09-14 11:58:14,1694692693,19,7.16
2023-09-14 11:58:16,1694692694,13.5,7.20
2023-09-14 11:58:17,1694692696,14.07,7.25
2023-09-14 11:58:18,1694692697,16.42,7.40
2023-09-14 11:58:19,1694692698,16.08,7.44
2023-09-14 11:58:20,1694692699,9.14,7.48
2023-09-14 11:58:21,1694692700,14.36,7.52
2023-09-14 11:58:22,1694692701,10.66,7.57
2023-09-14 11:58:23,1694692702,8.59,7.76
2023-09-14 11:58:24,1694692703,9.55,7.80
2023-09-14 11:58:25,1694692704,13.07,7.85
2023-09-14 11:58:26,1694692705,10.95,7.89
2023-09-14 11:58:27,1694692706,9.05,7.93
2023-09-14 11:58:28,1694692707,16.58,8.13
2023-09-14 11:58:29,1694692708,19.1,8.32
2023-09-14 11:58:30,1694692709,10.61,8.36
2023-09-14 11:58:31,1694692710,11.68,8.40
2023-09-14 11:58:32,1694692711,8,8.45
2023-09-14 11:58:33,1694692712,10.05,8.50
2023-09-14 11:58:34,1694692713,10.66,8.68
2023-09-14 11:58:35,1694692714,8.59,8.73
2023-09-14 11:58:36,1694692715,8.42,8.77
2023-09-14 11:58:37,1694692716,11.39,8.81
2023-09-14 11:58:38,1694692717,8.63,8.85
2023-09-14 11:58:39,1694692718,9.5,8.89
2023-09-14 11:58:40,1694692719,8.54,8.93
2023-09-14 11:58:41,1694692720,11,8.98
2023-09-14 11:58:42,1694692721,9.05,9.12
2023-09-14 11:58:43,1694692722,12.94,9.16
2023-09-14 11:58:44,1694692723,11.5,9.20
2023-09-14 11:58:45,1694692724,6.57,9.24
2023-09-14 11:58:46,1694692725,11,9.33
2023-09-14 11:58:47,1694692726,7.07,9.37
2023-09-14 11:58:48,1694692727,6.53,9.41
2023-09-14 11:58:49,1694692728,4.46,9.46
2023-09-14 11:58:50,1694692729,19.7,9.53
2023-09-14 11:58:51,1694692730,9.55,9.60
2023-09-14 11:58:52,1694692731,8.59,9.64
2023-09-14 11:58:53,1694692732,4.95,9.68
2023-09-14 11:58:54,1694692733,3.57,9.71
2023-09-14 11:58:55,1694692734,28.79,9.86
2023-09-14 11:58:56,1694692735,7.58,9.87
2023-09-14 11:58:57,1694692736,5.03,9.89
2023-09-14 11:58:58,1694692737,3.5,9.91
2023-09-14 11:58:59,1694692738,8.5,9.95
2023-09-14 11:59:00,1694692739,7.39,9.98
2023-09-14 11:59:01,1694692740,3.54,10.00
2023-09-14 11:59:02,1694692741,6.5,10.03
2023-09-14 11:59:03,1694692742,5.03,10.06
2023-09-14 11:59:04,1694692743,17.5,10.09
2023-09-14 11:59:05,1694692744,16.16,10.13
2023-09-14 11:59:06,1694692745,4.5,10.15
2023-09-14 11:59:07,1694692746,6.03,10.18
2023-09-14 11:59:08,1694692747,10.45,10.22
2023-09-14 11:59:09,1694692748,4.55,10.24
2023-09-14 11:59:10,1694692749,17.16,10.34
2023-09-14 11:59:11,1694692750,13.5,10.38
2023-09-14 11:59:12,1694692751,7.54,10.40
2023-09-14 11:59:13,1694692752,4.02,10.42
2023-09-14 11:59:14,1694692753,7.58,10.46
2023-09-14 11:59:15,1694692754,30.15,10.66
2023-09-14 11:59:16,1694692755,5.64,10.69
2023-09-14 11:59:17,1694692756,15.5,10.74
2023-09-14 11:59:18,1694692757,5.05,10.78
2023-09-14 11:59:19,1694692758,7.04,10.82
2023-09-14 11:59:20,1694692759,15.58,10.87
2023-09-14 11:59:21,1694692760,29.56,11.03
2023-09-14 11:59:22,1694692761,11.68,11.16
2023-09-14 11:59:23,1694692762,34.31,11.27
2023-09-14 11:59:24,1694692763,10.61,11.29
2023-09-14 11:59:25,1694692764,13.43,11.59
2023-09-14 11:59:26,1694692765,12.56,11.92
2023-09-14 11:59:27,1694692766,10,12.14
2023-09-14 11:59:28,1694692767,14.57,12.42
2023-09-14 11:59:29,1694692768,11.56,12.71
2023-09-14 11:59:30,1694692769,12.12,13.05
2023-09-14 11:59:31,1694692770,14.43,13.28
2023-09-14 11:59:32,1694692771,13.07,13.56
2023-09-14 11:59:33,1694692772,19.4,13.90
2023-09-14 11:59:34,1694692773,12.5,14.18
2023-09-14 11:59:35,1694692774,13.07,14.50
2023-09-14 11:59:36,1694692775,34,14.77
2023-09-14 11:59:37,1694692776,15,15.22
2023-09-14 11:59:38,1694692777,12.18,15.41
2023-09-14 11:59:40,1694692778,18.91,15.76
2023-09-14 11:59:41,1694692780,12.94,15.79
2023-09-14 11:59:42,1694692781,11.11,15.83
2023-09-14 11:59:43,1694692782,23.27,15.87
2023-09-14 11:59:44,1694692783,13.93,15.89
2023-09-14 11:59:45,1694692784,14.5,15.91
2023-09-14 11:59:46,1694692785,17.09,15.93
2023-09-14 11:59:47,1694692786,15.5,15.95
2023-09-14 11:59:48,1694692787,12.24,15.98
2023-09-14 11:59:49,1694692788,15.35,15.99
2023-09-14 11:59:50,1694692789,13.13,16.01
2023-09-14 11:59:51,1694692790,11.17,16.03
2023-09-14 11:59:52,1694692791,17.09,16.20
2023-09-14 11:59:53,1694692792,14.65,16.22
2023-09-14 11:59:54,1694692793,13.07,16.26
2023-09-14 11:59:55,1694692794,23,16.28
2023-09-14 11:59:56,1694692795,15.35,16.31
2023-09-14 11:59:57,1694692796,13.57,16.34
2023-09-14 11:59:58,1694692797,29.5,16.38
2023-09-14 11:59:59,1694692798,14.43,16.41
2023-09-14 12:00:00,1694692799,14.5,16.44
2023-09-14 12:00:01,1694692800,22.84,16.46
2023-09-14 12:00:02,1694692801,22,16.49
2023-09-14 12:00:03,1694692802,21.57,16.58
2023-09-14 12:00:04,1694692803,16.92,16.61
2023-09-14 12:00:05,1694692804,15.08,16.63
2023-09-14 12:00:06,1694692805,14.29,16.66
2023-09-14 12:00:07,1694692806,15.15,16.67
2023-09-14 12:00:08,1694692807,14.93,16.70
2023-09-14 12:00:09,1694692808,15.23,16.72
2023-09-14 12:00:10,1694692809,14.14,16.75
2023-09-14 12:00:11,1694692810,15.5,16.78
2023-09-14 12:00:12,1694692811,16.83,16.80
2023-09-14 12:00:13,1694692812,18.72,16.83
2023-09-14 12:00:14,1694692813,25.74,16.85
2023-09-14 12:00:15,1694692814,14.29,16.88
2023-09-14 12:00:16,1694692815,16.08,16.91
2023-09-14 12:00:17,1694692816,15.42,16.94
2023-09-14 12:00:18,1694692817,16.67,16.95
2023-09-14 12:00:19,1694692818,16.24,16.98
2023-09-14 12:00:20,1694692819,17,17.01
2023-09-14 12:00:21,1694692820,15.82,17.04
2023-09-14 12:00:22,1694692821,23.62,17.07
2023-09-14 12:00:23,1694692822,22.5,17.10
2023-09-14 12:00:24,1694692823,16.83,17.13
2023-09-14 12:00:25,1694692824,17.77,17.15
2023-09-14 12:00:26,1694692825,25.74,17.18
2023-09-14 12:00:27,1694692826,16.67,17.21
2023-09-14 12:00:28,1694692827,21.89,17.24
2023-09-14 12:00:29,1694692828,23.12,17.26
2023-09-14 12:00:30,1694692829,18.09,17.29
2023-09-14 12:00:31,1694692830,49.75,17.54
2023-09-14 12:00:32,1694692831,48.02,17.61
2023-09-14 12:00:33,1694692832,30.61,17.65
2023-09-14 12:00:34,1694692833,38.81,17.67
2023-09-14 12:00:35,1694692834,19.8,17.68
2023-09-14 12:00:36,1694692835,18.27,17.71
2023-09-14 12:00:37,1694692836,25.87,17.73
2023-09-14 12:00:38,1694692837,18.78,17.76
2023-09-14 12:00:39,1694692838,19.4,17.79
2023-09-14 12:00:40,1694692839,16.92,17.81
2023-09-14 12:00:41,1694692840,24.75,17.84
2023-09-14 12:00:42,1694692841,18.27,17.85
2023-09-14 12:00:43,1694692842,19.6,17.87
2023-09-14 12:00:44,1694692843,13.43,17.89
2023-09-14 12:00:45,1694692844,9.64,17.92
2023-09-14 12:00:46,1694692845,11.88,17.94
2023-09-14 12:00:47,1694692846,5.47,17.96
2023-09-14 12:00:48,1694692847,9.64,17.98
2023-09-14 12:00:49,1694692848,6.03,18.01
2023-09-14 12:00:50,1694692849,14.07,18.05
2023-09-14 12:00:52,1694692851,6.93,18.07
2023-09-14 12:00:53,1694692852,8.67,18.11
2023-09-14 12:00:54,1694692853,4.06,18.13
2023-09-14 12:00:55,1694692854,4.59,18.16
2023-09-14 12:00:56,1694692855,16.58,18.19
2023-09-14 12:00:57,1694692856,5.5,18.21
2023-09-14 12:00:58,1694692857,17,18.24
2023-09-14 12:00:59,1694692858,10.66,18.28
2023-09-14 12:01:00,1694692859,17.65,18.31
2023-09-14 12:01:01,1694692860,25.5,18.34
2023-09-14 12:01:02,1694692861,20.71,18.37
2023-09-14 12:01:03,1694692862,11.56,18.39
2023-09-14 12:01:04,1694692863,23.5,18.43
2023-09-14 12:01:05,1694692864,21.21,18.46
2023-09-14 12:01:06,1694692865,26.87,18.59
2023-09-14 12:01:07,1694692866,15.08,18.63
2023-09-14 12:01:08,1694692867,25.63,18.65
2023-09-14 12:01:09,1694692868,23.79,18.68
2023-09-14 12:01:10,1694692869,24.5,18.70
2023-09-14 12:01:11,1694692870,16.67,18.72
2023-09-14 12:01:12,1694692871,26.9,18.76
2023-09-14 12:01:13,1694692872,24,18.78
2023-09-14 12:01:14,1694692873,23.35,18.81
2023-09-14 12:01:15,1694692874,24.24,18.83
2023-09-14 12:01:16,1694692875,13.93,18.85
2023-09-14 12:01:17,1694692876,29.65,18.89
2023-09-14 12:01:18,1694692877,24.5,18.92
2023-09-14 12:01:19,1694692878,24.51,18.95
2023-09-14 12:01:20,1694692879,26.77,18.99
2023-09-14 12:01:21,1694692880,30.15,19.02
2023-09-14 12:01:22,1694692881,25.74,19.05
2023-09-14 12:01:23,1694692882,20.69,19.07
2023-09-14 12:01:24,1694692883,7.5,19.09
2023-09-14 12:01:25,1694692884,12.24,19.11
2023-09-14 12:01:26,1694692885,8.16,19.13
2023-09-14 12:01:27,1694692886,6,19.15
2023-09-14 12:01:28,1694692887,11.06,19.18
2023-09-14 12:01:29,1694692888,9.95,19.21
2023-09-14 12:01:30,1694692889,11.94,19.23
2023-09-14 12:01:31,1694692890,4.15,19.25
2023-09-14 12:01:32,1694692891,16.34,19.27
2023-09-14 12:01:33,1694692892,7.5,19.30
2023-09-14 12:01:34,1694692893,6.03,19.32
2023-09-14 12:01:35,1694692894,11.62,19.34
2023-09-14 12:01:36,1694692895,6.47,19.36
2023-09-14 12:01:37,1694692896,9.9,19.37
2023-09-14 12:01:38,1694692897,5.56,19.40
2023-09-14 12:01:39,1694692898,6,19.43
2023-09-14 12:01:40,1694692899,18.45,19.47
2023-09-14 12:01:41,1694692900,4.06,19.48
2023-09-14 12:01:42,1694692901,6.4,19.50
2023-09-14 12:01:43,1694692902,11.06,19.54
2023-09-14 12:01:44,1694692903,5.05,19.55
2023-09-14 12:01:45,1694692904,20.79,19.60
2023-09-14 12:01:46,1694692905,30.69,19.62
2023-09-14 12:01:47,1694692906,26.26,19.65
2023-09-14 12:01:48,1694692907,26.87,19.67
2023-09-14 12:01:49,1694692908,27.45,19.71
2023-09-14 12:01:50,1694692909,26.63,19.73
2023-09-14 12:01:51,1694692910,14.07,19.76
2023-09-14 12:01:52,1694692911,12.06,19.77
2023-09-14 12:01:53,1694692912,11.06,19.80
2023-09-14 12:01:54,1694692913,4.57,19.81
2023-09-14 12:01:55,1694692914,16.58,19.84
2023-09-14 12:01:56,1694692915,7.39,19.86
2023-09-14 12:01:57,1694692916,5.53,19.88
2023-09-14 12:01:58,1694692917,7.43,19.90
2023-09-14 12:01:59,1694692918,27.5,19.94
2023-09-14 12:02:00,1694692919,28.86,19.97
2023-09-14 12:02:01,1694692920,25.25,20.00
2023-09-14 12:02:02,1694692921,31.34,20.04
2023-09-14 12:02:03,1694692922,52.79,20.08
2023-09-14 12:02:04,1694692923,27.78,20.18
2023-09-14 12:02:05,1694692924,16.92,20.21
2023-09-14 12:02:07,1694692926,7,20.22
2023-09-14 12:02:08,1694692927,14.21,20.25
2023-09-14 12:02:09,1694692928,7.39,20.26
2023-09-14 12:02:10,1694692929,13.57,20.29
2023-09-14 12:02:11,1694692930,11.62,20.31
2023-09-14 12:02:12,1694692931,6.03,20.34
2023-09-14 12:02:13,1694692932,20.39,20.36
2023-09-14 12:02:14,1694692933,12.38,20.38
2023-09-14 12:02:15,1694692934,5.08,20.40
2023-09-14 12:02:16,1694692935,12.63,20.42
2023-09-14 12:02:17,1694692936,6.06,20.44
