Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-14 10:12:48,1694686367,0,6.26
2023-09-14 10:12:49,1694686368,0,6.26
2023-09-14 10:12:50,1694686369,62.69,6.75
2023-09-14 10:12:51,1694686370,100,7.56
2023-09-14 10:12:52,1694686371,93.37,8.62
2023-09-14 10:12:53,1694686372,83.25,9.11
2023-09-14 10:12:54,1694686373,61.5,9.62
2023-09-14 10:12:55,1694686374,41,10.43
2023-09-14 10:12:56,1694686375,33.17,10.99
2023-09-14 10:12:57,1694686376,39.9,11.37
2023-09-14 10:12:58,1694686377,41.62,11.77
2023-09-14 10:12:59,1694686378,47.47,12.03
2023-09-14 10:13:00,1694686379,59.2,12.92
2023-09-14 10:13:01,1694686380,43.5,13.15
2023-09-14 10:13:02,1694686381,41.62,13.43
2023-09-14 10:13:03,1694686382,53,13.69
2023-09-14 10:13:04,1694686383,49.24,14.21
2023-09-14 10:13:05,1694686384,55.88,15.01
2023-09-14 10:13:06,1694686385,46.43,15.27
2023-09-14 10:13:07,1694686386,25.51,15.48
2023-09-14 10:13:08,1694686387,31.66,15.72
2023-09-14 10:13:09,1694686388,52.26,16.31
2023-09-14 10:13:10,1694686389,42.71,17.51
2023-09-14 10:13:11,1694686390,45.83,18.75
2023-09-14 10:13:12,1694686391,51.78,20.16
2023-09-14 10:13:13,1694686392,29.21,21.27
2023-09-14 10:13:14,1694686393,26.26,22.48
2023-09-14 10:13:15,1694686394,40.2,23.52
2023-09-14 10:13:16,1694686395,35.68,24.70
2023-09-14 10:13:17,1694686396,30,24.85
2023-09-14 10:13:18,1694686397,41.29,25.07
2023-09-14 10:13:19,1694686398,26.67,25.26
2023-09-14 10:13:20,1694686399,29,25.43
2023-09-14 10:13:21,1694686400,30.61,25.61
2023-09-14 10:13:22,1694686401,64.8,25.86
2023-09-14 10:13:23,1694686402,32.99,26.04
2023-09-14 10:13:24,1694686403,24.37,26.21
2023-09-14 10:13:25,1694686404,36.08,26.36
2023-09-14 10:13:26,1694686405,42.42,26.53
2023-09-14 10:13:27,1694686406,28.86,26.71
2023-09-14 10:13:28,1694686407,36.18,26.95
2023-09-14 10:13:29,1694686408,31.47,27.15
2023-09-14 10:13:30,1694686409,43.69,27.29
2023-09-14 10:13:31,1694686410,25.26,27.45
2023-09-14 10:13:32,1694686411,26.8,27.62
2023-09-14 10:13:33,1694686412,50.51,27.80
2023-09-14 10:13:34,1694686413,28.57,27.86
2023-09-14 10:13:35,1694686414,35.32,28.00
2023-09-14 10:13:36,1694686415,31.47,28.16
2023-09-14 10:13:37,1694686416,25.26,28.33
2023-09-14 10:13:38,1694686417,40.39,28.48
2023-09-14 10:13:39,1694686418,40.4,28.97
2023-09-14 10:13:40,1694686419,34.16,29.11
2023-09-14 10:13:42,1694686421,34.17,29.28
2023-09-14 10:13:43,1694686422,65.83,29.44
2023-09-14 10:13:44,1694686423,96.53,29.93
2023-09-14 10:13:45,1694686424,82.59,30.10
2023-09-14 10:13:46,1694686425,57.58,30.18
2023-09-14 10:13:47,1694686426,6.44,30.18
