Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-13 16:12:51,1694621570,0,6.30
2023-09-13 16:12:52,1694621571,37.69,6.52
2023-09-13 16:12:53,1694621572,99,7.29
2023-09-13 16:12:54,1694621573,100,8.33
2023-09-13 16:12:55,1694621574,100,9.27
2023-09-13 16:12:56,1694621575,100,10.54
2023-09-13 16:12:57,1694621576,93,11.70
2023-09-13 16:12:58,1694621577,81.41,12.04
2023-09-13 16:12:59,1694621578,84.5,12.47
2023-09-13 16:13:00,1694621579,81.64,13.92
2023-09-13 16:13:01,1694621580,50.52,14.71
2023-09-13 16:13:02,1694621581,68.69,15.09
2023-09-13 16:13:03,1694621582,68.81,15.37
2023-09-13 16:13:04,1694621583,44.95,15.60
2023-09-13 16:13:05,1694621584,35.03,15.88
2023-09-13 16:13:06,1694621585,63,16.18
2023-09-13 16:13:07,1694621586,72.08,17.45
2023-09-13 16:13:08,1694621587,69.19,17.82
2023-09-13 16:13:09,1694621588,68.88,18.15
2023-09-13 16:13:10,1694621589,60.3,18.66
2023-09-13 16:13:11,1694621590,61.39,19.00
2023-09-13 16:13:12,1694621591,58.79,19.62
2023-09-13 16:13:13,1694621592,66.33,21.07
2023-09-13 16:13:14,1694621593,68.02,22.47
2023-09-13 16:13:15,1694621594,37.75,23.78
2023-09-13 16:13:16,1694621595,48.74,25.13
2023-09-13 16:13:17,1694621596,40.1,26.58
2023-09-13 16:13:18,1694621597,43,28.05
2023-09-13 16:13:19,1694621598,66.33,28.35
2023-09-13 16:13:20,1694621599,32.47,28.58
2023-09-13 16:13:21,1694621600,35,28.81
2023-09-13 16:13:22,1694621601,29.65,29.00
2023-09-13 16:13:23,1694621602,28.36,29.17
2023-09-13 16:13:24,1694621603,51.74,29.34
2023-09-13 16:13:25,1694621604,39.18,29.49
2023-09-13 16:13:26,1694621605,28.93,29.54
2023-09-13 16:13:27,1694621606,26.9,29.63
2023-09-13 16:13:28,1694621607,36.32,29.80
2023-09-13 16:13:29,1694621608,30.24,29.93
2023-09-13 16:13:30,1694621609,51.47,30.11
2023-09-13 16:13:31,1694621610,39.9,30.28
2023-09-13 16:13:33,1694621611,29.15,30.44
2023-09-13 16:13:34,1694621613,27.14,30.58
2023-09-13 16:13:35,1694621614,30.81,30.69
2023-09-13 16:13:36,1694621615,47.06,30.86
2023-09-13 16:13:37,1694621616,29.69,31.01
2023-09-13 16:13:38,1694621617,20.4,31.04
2023-09-13 16:13:39,1694621618,16.08,31.05
2023-09-13 16:13:40,1694621619,14.36,31.04
2023-09-13 16:13:41,1694621620,5.08,31.04
2023-09-13 16:13:42,1694621621,7.43,31.05
2023-09-13 16:13:43,1694621622,5.1,31.05
