Time,Unix Time,CPU Utilization (%),RAM Utilization (%)
2023-09-13 15:33:36,1694619215,0,6.04
2023-09-13 15:33:37,1694619216,3.48,6.05
2023-09-13 15:33:38,1694619217,48.74,6.28
2023-09-13 15:33:39,1694619218,30.15,6.46
2023-09-13 15:33:40,1694619219,22,6.62
2023-09-13 15:33:41,1694619220,18.69,6.87
2023-09-13 15:33:42,1694619221,26.77,6.93
2023-09-13 15:33:43,1694619222,31.66,7.02
2023-09-13 15:33:44,1694619223,14.5,7.07
2023-09-13 15:33:45,1694619224,19.7,7.11
2023-09-13 15:33:46,1694619225,18.5,7.37
2023-09-13 15:33:47,1694619226,13.57,7.41
2023-09-13 15:33:48,1694619227,13.64,7.45
2023-09-13 15:33:49,1694619228,12.38,7.49
2023-09-13 15:33:50,1694619229,11.39,7.54
2023-09-13 15:33:51,1694619230,12.56,7.64
2023-09-13 15:33:53,1694619231,13.13,7.78
2023-09-13 15:33:54,1694619233,19,8.07
2023-09-13 15:33:55,1694619234,13.5,8.11
2023-09-13 15:33:56,1694619235,12.63,8.16
2023-09-13 15:33:57,1694619236,13.5,8.20
2023-09-13 15:33:58,1694619237,11.11,8.24
2023-09-13 15:33:59,1694619238,15.5,8.38
2023-09-13 15:34:00,1694619239,11.5,8.43
2023-09-13 15:34:01,1694619240,11.44,8.47
2023-09-13 15:34:02,1694619241,8.12,8.51
2023-09-13 15:34:03,1694619242,9.6,8.55
2023-09-13 15:34:04,1694619243,11.68,8.69
2023-09-13 15:34:05,1694619244,8,8.74
2023-09-13 15:34:06,1694619245,8.54,8.78
2023-09-13 15:34:07,1694619246,7.54,8.81
2023-09-13 15:34:08,1694619247,7.58,8.85
2023-09-13 15:34:09,1694619248,10.2,8.90
2023-09-13 15:34:10,1694619249,10.95,8.94
2023-09-13 15:34:11,1694619250,8.46,8.99
2023-09-13 15:34:12,1694619251,11.06,9.12
2023-09-13 15:34:13,1694619252,14.65,9.17
2023-09-13 15:34:14,1694619253,9.55,9.21
2023-09-13 15:34:15,1694619254,8.04,9.25
2023-09-13 15:34:16,1694619255,14.43,9.29
2023-09-13 15:34:17,1694619256,9.55,9.33
2023-09-13 15:34:18,1694619257,11.56,9.39
2023-09-13 15:34:19,1694619258,14.85,9.41
2023-09-13 15:34:20,1694619259,14.14,9.44
2023-09-13 15:34:21,1694619260,23,9.56
2023-09-13 15:34:22,1694619261,9.64,9.59
2023-09-13 15:34:23,1694619262,21.29,9.62
2023-09-13 15:34:24,1694619263,10.66,9.65
2023-09-13 15:34:25,1694619264,26.37,9.74
2023-09-13 15:34:26,1694619265,18.46,9.80
2023-09-13 15:34:27,1694619266,24.63,9.88
2023-09-13 15:34:28,1694619267,15.42,9.90
2023-09-13 15:34:29,1694619268,8.63,9.92
2023-09-13 15:34:30,1694619269,9.6,9.95
2023-09-13 15:34:31,1694619270,19.5,10.00
2023-09-13 15:34:32,1694619271,12.81,10.03
2023-09-13 15:34:33,1694619272,15.08,10.05
2023-09-13 15:34:34,1694619273,10.77,10.06
2023-09-13 15:34:35,1694619274,19.1,10.09
2023-09-13 15:34:36,1694619275,18.81,10.28
2023-09-13 15:34:37,1694619276,13.3,10.30
2023-09-13 15:34:38,1694619277,10.95,10.32
2023-09-13 15:34:39,1694619278,21.5,10.35
2023-09-13 15:34:40,1694619279,9.55,10.38
2023-09-13 15:34:41,1694619280,12.5,10.41
2023-09-13 15:34:42,1694619281,11.17,10.44
2023-09-13 15:34:43,1694619282,20.71,10.48
2023-09-13 15:34:44,1694619283,25.98,10.58
2023-09-13 15:34:45,1694619284,22.11,10.63
2023-09-13 15:34:46,1694619285,14.43,10.66
2023-09-13 15:34:47,1694619286,22.22,10.70
2023-09-13 15:34:48,1694619287,20.1,10.73
2023-09-13 15:34:49,1694619288,18.5,10.75
2023-09-13 15:34:50,1694619289,18.63,10.78
2023-09-13 15:34:51,1694619290,20.1,10.81
2023-09-13 15:34:52,1694619291,7.54,10.84
2023-09-13 15:34:53,1694619292,15.66,10.87
2023-09-13 15:34:54,1694619293,13.57,10.91
2023-09-13 15:34:55,1694619294,14.93,10.92
2023-09-13 15:34:56,1694619295,12,10.95
2023-09-13 15:34:57,1694619296,16.18,10.96
2023-09-13 15:34:58,1694619297,14.5,10.99
2023-09-13 15:34:59,1694619298,16.42,11.02
2023-09-13 15:35:00,1694619299,38.5,11.22
2023-09-13 15:35:01,1694619300,23.15,11.41
2023-09-13 15:35:02,1694619301,15.38,11.46
2023-09-13 15:35:03,1694619302,17.41,11.50
2023-09-13 15:35:04,1694619303,15.92,11.53
2023-09-13 15:35:05,1694619304,15.35,11.56
2023-09-13 15:35:06,1694619305,16.16,11.59
2023-09-13 15:35:07,1694619306,40,11.75
2023-09-13 15:35:08,1694619307,11.88,11.77
2023-09-13 15:35:09,1694619308,20.6,11.79
2023-09-13 15:35:11,1694619309,19.21,11.81
2023-09-13 15:35:12,1694619311,15.15,11.83
2023-09-13 15:35:13,1694619312,16.92,11.85
2023-09-13 15:35:14,1694619313,19.4,11.88
2023-09-13 15:35:15,1694619314,18.27,11.89
2023-09-13 15:35:16,1694619315,22,11.90
2023-09-13 15:35:17,1694619316,12,11.92
2023-09-13 15:35:18,1694619317,22.11,11.95
2023-09-13 15:35:19,1694619318,15.35,11.97
2023-09-13 15:35:20,1694619319,15.66,12.00
2023-09-13 15:35:21,1694619320,25,12.04
2023-09-13 15:35:22,1694619321,21.5,12.07
2023-09-13 15:35:23,1694619322,17.33,12.11
2023-09-13 15:35:24,1694619323,23.47,12.13
2023-09-13 15:35:25,1694619324,9.95,12.15
2023-09-13 15:35:26,1694619325,18.23,12.18
2023-09-13 15:35:27,1694619326,15.74,12.21
2023-09-13 15:35:28,1694619327,25.51,12.23
2023-09-13 15:35:29,1694619328,18,12.26
2023-09-13 15:35:30,1694619329,16.42,12.55
2023-09-13 15:35:31,1694619330,19,12.73
2023-09-13 15:35:32,1694619331,15.58,12.77
2023-09-13 15:35:33,1694619332,16.67,12.79
2023-09-13 15:35:34,1694619333,15.15,12.81
2023-09-13 15:35:35,1694619334,19.31,12.84
2023-09-13 15:35:36,1694619335,16.83,12.86
2023-09-13 15:35:37,1694619336,17.77,12.90
2023-09-13 15:35:38,1694619337,18.5,12.94
2023-09-13 15:35:39,1694619338,16.92,12.97
2023-09-13 15:35:40,1694619339,17.17,13.00
2023-09-13 15:35:41,1694619340,18.18,13.02
2023-09-13 15:35:42,1694619341,17.41,13.05
2023-09-13 15:35:43,1694619342,19.1,13.07
2023-09-13 15:35:44,1694619343,19.4,13.11
2023-09-13 15:35:45,1694619344,16.92,13.14
2023-09-13 15:35:46,1694619345,19.8,13.17
2023-09-13 15:35:47,1694619346,18.27,13.19
2023-09-13 15:35:48,1694619347,19.19,13.22
2023-09-13 15:35:49,1694619348,20.4,13.25
2023-09-13 15:35:50,1694619349,20.9,13.28
2023-09-13 15:35:51,1694619350,25.63,13.31
2023-09-13 15:35:52,1694619351,25.63,13.33
2023-09-13 15:35:53,1694619352,19.1,13.36
2023-09-13 15:35:54,1694619353,31.53,13.41
2023-09-13 15:35:55,1694619354,24.26,13.46
2023-09-13 15:35:56,1694619355,21.29,13.67
2023-09-13 15:35:57,1694619356,21.89,13.99
2023-09-13 15:35:58,1694619357,23.27,14.09
2023-09-13 15:35:59,1694619358,20.69,14.12
2023-09-13 15:36:00,1694619359,34.83,14.14
2023-09-13 15:36:01,1694619360,39.2,14.27
2023-09-13 15:36:02,1694619361,48.48,14.29
2023-09-13 15:36:03,1694619362,22.93,14.33
2023-09-13 15:36:04,1694619363,20.69,14.36
2023-09-13 15:36:05,1694619364,23.41,14.37
2023-09-13 15:36:06,1694619365,21.57,14.41
2023-09-13 15:36:07,1694619366,29.5,14.43
2023-09-13 15:36:08,1694619367,25.37,14.46
2023-09-13 15:36:09,1694619368,23.38,14.48
2023-09-13 15:36:10,1694619369,22.93,14.52
